aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.416745e-01,1,5.416745e-01,1,26,17,1
E,1,5.416745e-01,1,5.416745e-01,1,26,23,1
E,1,5.416745e-01,1,5.416745e-01,1,26,32,1
E,1,4.583255e-01,1,5.416745e-01,1,18,205,0
E,1,5.416745e-01,1,5.416745e-01,1,26,222,1
E,1,4.583255e-01,1,5.416745e-01,1,18,290,0
E,1,4.583255e-01,1,5.416745e-01,1,18,334,0
E,1,5.416745e-01,1,5.416745e-01,1,26,439,1
E,1,5.416745e-01,1,5.416745e-01,1,26,454,1
E,1,5.416745e-01,1,5.416745e-01,1,26,554,1
E,1,4.583255e-01,1,5.416745e-01,1,18,570,0
E,1,5.416745e-01,1,5.416745e-01,1,26,627,1
E,1,5.416745e-01,1,5.416745e-01,1,26,662,1
E,1,5.416745e-01,1,5.416745e-01,1,26,803,1
E,1,5.416745e-01,1,5.416745e-01,1,26,1019,1
E,1,4.583255e-01,1,5.416745e-01,1,18,1059,0
E,1,5.416745e-01,1,5.416745e-01,1,26,1080,1
E,1,5.416745e-01,1,5.416745e-01,1,26,1114,1
E,1,5.416745e-01,1,5.416745e-01,1,26,1223,1
E,1,5.416745e-01,1,5.416745e-01,1,26,1599,1
E,1,4.583255e-01,1,5.416745e-01,1,18,1765,0
E,1,4.583255e-01,1,5.416745e-01,1,18,1834,0
E,1,4.583255e-01,1,5.416745e-01,1,18,1874,0
E,1,5.416745e-01,1,5.416745e-01,1,26,1891,1
E,1,4.583255e-01,1,5.416745e-01,1,18,1893,0
E,1,4.583255e-01,1,5.416745e-01,1,18,1997,0
E,1,4.583255e-01,1,5.416745e-01,1,18,2001,0
E,1,5.416745e-01,1,5.416745e-01,1,26,2037,1
E,1,5.416745e-01,1,5.416745e-01,1,26,2078,1
E,1,4.583255e-01,1,5.416745e-01,1,18,2299,0
E,1,5.416745e-01,1,5.416745e-01,1,26,2744,1
E,1,5.416745e-01,1,5.416745e-01,1,26,2826,1
E,1,4.583255e-01,1,5.416745e-01,1,18,2927,0
E,1,5.416745e-01,1,5.416745e-01,1,26,2939,1
E,1,4.583255e-01,1,5.416745e-01,1,18,2996,0
E,1,4.583255e-01,1,5.416745e-01,1,18,3015,0
E,1,4.583255e-01,1,5.416745e-01,1,18,3020,0
E,1,4.583255e-01,1,5.416745e-01,1,18,3133,0
