aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,187,24,0
E,1,5.000000e-01,2,5.000000e-01,2,187,54,0
E,1,5.000000e-01,2,5.000000e-01,2,187,108,0
E,1,5.000000e-01,2,5.000000e-01,2,187,117,0
E,1,5.000000e-01,2,5.000000e-01,2,187,164,0
E,1,5.000000e-01,2,5.000000e-01,2,187,172,0
E,1,5.000000e-01,2,5.000000e-01,2,187,189,0
E,1,5.000000e-01,2,5.000000e-01,2,187,211,0
E,1,5.000000e-01,2,5.000000e-01,2,187,218,0
E,1,5.000000e-01,2,5.000000e-01,2,187,243,0
E,1,5.000000e-01,2,5.000000e-01,2,187,254,0
E,1,5.000000e-01,2,5.000000e-01,2,187,284,0
E,1,5.000000e-01,2,5.000000e-01,2,187,285,0
E,1,5.000000e-01,2,5.000000e-01,2,187,351,0
E,1,5.000000e-01,2,5.000000e-01,2,187,358,0
E,1,5.000000e-01,2,5.000000e-01,2,187,361,0
E,1,5.000000e-01,2,5.000000e-01,2,187,398,1
E,1,5.000000e-01,2,5.000000e-01,2,187,416,1
E,1,5.000000e-01,2,5.000000e-01,2,187,418,1
E,1,5.000000e-01,2,5.000000e-01,2,187,443,0
E,1,5.000000e-01,2,5.000000e-01,2,187,464,0
E,1,5.000000e-01,2,5.000000e-01,2,187,485,1
E,1,5.000000e-01,2,5.000000e-01,2,187,517,0
E,1,5.000000e-01,2,5.000000e-01,2,187,524,0
E,1,5.000000e-01,2,5.000000e-01,2,187,543,0
E,1,5.000000e-01,2,5.000000e-01,2,187,558,0
E,1,5.000000e-01,2,5.000000e-01,2,187,628,0
E,1,5.000000e-01,2,5.000000e-01,2,187,629,0
E,1,5.000000e-01,2,5.000000e-01,2,187,689,0
E,1,5.000000e-01,2,5.000000e-01,2,187,762,0
E,1,5.000000e-01,2,5.000000e-01,2,187,816,0
E,1,5.000000e-01,2,5.000000e-01,2,187,818,0
E,1,5.000000e-01,2,5.000000e-01,2,187,830,0
E,1,5.000000e-01,2,5.000000e-01,2,187,853,0
E,1,5.000000e-01,2,5.000000e-01,2,187,878,0
E,1,5.000000e-01,2,5.000000e-01,2,187,889,1
E,1,5.000000e-01,2,5.000000e-01,2,187,892,1
E,1,5.000000e-01,2,5.000000e-01,2,187,893,0
E,1,5.000000e-01,2,5.000000e-01,2,187,896,0
E,1,5.000000e-01,2,5.000000e-01,2,187,904,0
E,1,5.000000e-01,2,5.000000e-01,2,187,905,0
E,1,5.000000e-01,2,5.000000e-01,2,187,971,1
E,1,5.000000e-01,2,5.000000e-01,2,187,1010,1
E,1,5.000000e-01,2,5.000000e-01,2,187,1020,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1061,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1075,1
E,1,5.000000e-01,2,5.000000e-01,2,187,1093,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1169,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1203,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1232,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1272,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1280,1
E,1,5.000000e-01,2,5.000000e-01,2,187,1289,1
E,1,5.000000e-01,2,5.000000e-01,2,187,1291,1
E,1,5.000000e-01,2,5.000000e-01,2,187,1367,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1389,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1392,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1443,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1467,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1554,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1562,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1564,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1586,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1597,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1700,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1798,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1829,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1887,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1892,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1903,1
E,1,5.000000e-01,2,5.000000e-01,2,187,1908,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1909,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1916,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1974,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1980,1
E,1,5.000000e-01,2,5.000000e-01,2,187,1985,0
E,1,5.000000e-01,2,5.000000e-01,2,187,1992,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2045,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2047,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2070,1
E,1,5.000000e-01,2,5.000000e-01,2,187,2071,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2088,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2114,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2134,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2135,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2292,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2375,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2403,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2423,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2426,1
E,1,5.000000e-01,2,5.000000e-01,2,187,2493,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2508,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2517,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2533,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2558,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2570,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2574,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2590,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2616,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2647,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2649,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2667,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2683,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2753,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2762,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2809,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2810,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2818,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2833,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2848,1
E,1,5.000000e-01,2,5.000000e-01,2,187,2865,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2873,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2911,1
E,1,5.000000e-01,2,5.000000e-01,2,187,2933,0
E,1,5.000000e-01,2,5.000000e-01,2,187,2983,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3028,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3063,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3071,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3084,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3144,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3199,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3220,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3247,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3270,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3273,1
E,1,5.000000e-01,2,5.000000e-01,2,187,3287,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3301,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3318,1
E,1,5.000000e-01,2,5.000000e-01,2,187,3353,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3361,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3372,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3404,1
E,1,5.000000e-01,2,5.000000e-01,2,187,3411,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3419,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3518,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3542,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3554,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3565,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3589,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3625,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3627,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3641,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3645,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3688,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3701,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3764,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3781,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3813,0
E,1,5.000000e-01,2,5.000000e-01,2,187,3835,0
