aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.434360e-01,1,5.565640e-01,1,14,97,0
E,1,4.434360e-01,1,5.565640e-01,1,14,121,0
E,1,4.434360e-01,1,5.565640e-01,1,14,122,0
E,1,4.434360e-01,1,5.565640e-01,1,14,162,0
E,1,5.565640e-01,1,5.565640e-01,1,7,340,0
E,1,4.434360e-01,1,5.565640e-01,1,14,429,0
E,1,5.565640e-01,1,5.565640e-01,1,7,626,0
E,1,4.434360e-01,1,5.565640e-01,1,14,680,0
E,1,5.565640e-01,1,5.565640e-01,1,7,714,0
E,1,4.434360e-01,1,5.565640e-01,1,14,953,0
E,1,5.565640e-01,1,5.565640e-01,1,7,1094,0
E,1,4.434360e-01,1,5.565640e-01,1,14,1306,0
E,1,5.565640e-01,1,5.565640e-01,1,7,1436,0
E,1,5.565640e-01,1,5.565640e-01,1,7,1591,0
E,1,5.565640e-01,1,5.565640e-01,1,7,1639,0
E,1,4.434360e-01,1,5.565640e-01,1,14,1819,0
E,1,4.434360e-01,1,5.565640e-01,1,14,1827,0
E,1,4.434360e-01,1,5.565640e-01,1,14,2457,0
E,1,4.434360e-01,1,5.565640e-01,1,14,2772,0
E,1,4.434360e-01,1,5.565640e-01,1,14,2786,0
E,1,4.434360e-01,1,5.565640e-01,1,14,2831,0
E,2,1.966355e-01,1,4.936010e-01,1,8,64,0
E,2,4.936010e-01,1,4.936010e-01,1,13,149,0
E,2,4.936010e-01,1,4.936010e-01,1,13,305,0
E,2,4.936010e-01,1,4.936010e-01,1,13,306,0
E,2,4.936010e-01,1,4.936010e-01,1,13,346,0
E,2,1.966355e-01,1,4.936010e-01,1,8,397,0
E,2,4.936010e-01,1,4.936010e-01,1,13,486,0
E,2,1.966355e-01,1,4.936010e-01,1,8,529,0
E,2,4.936010e-01,1,4.936010e-01,1,13,611,0
E,2,3.097634e-01,1,4.936010e-01,1,3,625,0
E,2,1.966355e-01,1,4.936010e-01,1,8,954,0
E,2,1.966355e-01,1,4.936010e-01,1,8,955,0
E,2,4.936010e-01,1,4.936010e-01,1,13,1036,0
E,2,3.097634e-01,1,4.936010e-01,1,3,1536,0
E,2,4.936010e-01,1,4.936010e-01,1,13,1545,0
E,2,4.936010e-01,1,4.936010e-01,1,13,1653,0
