aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,9.389193e-01,1,9.389193e-01,1,7,101,0
E,1,9.389193e-01,1,9.389193e-01,1,7,279,0
E,1,9.389193e-01,1,9.389193e-01,1,7,390,0
E,1,9.389193e-01,1,9.389193e-01,1,7,520,0
E,1,9.389193e-01,1,9.389193e-01,1,7,599,0
E,1,9.389193e-01,1,9.389193e-01,1,7,668,0
E,1,9.389193e-01,1,9.389193e-01,1,7,834,0
E,2,8.815694e-01,1,8.815694e-01,1,10,70,0
E,2,8.815694e-01,1,8.815694e-01,1,10,76,0
E,2,1.146998e-01,1,8.815694e-01,1,1,228,1
E,2,8.815694e-01,1,8.815694e-01,1,10,351,0
E,2,8.815694e-01,1,8.815694e-01,1,10,383,0
E,2,8.815694e-01,1,8.815694e-01,1,10,513,0
E,2,8.815694e-01,1,8.815694e-01,1,10,678,0
E,2,8.815694e-01,1,8.815694e-01,1,10,682,0
E,2,8.815694e-01,1,8.815694e-01,1,10,705,0
E,2,8.815694e-01,1,8.815694e-01,1,10,825,0
E,2,8.815694e-01,1,8.815694e-01,1,10,873,0
E,3,1.615407e-01,1,8.277225e-01,1,3,43,1
E,3,1.050892e-02,1,8.277225e-01,1,1,62,2
E,3,8.277225e-01,1,8.277225e-01,1,19,71,0
E,3,8.277225e-01,1,8.277225e-01,1,19,120,0
E,3,8.277225e-01,1,8.277225e-01,1,19,161,0
E,3,8.277225e-01,1,8.277225e-01,1,19,281,0
E,3,8.277225e-01,1,8.277225e-01,1,19,304,0
E,3,8.277225e-01,1,8.277225e-01,1,19,373,0
E,3,8.277225e-01,1,8.277225e-01,1,19,579,0
E,3,8.277225e-01,1,8.277225e-01,1,19,630,0
E,3,8.277225e-01,1,8.277225e-01,1,19,635,0
E,3,8.277225e-01,1,8.277225e-01,1,19,675,0
E,3,8.277225e-01,1,8.277225e-01,1,19,781,0
E,3,1.615407e-01,1,8.277225e-01,1,3,789,1
E,3,8.277225e-01,1,8.277225e-01,1,19,803,0
E,3,1.615407e-01,1,8.277225e-01,1,3,809,1
E,3,8.277225e-01,1,8.277225e-01,1,19,814,0
E,3,8.277225e-01,1,8.277225e-01,1,19,818,0
E,3,8.277225e-01,1,8.277225e-01,1,19,826,0
E,3,8.277225e-01,1,8.277225e-01,1,19,829,0
E,3,8.277225e-01,1,8.277225e-01,1,19,831,0
E,3,8.277225e-01,1,8.277225e-01,1,19,878,0
E,3,8.277225e-01,1,8.277225e-01,1,19,885,0
E,4,2.022316e-01,1,7.771646e-01,1,5,87,1
E,4,7.771646e-01,1,7.771646e-01,1,15,107,0
E,4,7.771646e-01,1,7.771646e-01,1,15,124,0
E,4,7.771646e-01,1,7.771646e-01,1,15,146,0
E,4,7.771646e-01,1,7.771646e-01,1,15,195,0
E,4,7.771646e-01,1,7.771646e-01,1,15,391,0
E,4,2.022316e-01,1,7.771646e-01,1,5,453,1
E,4,2.022316e-01,1,7.771646e-01,1,5,454,1
E,4,7.771646e-01,1,7.771646e-01,1,15,471,0
E,4,7.771646e-01,1,7.771646e-01,1,15,505,0
E,4,1.973405e-02,1,7.771646e-01,1,2,552,2
E,4,2.022316e-01,1,7.771646e-01,1,5,561,1
E,4,7.771646e-01,1,7.771646e-01,1,15,576,0
E,4,7.771646e-01,1,7.771646e-01,1,15,656,0
E,4,2.022316e-01,1,7.771646e-01,1,5,659,1
E,4,7.771646e-01,1,7.771646e-01,1,15,732,0
E,4,7.771646e-01,1,7.771646e-01,1,15,743,0
E,4,7.771646e-01,1,7.771646e-01,1,15,747,0
E,4,7.771646e-01,1,7.771646e-01,1,15,760,0
E,4,1.973405e-02,1,7.771646e-01,1,2,782,2
E,4,7.771646e-01,1,7.771646e-01,1,15,806,0
E,4,7.771646e-01,1,7.771646e-01,1,15,811,0
E,5,2.373489e-01,1,7.296948e-01,1,6,33,1
E,5,2.008951e-03,1,7.296948e-01,1,1,72,3
E,5,7.296948e-01,1,7.296948e-01,1,19,80,0
E,5,7.296948e-01,1,7.296948e-01,1,19,84,0
E,5,7.296948e-01,1,7.296948e-01,1,19,92,0
E,5,7.296948e-01,1,7.296948e-01,1,19,109,0
