aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,52,7,1
E,1,5.000000e-01,2,5.000000e-01,2,52,52,1
E,1,5.000000e-01,2,5.000000e-01,2,52,58,1
E,1,5.000000e-01,2,5.000000e-01,2,52,75,1
E,1,5.000000e-01,2,5.000000e-01,2,52,202,1
E,1,5.000000e-01,2,5.000000e-01,2,52,401,1
E,1,5.000000e-01,2,5.000000e-01,2,52,575,1
E,1,5.000000e-01,2,5.000000e-01,2,52,586,1
E,1,5.000000e-01,2,5.000000e-01,2,52,644,1
E,1,5.000000e-01,2,5.000000e-01,2,52,665,1
E,1,5.000000e-01,2,5.000000e-01,2,52,798,1
E,1,5.000000e-01,2,5.000000e-01,2,52,801,1
E,1,5.000000e-01,2,5.000000e-01,2,52,866,1
E,1,5.000000e-01,2,5.000000e-01,2,52,934,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1224,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1305,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1326,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1340,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1358,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1439,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1579,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1643,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1664,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1829,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1837,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1945,1
E,1,5.000000e-01,2,5.000000e-01,2,52,1994,1
E,1,5.000000e-01,2,5.000000e-01,2,52,2215,1
E,1,5.000000e-01,2,5.000000e-01,2,52,2344,1
E,1,5.000000e-01,2,5.000000e-01,2,52,2373,1
E,1,5.000000e-01,2,5.000000e-01,2,52,2435,1
E,1,5.000000e-01,2,5.000000e-01,2,52,2583,1
E,1,5.000000e-01,2,5.000000e-01,2,52,2599,1
E,1,5.000000e-01,2,5.000000e-01,2,52,2705,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3017,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3123,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3299,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3390,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3595,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3615,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3726,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3740,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3768,1
E,1,5.000000e-01,2,5.000000e-01,2,52,3861,1
E,1,5.000000e-01,2,5.000000e-01,2,52,4019,1
E,1,5.000000e-01,2,5.000000e-01,2,52,4063,1
E,1,5.000000e-01,2,5.000000e-01,2,52,4192,1
E,1,5.000000e-01,2,5.000000e-01,2,52,4279,1
E,1,5.000000e-01,2,5.000000e-01,2,52,4286,1
E,1,5.000000e-01,2,5.000000e-01,2,52,4388,1
E,1,5.000000e-01,2,5.000000e-01,2,52,4521,1
E,1,5.000000e-01,2,5.000000e-01,2,52,4541,1
E,2,5.000000e-01,1,5.000000e-01,1,40,45,1
E,2,2.500000e-01,2,5.000000e-01,1,39,57,1
E,2,5.000000e-01,1,5.000000e-01,1,40,123,1
E,2,2.500000e-01,2,5.000000e-01,1,39,144,1
E,2,2.500000e-01,2,5.000000e-01,1,39,209,1
E,2,2.500000e-01,2,5.000000e-01,1,39,274,1
E,2,2.500000e-01,2,5.000000e-01,1,39,367,1
E,2,5.000000e-01,1,5.000000e-01,1,40,420,1
E,2,2.500000e-01,2,5.000000e-01,1,39,523,1
E,2,5.000000e-01,1,5.000000e-01,1,40,733,1
E,2,2.500000e-01,2,5.000000e-01,1,39,740,1
E,2,5.000000e-01,1,5.000000e-01,1,40,747,1
E,2,5.000000e-01,1,5.000000e-01,1,40,758,1
E,2,5.000000e-01,1,5.000000e-01,1,40,790,1
E,2,5.000000e-01,1,5.000000e-01,1,40,993,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1031,1
E,2,5.000000e-01,1,5.000000e-01,1,40,1065,1
E,2,5.000000e-01,1,5.000000e-01,1,40,1067,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1071,1
E,2,5.000000e-01,1,5.000000e-01,1,40,1115,1
E,2,5.000000e-01,1,5.000000e-01,1,40,1128,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1221,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1250,1
E,2,5.000000e-01,1,5.000000e-01,1,40,1637,1
E,2,5.000000e-01,1,5.000000e-01,1,40,1713,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1821,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1822,1
E,2,2.500000e-01,2,5.000000e-01,1,39,1833,1
