species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5167,0.172277,0.978935,10
saccharomyces_sp_boulardii_,KO01_05278,0.074194,0.890977,10
saccharomyces_arboricola_h_6,SU7_3719,0.030588,0.773751,11
saccharomyces_eubayanus,DI49_5611,-0.000000,0.492187,9
_candida_glabrata,CAGL0I08503g,0.072975,0.875173,7
tetrapisispora_phaffii_cbs_4417,TPHA_0G00330,0.047947,0.781382,6
lachancea_thermotolerans_cbs_6340,KLTH0F18656g,0.045052,0.820465,9
naumovozyma_dairenensis_cbs_421,NDAI_0J00250,0.460517,0.937546,5
lachancea_lanzarotensis,LALA0_S05e04676g,-0.000000,0.451172,11
kluyveromyces_marxianus_dmku3_1042,KLMA_70271,-0.000000,0.492187,9
zygosaccharomyces_bailii_isa1307,ZBAI_04687,-0.000000,0.492187,9
kluyveromyces_lactis,KLLA0_B10692g,0.027893,0.711263,8
zygosaccharomyces_bailii_isa1307,ZBAI_06290,-0.000000,0.492187,9
naumovozyma_castellii_cbs_4309,NCAS_0A15090,0.045052,0.820465,9
zygosaccharomyces_rouxii,ZYRO0D01408g,-0.000000,0.492187,9
torulaspora_delbrueckii,TDEL_0H00480,0.027893,0.711263,8
kazachstania_naganishii_cbs_8797,KNAG_0F03790,0.229920,0.984563,7
kazachstania_africana_cbs_2517,KAFR_0B00460,0.018232,0.656382,10
vanderwaltozyma_polyspora_dsm_70294,Kpol_1008p18,0.507907,0.984563,7
eremothecium_cymbalariae_dbvpg_7215,Ecym_2602,0.074194,0.890977,10
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAEL259W,-0.000000,0.492187,9
ashbya_gossypii,AGOS_AEL259W,-0.000000,0.273438,8
tetrapisispora_blattae_cbs_6284,TBLA_0F02980,0.138629,0.937546,5
eremothecium_sinecaudum,AW171_hschr42303,0.047947,0.781382,6
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_54124,0.271132,0.992592,8
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_81227,0.072975,0.875173,7
hanseniaspora_uvarum_dsm_2768,D499_0AE00460,0.018232,0.656382,10
hanseniaspora_opuntiae,AWRI3578_g97,-0.000000,0.451172,11
hanseniaspora_osmophila,AWRI3579_g3521,0.027893,0.711263,8
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_72083,0.460517,0.937546,5
ogataea_polymorpha,OGAPODRAFT_16168,-0.000000,0.546875,7
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_29357,0.507907,0.984563,7
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_179,0.039713,0.856712,17
pichia_kudriavzevii,JL09_g4012,0.271132,0.992592,8
ogataea_parapolymorpha_dl_1,HPODL_04159,-0.000000,0.546875,7
kuraishia_capsulata_cbs_1993,KUCA_T00000477001,-0.000000,0.546875,7
brettanomyces_bruxellensis_awri1499,AWRI1499_2761,0.346574,0.500000,2
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_39205,0.293229,0.996377,9
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_24284,0.193476,0.988643,11
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0D00465g,0.047947,0.781382,6
debaryomyces_hansenii_cbs767,DEHA2B15774g,-0.000000,0.273438,8
candida_parapsilosis_cdc317,CPAR2_500130,-0.000000,0.625000,5
candida_dubliniensis_cd36,CD36_46500,0.139196,0.961212,9
lodderomyces_elongisporus_nrrl_yb_4239,LELG_05701,-0.000000,0.625000,5
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_45285,0.045052,0.820465,9
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0C00376g,0.047947,0.781382,6
debaryomyces_fabryi,AC631_02774,0.045052,0.820465,9
candida_tropicalis_mya_3404,CTRG_03759,-0.000000,0.546875,7
_candida_auris,QG37_03640,0.027893,0.711263,8
scheffersomyces_stipitis_cbs_6054,PICST_49723,-0.000000,0.312500,6
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_59020,0.114536,0.930077,8
candida_orthopsilosis_co_90_125,CORT_0B00230,-0.000000,0.625000,5
meyerozyma_guilliermondii_atcc_6260,PGUG_02309,0.074194,0.890977,10
candida_albicans_wo_1,CAWG_03125,0.114536,0.930077,8
_candida_tenuis_atcc_10573,CANTEDRAFT_106520,-0.000000,0.546875,7
clavispora_lusitaniae_atcc_42720,CLUG_02703,-0.000000,0.546875,7
cyberlindnera_jadinii,BN1211_3060,0.200662,0.968952,6
wickerhamomyces_ciferrii,BN7_6752,0.499289,0.968952,6
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_82256,0.507907,0.984563,7
komagataella_phaffii_cbs_7435,PP7435_CHR3-1086,-0.000000,0.451172,11
schizosaccharomyces_japonicus,SJAG_04060,0.229920,0.984563,7
schizosaccharomyces_cryophilus,SPOG_00246,0.072975,0.875173,7
schizosaccharomyces_octosporus,SOCG_04294,0.072975,0.875173,7
schizosaccharomyces_pombe,SPAC13G7.06,-0.000000,0.492187,9
gaeumannomyces_graminis,GGTG_08259,0.229920,0.984563,7
colletotrichum_sublineola,CSUB01_04061,0.552943,0.998482,10
colletotrichum_salicis,CSAL01_08304,0.537365,0.996377,9
verticillium_longisporum,BN1708_001734,0.557779,0.999395,11
phaeoacremonium_minimum_ucrpa7,UCRPA7_5477,0.229920,0.984563,7
verticillium_alfalfae_vams_102,VDBG_06461,0.557779,0.999395,11
neurospora_tetrasperma_fgsc_2509,NEUTE2DRAFT_143143,0.138629,0.937546,5
metarhizium_rileyi_rcef_4871,NOR_02722,0.537365,0.996377,9
fusarium_pseudograminearum,FPSE_10180,0.293229,0.996377,9
ophiocordyceps_sinensis_co18,OCS_05965,0.219921,0.994028,12
colletotrichum_nymphaeae_sa_01,CNYM01_02663,0.537365,0.996377,9
