species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_05242,0.245674,0.944026,10
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5154,0.245674,0.944026,10
saccharomyces_eubayanus,DI49_5596,0.210791,0.911626,9
saccharomyces_arboricola_h_6,SU7_3707,0.051083,0.629798,10
tetrapisispora_phaffii_cbs_4417,TPHA_0A05720,0.166850,0.938759,13
naumovozyma_dairenensis_cbs_421,NDAI_0B05920,0.102506,0.833121,14
zygosaccharomyces_bailii_isa1307,ZBAI_07849,-0.000000,0.288066,7
zygosaccharomyces_bailii_isa1307,ZBAI_01991,-0.000000,0.288066,7
zygosaccharomyces_rouxii,ZYRO0G20372g,-0.000000,0.222222,3
kazachstania_naganishii_cbs_8797,KNAG_0A07990,-0.000000,0.256059,8
_candida_glabrata,CAGL0F04829g,0.332859,0.975656,9
kazachstania_africana_cbs_2517,KAFR_0G03740,0.120397,0.822029,10
lachancea_thermotolerans_cbs_6340,KLTH0G02332g,-0.000000,0.288066,7
kluyveromyces_marxianus_dmku3_1042,KLMA_20542,0.287823,0.966943,8
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAFR320W,0.255966,0.921937,7
kluyveromyces_lactis,KLLA0_E03873g,0.287823,0.966943,8
eremothecium_cymbalariae_dbvpg_7215,Ecym_1228,0.287807,0.950037,9
eremothecium_sinecaudum,AW171_hschr31685,0.203004,0.962977,13
ashbya_gossypii,AGOS_AFR320W,0.099021,0.768250,7
lachancea_lanzarotensis,LALA0_S06e06678g,-0.000000,0.256059,8
hanseniaspora_uvarum_dsm_2768,D499_0N00170,0.086643,0.704342,8
hanseniaspora_osmophila,AWRI3579_g4568,0.384303,0.994958,10
hanseniaspora_opuntiae,AWRI3578_g1517,0.150497,0.858096,8
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_15394,0.358352,0.987829,5
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_14595,-0.000000,0.666667,2
candida_maltosa_xu316,G210_0158,0.031965,0.469664,9
_candida_tenuis_atcc_10573,CANTEDRAFT_115888,0.107673,0.891336,16
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_27469,0.076358,0.733493,12
meyerozyma_guilliermondii_atcc_6260,PGUG_02375,0.031965,0.469664,9
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_41597,0.632413,0.998268,11
candida_orthopsilosis_co_90_125,CORT_0C05040,0.287823,0.966943,8
candida_albicans_wo_1,CAWG_02800,0.083299,0.743699,11
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_36423,0.287823,0.966943,8
candida_dubliniensis_cd36,CD36_84850,0.160326,0.902455,11
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_61991,0.521950,0.999927,12
debaryomyces_fabryi,AC631_02800,0.089483,0.795447,14
