aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,7,1,0
E,1,5.000000e-01,2,5.000000e-01,2,7,23,0
E,1,5.000000e-01,2,5.000000e-01,2,7,32,0
E,1,5.000000e-01,2,5.000000e-01,2,7,38,0
E,1,5.000000e-01,2,5.000000e-01,2,7,49,0
E,1,5.000000e-01,2,5.000000e-01,2,7,80,0
E,1,5.000000e-01,2,5.000000e-01,2,7,137,0
E,2,2.500000e-01,2,5.000000e-01,1,8,17,0
E,2,5.000000e-01,1,5.000000e-01,1,3,27,0
E,2,2.500000e-01,2,5.000000e-01,1,8,42,0
E,2,2.500000e-01,2,5.000000e-01,1,8,44,0
E,2,5.000000e-01,1,5.000000e-01,1,3,45,0
E,2,2.500000e-01,2,5.000000e-01,1,8,46,0
E,2,2.500000e-01,2,5.000000e-01,1,8,53,0
E,2,2.500000e-01,2,5.000000e-01,1,8,59,0
E,2,2.500000e-01,2,5.000000e-01,1,8,77,0
E,2,2.500000e-01,2,5.000000e-01,1,8,102,0
E,2,5.000000e-01,1,5.000000e-01,1,3,140,0
E,3,1.250000e-01,2,3.750000e-01,2,2,24,0
E,3,3.750000e-01,2,3.750000e-01,2,1,55,0
E,3,1.250000e-01,2,3.750000e-01,2,2,124,0
E,4,2.500000e-01,2,3.750000e-01,1,6,16,1
E,4,3.750000e-01,1,3.750000e-01,1,4,30,1
E,4,2.500000e-01,2,3.750000e-01,1,6,54,1
E,4,3.750000e-01,1,3.750000e-01,1,4,66,1
E,4,6.250000e-02,2,3.750000e-01,1,3,84,1
E,4,3.750000e-01,1,3.750000e-01,1,4,92,1
E,4,2.500000e-01,2,3.750000e-01,1,6,100,1
E,4,2.500000e-01,2,3.750000e-01,1,6,107,1
E,4,3.750000e-01,1,3.750000e-01,1,4,109,1
E,4,6.250000e-02,2,3.750000e-01,1,3,110,1
E,4,6.250000e-02,2,3.750000e-01,1,3,114,1
E,4,2.500000e-01,2,3.750000e-01,1,6,122,1
E,4,2.500000e-01,2,3.750000e-01,1,6,133,1
E,5,1.562500e-01,2,3.125000e-01,2,6,4,1
E,5,3.125000e-01,2,3.125000e-01,2,6,35,1
E,5,1.562500e-01,2,3.125000e-01,2,6,56,1
E,5,1.562500e-01,2,3.125000e-01,2,6,88,1
E,5,1.562500e-01,2,3.125000e-01,2,6,91,1
E,5,3.125000e-01,2,3.125000e-01,2,6,94,1
E,5,1.562500e-01,2,3.125000e-01,2,6,98,1
E,5,3.125000e-01,2,3.125000e-01,2,6,104,1
E,5,3.125000e-01,2,3.125000e-01,2,6,108,1
E,5,3.125000e-01,2,3.125000e-01,2,6,119,1
E,5,3.125000e-01,2,3.125000e-01,2,6,123,1
E,5,1.562500e-01,2,3.125000e-01,2,6,129,1
E,6,2.343750e-01,2,3.125000e-01,1,1,15,2
E,6,3.125000e-01,1,3.125000e-01,1,5,36,2
E,6,3.125000e-01,1,3.125000e-01,1,5,50,2
E,6,3.125000e-01,1,3.125000e-01,1,5,71,2
E,6,3.125000e-01,1,3.125000e-01,1,5,72,2
E,6,3.125000e-01,1,3.125000e-01,1,5,115,2
E,6,9.375000e-02,2,3.125000e-01,1,1,121,2
E,7,5.468750e-02,2,2.734375e-01,2,2,8,6
E,7,1.640625e-01,2,2.734375e-01,2,2,103,6
E,7,1.640625e-01,2,2.734375e-01,2,2,106,6
E,7,5.468750e-02,2,2.734375e-01,2,2,127,6
E,8,2.734375e-01,1,2.734375e-01,1,1,51,4
E,8,2.187500e-01,2,2.734375e-01,1,3,95,4
E,8,2.187500e-01,2,2.734375e-01,1,3,112,4
E,8,2.187500e-01,2,2.734375e-01,1,3,125,4
E,9,7.031250e-02,2,2.460937e-01,2,2,29,7
E,9,1.640625e-01,2,2.460937e-01,2,2,57,7
E,9,7.031250e-02,2,2.460937e-01,2,2,61,7
E,9,2.460937e-01,2,2.460937e-01,2,2,79,7
E,9,1.640625e-01,2,2.460937e-01,2,2,118,7
E,9,2.460937e-01,2,2.460937e-01,2,2,138,7
E,10,1.171875e-01,2,2.460938e-01,1,1,2,3
E,10,2.050781e-01,2,2.460938e-01,1,1,37,3
E,10,9.765625e-03,2,2.460938e-01,1,1,113,3
E,11,1.611328e-01,2,2.255859e-01,2,1,11,7
E,11,2.255859e-01,2,2.255859e-01,2,1,116,7
E,12,2.255859e-01,1,2.255859e-01,1,2,20,6
E,12,5.371094e-02,2,2.255859e-01,1,2,21,6
E,12,1.933594e-01,2,2.255859e-01,1,2,65,6
E,12,5.371094e-02,2,2.255859e-01,1,2,69,6
E,12,2.255859e-01,1,2.255859e-01,1,2,93,6
E,12,1.933594e-01,2,2.255859e-01,1,2,101,6
E,13,1.571045e-01,2,2.094727e-01,2,2,9,5
E,13,1.571045e-01,2,2.094727e-01,2,2,96,5
E,14,6.109619e-02,2,2.094727e-01,1,1,83,10
E,14,2.094727e-01,1,2.094727e-01,1,1,99,10
E,14,1.832886e-01,2,2.094727e-01,1,2,105,10
E,14,1.832886e-01,2,2.094727e-01,1,2,134,10
E,15,1.963806e-01,2,1.963806e-01,2,1,68,8
E,16,1.745605e-01,2,1.963806e-01,1,3,18,9
E,16,1.745605e-01,2,1.963806e-01,1,3,39,9
E,16,1.221924e-01,2,1.963806e-01,1,1,67,9
E,16,1.745605e-01,2,1.963806e-01,1,3,111,9
E,17,9.442139e-02,2,1.854706e-01,2,2,75,11
E,17,1.483765e-01,2,1.854706e-01,2,1,86,11
E,17,1.854706e-01,2,1.854706e-01,2,1,131,11
E,17,9.442139e-02,2,1.854706e-01,2,2,142,11
E,18,1.669235e-01,2,1.854706e-01,1,1,10,10
E,18,1.854706e-01,1,1.854706e-01,1,2,22,10
E,18,1.854706e-01,1,1.854706e-01,1,2,85,10
E,18,1.213989e-01,2,1.854706e-01,1,1,132,10
E,19,5.175018e-02,2,1.761971e-01,2,1,25,6
E,19,1.441612e-01,2,1.761971e-01,2,1,64,6
E,20,1.601791e-01,2,1.761971e-01,1,1,26,11
E,20,1.761971e-01,1,1.761971e-01,1,1,40,11
E,21,9.703159e-02,2,1.681881e-01,2,1,34,8
E,21,1.401567e-01,2,1.681881e-01,2,2,74,8
E,21,1.681881e-01,2,1.681881e-01,2,1,78,8
E,21,1.401567e-01,2,1.681881e-01,2,2,139,8
E,24,2.062941e-02,2,1.611803e-01,1,2,52,7
E,24,2.062941e-02,2,1.611803e-01,1,2,73,7
E,25,9.741664e-02,2,1.549810e-01,2,1,120,10
E,27,9.713989e-02,2,1.494460e-01,2,1,62,16
E,28,7.999755e-02,2,1.494460e-01,1,1,70,17
E,30,5.087564e-02,2,1.444644e-01,1,1,60,19
E,31,1.234852e-01,2,1.399499e-01,2,1,6,14
E,34,1.358338e-01,1,1.358338e-01,1,1,126,17
E,38,5.628421e-02,2,1.285853e-01,1,1,63,15
E,39,1.253707e-01,2,1.253707e-01,2,1,19,20
E,40,1.194007e-01,2,1.253707e-01,1,1,7,19
E,42,1.168227e-01,2,1.223857e-01,1,2,87,22
E,42,1.168227e-01,2,1.223857e-01,1,2,130,22
E,46,5.903540e-02,2,1.170041e-01,1,1,13,27
E,47,1.054012e-01,2,1.145665e-01,2,1,90,25
E,49,5.023098e-02,2,1.122752e-01,2,1,3,29
E,58,1.008396e-01,2,1.043168e-01,1,1,97,30
E,65,8.156199e-02,2,9.784150e-02,2,1,81,35
E,65,1.766403e-02,2,9.784150e-02,2,1,136,35
E,84,4.813488e-02,2,8.679764e-02,1,1,14,47
E,85,6.487816e-02,2,8.578836e-02,2,1,12,39
E,91,3.319052e-02,2,8.295948e-02,2,1,89,39
E,91,4.314768e-02,2,8.295948e-02,2,1,128,39
H,1,5.000000e-01,2,5.000000e-01,2,27,8,0
H,1,5.000000e-01,2,5.000000e-01,2,27,17,0
