aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.538097e-01,1,7.538097e-01,1,9,120,1
E,1,7.538097e-01,1,7.538097e-01,1,9,524,1
E,1,7.538097e-01,1,7.538097e-01,1,9,545,1
E,1,2.461903e-01,1,7.538097e-01,1,1,1022,0
E,1,7.538097e-01,1,7.538097e-01,1,9,1084,1
E,1,7.538097e-01,1,7.538097e-01,1,9,1260,1
E,1,7.538097e-01,1,7.538097e-01,1,9,1344,1
E,1,7.538097e-01,1,7.538097e-01,1,9,1484,1
E,1,7.538097e-01,1,7.538097e-01,1,9,1535,1
E,1,7.538097e-01,1,7.538097e-01,1,9,1575,1
E,2,5.682290e-01,1,5.682290e-01,1,14,7,2
E,2,5.682290e-01,1,5.682290e-01,1,14,110,2
E,2,5.682290e-01,1,5.682290e-01,1,14,179,2
E,2,5.682290e-01,1,5.682290e-01,1,14,204,2
E,2,5.682290e-01,1,5.682290e-01,1,14,238,2
E,2,3.711613e-01,1,5.682290e-01,1,10,453,1
E,2,5.682290e-01,1,5.682290e-01,1,14,647,2
E,2,5.682290e-01,1,5.682290e-01,1,14,793,2
E,2,3.711613e-01,1,5.682290e-01,1,10,801,1
E,2,3.711613e-01,1,5.682290e-01,1,10,930,1
E,2,3.711613e-01,1,5.682290e-01,1,10,1034,1
E,2,5.682290e-01,1,5.682290e-01,1,14,1043,2
E,2,5.682290e-01,1,5.682290e-01,1,14,1053,2
E,2,5.682290e-01,1,5.682290e-01,1,14,1209,2
E,2,3.711613e-01,1,5.682290e-01,1,10,1247,1
E,2,5.682290e-01,1,5.682290e-01,1,14,1258,2
E,2,3.711613e-01,1,5.682290e-01,1,10,1305,1
E,2,5.682290e-01,1,5.682290e-01,1,14,1361,2
E,2,3.711613e-01,1,5.682290e-01,1,10,1374,1
E,2,3.711613e-01,1,5.682290e-01,1,10,1397,1
E,2,5.682290e-01,1,5.682290e-01,1,14,1588,2
E,2,3.711613e-01,1,5.682290e-01,1,10,1709,1
E,2,3.711613e-01,1,5.682290e-01,1,10,1795,1
E,2,5.682290e-01,1,5.682290e-01,1,14,2051,2
E,3,4.196775e-01,1,4.283365e-01,1,15,24,2
E,3,1.370645e-01,1,4.283365e-01,1,6,36,1
E,3,4.196775e-01,1,4.283365e-01,1,15,117,2
E,3,4.196775e-01,1,4.283365e-01,1,15,121,2
E,3,4.196775e-01,1,4.283365e-01,1,15,138,2
E,3,4.283365e-01,1,4.283365e-01,1,8,210,3
E,3,4.196775e-01,1,4.283365e-01,1,15,281,2
E,3,4.196775e-01,1,4.283365e-01,1,15,337,2
E,3,4.196775e-01,1,4.283365e-01,1,15,377,2
E,3,4.283365e-01,1,4.283365e-01,1,8,396,3
E,3,1.370645e-01,1,4.283365e-01,1,6,409,1
E,3,4.196775e-01,1,4.283365e-01,1,15,464,2
E,3,1.492152e-02,1,4.283365e-01,1,1,649,0
E,3,4.283365e-01,1,4.283365e-01,1,8,660,3
