aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,47,36,0
E,1,5.000000e-01,2,5.000000e-01,2,47,145,0
E,1,5.000000e-01,2,5.000000e-01,2,47,182,0
E,1,5.000000e-01,2,5.000000e-01,2,47,191,0
E,1,5.000000e-01,2,5.000000e-01,2,47,234,0
E,1,5.000000e-01,2,5.000000e-01,2,47,294,0
E,1,5.000000e-01,2,5.000000e-01,2,47,384,0
E,1,5.000000e-01,2,5.000000e-01,2,47,456,0
E,1,5.000000e-01,2,5.000000e-01,2,47,525,0
E,1,5.000000e-01,2,5.000000e-01,2,47,661,0
E,1,5.000000e-01,2,5.000000e-01,2,47,716,0
E,1,5.000000e-01,2,5.000000e-01,2,47,724,0
E,1,5.000000e-01,2,5.000000e-01,2,47,740,0
E,1,5.000000e-01,2,5.000000e-01,2,47,792,0
E,1,5.000000e-01,2,5.000000e-01,2,47,809,0
E,1,5.000000e-01,2,5.000000e-01,2,47,814,0
E,1,5.000000e-01,2,5.000000e-01,2,47,1296,0
E,1,5.000000e-01,2,5.000000e-01,2,47,1515,0
E,1,5.000000e-01,2,5.000000e-01,2,47,1524,0
E,1,5.000000e-01,2,5.000000e-01,2,47,1557,0
E,1,5.000000e-01,2,5.000000e-01,2,47,1646,0
E,1,5.000000e-01,2,5.000000e-01,2,47,1650,0
E,1,5.000000e-01,2,5.000000e-01,2,47,1703,0
E,1,5.000000e-01,2,5.000000e-01,2,47,1708,0
E,1,5.000000e-01,2,5.000000e-01,2,47,1993,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2017,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2050,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2090,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2155,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2164,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2166,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2506,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2606,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2834,0
E,1,5.000000e-01,2,5.000000e-01,2,47,2981,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3060,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3178,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3215,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3244,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3261,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3274,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3327,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3424,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3477,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3691,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3734,0
E,1,5.000000e-01,2,5.000000e-01,2,47,3800,0
E,2,2.500000e-01,2,5.000000e-01,1,39,7,0
E,2,5.000000e-01,1,5.000000e-01,1,37,51,0
E,2,5.000000e-01,1,5.000000e-01,1,37,94,0
E,2,5.000000e-01,1,5.000000e-01,1,37,118,0
E,2,5.000000e-01,1,5.000000e-01,1,37,162,0
E,2,5.000000e-01,1,5.000000e-01,1,37,192,0
E,2,2.500000e-01,2,5.000000e-01,1,39,210,0
E,2,2.500000e-01,2,5.000000e-01,1,39,332,0
E,2,5.000000e-01,1,5.000000e-01,1,37,336,0
E,2,5.000000e-01,1,5.000000e-01,1,37,376,0
E,2,5.000000e-01,1,5.000000e-01,1,37,393,0
E,2,5.000000e-01,1,5.000000e-01,1,37,480,0
E,2,5.000000e-01,1,5.000000e-01,1,37,524,0
E,2,2.500000e-01,2,5.000000e-01,1,39,537,0
E,2,2.500000e-01,2,5.000000e-01,1,39,606,0
E,2,2.500000e-01,2,5.000000e-01,1,39,690,0
E,2,2.500000e-01,2,5.000000e-01,1,39,713,0
E,2,2.500000e-01,2,5.000000e-01,1,39,714,0
E,2,2.500000e-01,2,5.000000e-01,1,39,717,0
E,2,2.500000e-01,2,5.000000e-01,1,39,718,0
E,2,2.500000e-01,2,5.000000e-01,1,39,823,0
E,2,2.500000e-01,2,5.000000e-01,1,39,856,0
E,2,5.000000e-01,1,5.000000e-01,1,37,945,0
E,2,2.500000e-01,2,5.000000e-01,1,39,983,0
E,2,2.500000e-01,2,5.000000e-01,1,39,1039,0
E,2,5.000000e-01,1,5.000000e-01,1,37,1062,0
E,2,5.000000e-01,1,5.000000e-01,1,37,1176,0
E,2,5.000000e-01,1,5.000000e-01,1,37,1247,0
E,2,5.000000e-01,1,5.000000e-01,1,37,1258,0
E,2,5.000000e-01,1,5.000000e-01,1,37,1401,0
E,2,5.000000e-01,1,5.000000e-01,1,37,1402,0
E,2,2.500000e-01,2,5.000000e-01,1,39,1509,0
E,2,2.500000e-01,2,5.000000e-01,1,39,1554,0
E,2,5.000000e-01,1,5.000000e-01,1,37,1575,0
E,2,5.000000e-01,1,5.000000e-01,1,37,1656,0
E,2,5.000000e-01,1,5.000000e-01,1,37,1662,0
