aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,8,14,0
E,1,5.000000e-01,2,5.000000e-01,2,8,111,0
E,1,5.000000e-01,2,5.000000e-01,2,8,192,0
E,1,5.000000e-01,2,5.000000e-01,2,8,444,0
E,1,5.000000e-01,2,5.000000e-01,2,8,463,0
E,1,5.000000e-01,2,5.000000e-01,2,8,675,0
E,1,5.000000e-01,2,5.000000e-01,2,8,718,0
E,1,5.000000e-01,2,5.000000e-01,2,8,878,0
E,2,5.000000e-01,1,5.000000e-01,1,10,11,1
E,2,5.000000e-01,1,5.000000e-01,1,10,69,1
E,2,5.000000e-01,1,5.000000e-01,1,10,123,1
E,2,2.500000e-01,2,5.000000e-01,1,11,158,1
E,2,2.500000e-01,2,5.000000e-01,1,11,207,1
E,2,2.500000e-01,2,5.000000e-01,1,11,226,1
E,2,2.500000e-01,2,5.000000e-01,1,11,253,1
E,2,2.500000e-01,2,5.000000e-01,1,11,305,1
E,2,5.000000e-01,1,5.000000e-01,1,10,320,1
E,2,2.500000e-01,2,5.000000e-01,1,11,339,1
E,2,2.500000e-01,2,5.000000e-01,1,11,481,1
E,2,5.000000e-01,1,5.000000e-01,1,10,482,1
E,2,2.500000e-01,2,5.000000e-01,1,11,555,1
E,2,2.500000e-01,2,5.000000e-01,1,11,596,1
E,2,5.000000e-01,1,5.000000e-01,1,10,599,1
E,2,5.000000e-01,1,5.000000e-01,1,10,613,1
E,2,2.500000e-01,2,5.000000e-01,1,11,637,1
E,2,5.000000e-01,1,5.000000e-01,1,10,664,1
E,2,5.000000e-01,1,5.000000e-01,1,10,677,1
E,2,5.000000e-01,1,5.000000e-01,1,10,696,1
E,2,2.500000e-01,2,5.000000e-01,1,11,879,1
E,3,3.750000e-01,2,3.750000e-01,2,13,26,2
E,3,3.750000e-01,2,3.750000e-01,2,13,174,2
E,3,3.750000e-01,2,3.750000e-01,2,13,333,2
E,3,3.750000e-01,2,3.750000e-01,2,13,354,2
E,3,3.750000e-01,2,3.750000e-01,2,13,368,2
E,3,1.250000e-01,2,3.750000e-01,2,4,370,2
E,3,3.750000e-01,2,3.750000e-01,2,13,424,2
E,3,3.750000e-01,2,3.750000e-01,2,13,469,2
E,3,1.250000e-01,2,3.750000e-01,2,4,474,2
E,3,3.750000e-01,2,3.750000e-01,2,13,516,2
E,3,3.750000e-01,2,3.750000e-01,2,13,550,2
E,3,1.250000e-01,2,3.750000e-01,2,4,551,2
E,3,1.250000e-01,2,3.750000e-01,2,4,572,2
E,3,3.750000e-01,2,3.750000e-01,2,13,695,2
E,3,3.750000e-01,2,3.750000e-01,2,13,707,2
E,3,3.750000e-01,2,3.750000e-01,2,13,741,2
E,3,3.750000e-01,2,3.750000e-01,2,13,823,2
E,4,3.750000e-01,1,3.750000e-01,1,7,169,2
E,4,2.500000e-01,2,3.750000e-01,1,8,186,2
E,4,2.500000e-01,2,3.750000e-01,1,8,403,2
E,4,3.750000e-01,1,3.750000e-01,1,7,420,2
E,4,3.750000e-01,1,3.750000e-01,1,7,439,2
E,4,2.500000e-01,2,3.750000e-01,1,8,519,2
E,4,3.750000e-01,1,3.750000e-01,1,7,530,2
E,4,2.500000e-01,2,3.750000e-01,1,8,611,2
E,4,2.500000e-01,2,3.750000e-01,1,8,673,2
E,4,3.750000e-01,1,3.750000e-01,1,7,692,2
E,4,3.750000e-01,1,3.750000e-01,1,7,702,2
E,4,2.500000e-01,2,3.750000e-01,1,8,709,2
E,4,2.500000e-01,2,3.750000e-01,1,8,754,2
E,4,6.250000e-02,2,3.750000e-01,1,1,767,2
E,4,2.500000e-01,2,3.750000e-01,1,8,772,2
