species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5327,NaN,NaN,NaN
zygosaccharomyces_bailii_isa1307,ZBAI_04069,0.027893,0.711263,8
zygosaccharomyces_bailii_isa1307,ZBAI_05631,-0.000000,0.312500,6
kazachstania_naganishii_cbs_8797,KNAG_0K02690,0.062812,0.957746,25
vanderwaltozyma_polyspora_dsm_70294,Kpol_458p4,0.067537,0.923820,16
naumovozyma_dairenensis_cbs_421,NDAI_0D05120,0.017819,0.836980,42
kazachstania_naganishii_cbs_8797,KNAG_0B07010,0.047496,0.987154,55
vanderwaltozyma_polyspora_dsm_70294,Kpol_462p7,0.099312,0.996943,36
naumovozyma_dairenensis_cbs_421,NDAI_0B01880,0.271132,0.992592,8
naumovozyma_castellii_cbs_4309,NCAS_0A03340,0.106605,0.998976,59
vanderwaltozyma_polyspora_dsm_70294,Kpol_458p5,0.335891,0.999049,54
vanderwaltozyma_polyspora_dsm_70294,Kpol_2000p112,0.376280,0.999869,44
naumovozyma_dairenensis_cbs_421,NDAI_0K00110,0.019847,0.929661,70
naumovozyma_dairenensis_cbs_421,NDAI_0I00100,0.071497,0.998192,61
naumovozyma_dairenensis_cbs_421,NDAI_0B06380,0.070890,0.998759,64
naumovozyma_dairenensis_cbs_421,NDAI_0E05110,0.004199,0.591852,53
naumovozyma_castellii_cbs_4309,NCAS_0C00100,NaN,NaN,NaN
naumovozyma_castellii_cbs_4309,NCAS_0H03390,-0.000000,0.625000,5
naumovozyma_castellii_cbs_4309,NCAS_0C00110,0.288040,0.999836,30
kazachstania_naganishii_cbs_8797,KNAG_0G02510,0.101366,0.875133,4
lachancea_thermotolerans_cbs_6340,KLTH0D00132g,0.023301,0.897229,46
kazachstania_naganishii_cbs_8797,KNAG_0D05400,0.153247,0.999869,44
kazachstania_naganishii_cbs_8797,KNAG_0H03870,0.167797,0.999889,51
naumovozyma_dairenensis_cbs_421,NDAI_0C06640,NaN,NaN,NaN
naumovozyma_castellii_cbs_4309,NCAS_0E00100,0.119590,0.961793,12
vanderwaltozyma_polyspora_dsm_70294,Kpol_2000p111,0.023545,0.762634,18
naumovozyma_castellii_cbs_4309,NCAS_0F04120,0.234628,0.999683,36
naumovozyma_dairenensis_cbs_421,NDAI_0B00520,-0.000000,0.212294,55
naumovozyma_castellii_cbs_4309,NCAS_0E00120,0.222710,0.999318,40
naumovozyma_dairenensis_cbs_421,NDAI_0A00850,0.054830,0.977670,39
naumovozyma_dairenensis_cbs_421,NDAI_0B03990,0.015955,0.753200,27
naumovozyma_castellii_cbs_4309,NCAS_0A00110,-0.000000,0.273438,8
lachancea_thermotolerans_cbs_6340,KLTH0B10318g,0.033946,0.977485,65
naumovozyma_dairenensis_cbs_421,NDAI_0K00100,0.067991,0.999613,79
vanderwaltozyma_polyspora_dsm_70294,Kpol_381p5,0.188587,0.998968,55
naumovozyma_castellii_cbs_4309,NCAS_0H00130,0.019150,0.737483,20
kazachstania_naganishii_cbs_8797,KNAG_0G00100,0.135190,0.997013,25
vanderwaltozyma_polyspora_dsm_70294,Kpol_272p1,0.219178,0.998509,78
naumovozyma_castellii_cbs_4309,NCAS_0D00100,NaN,NaN,NaN
vanderwaltozyma_polyspora_dsm_70294,Kpol_301p4,0.093602,0.934887,11
naumovozyma_castellii_cbs_4309,NCAS_0H00100,0.216577,0.996366,50
lachancea_thermotolerans_cbs_6340,KLTH0B10428g,0.023301,0.897229,46
naumovozyma_dairenensis_cbs_421,NDAI_0B00550,0.005328,0.619280,47
kazachstania_naganishii_cbs_8797,KNAG_0K00100,0.199094,0.998475,52
naumovozyma_dairenensis_cbs_421,NDAI_0C00100,0.078474,0.998524,66
kazachstania_naganishii_cbs_8797,KNAG_0A08040,0.075417,0.989542,36
naumovozyma_dairenensis_cbs_421,NDAI_0G02880,0.172277,0.978935,10
naumovozyma_castellii_cbs_4309,NCAS_0E00110,0.572904,0.996844,13
naumovozyma_dairenensis_cbs_421,NDAI_0B01490,0.146687,0.999566,43
torulaspora_delbrueckii,TDEL_0D00100,0.004045,0.549120,44
torulaspora_delbrueckii,TDEL_0H04530,0.005649,0.651132,56
torulaspora_delbrueckii,TDEL_0E05770,0.001934,0.448840,45
