aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.086248e-01,1,7.086248e-01,1,7,100,0
E,1,7.086248e-01,1,7.086248e-01,1,7,234,0
E,1,2.913752e-01,1,7.086248e-01,1,2,312,1
E,1,7.086248e-01,1,7.086248e-01,1,7,523,0
E,1,7.086248e-01,1,7.086248e-01,1,7,764,0
E,1,2.913752e-01,1,7.086248e-01,1,2,1058,1
E,1,7.086248e-01,1,7.086248e-01,1,7,1576,0
E,1,7.086248e-01,1,7.086248e-01,1,7,1650,0
E,1,7.086248e-01,1,7.086248e-01,1,7,1683,0
E,2,4.129514e-01,1,5.021491e-01,1,9,3,1
E,2,5.021491e-01,1,5.021491e-01,1,13,207,0
E,2,5.021491e-01,1,5.021491e-01,1,13,258,0
E,2,4.129514e-01,1,5.021491e-01,1,9,277,1
E,2,5.021491e-01,1,5.021491e-01,1,13,397,0
E,2,4.129514e-01,1,5.021491e-01,1,9,459,1
E,2,4.129514e-01,1,5.021491e-01,1,9,505,1
E,2,5.021491e-01,1,5.021491e-01,1,13,509,0
E,2,5.021491e-01,1,5.021491e-01,1,13,688,0
E,2,5.021491e-01,1,5.021491e-01,1,13,720,0
E,2,4.129514e-01,1,5.021491e-01,1,9,807,1
E,2,4.129514e-01,1,5.021491e-01,1,9,879,1
E,2,5.021491e-01,1,5.021491e-01,1,13,905,0
E,2,5.021491e-01,1,5.021491e-01,1,13,981,0
E,2,4.129514e-01,1,5.021491e-01,1,9,1242,1
E,2,5.021491e-01,1,5.021491e-01,1,13,1418,0
E,2,5.021491e-01,1,5.021491e-01,1,13,1465,0
E,2,4.129514e-01,1,5.021491e-01,1,9,1592,1
E,2,5.021491e-01,1,5.021491e-01,1,13,1608,0
E,2,5.021491e-01,1,5.021491e-01,1,13,1615,0
E,2,5.021491e-01,1,5.021491e-01,1,13,1677,0
E,2,8.489953e-02,1,5.021491e-01,1,1,1684,2
E,2,4.129514e-01,1,5.021491e-01,1,9,1696,1
E,3,4.389414e-01,1,4.389414e-01,1,9,128,1
E,3,3.558353e-01,1,4.389414e-01,1,9,201,0
E,3,3.558353e-01,1,4.389414e-01,1,9,458,0
E,3,3.558353e-01,1,4.389414e-01,1,9,525,0
E,3,1.804857e-01,1,4.389414e-01,1,3,646,2
E,3,3.558353e-01,1,4.389414e-01,1,9,669,0
E,3,4.389414e-01,1,4.389414e-01,1,9,689,1
E,3,4.389414e-01,1,4.389414e-01,1,9,742,1
E,3,3.558353e-01,1,4.389414e-01,1,9,759,0
E,3,4.389414e-01,1,4.389414e-01,1,9,827,1
E,3,4.389414e-01,1,4.389414e-01,1,9,889,1
E,3,4.389414e-01,1,4.389414e-01,1,9,900,1
E,3,1.804857e-01,1,4.389414e-01,1,3,953,2
E,3,1.804857e-01,1,4.389414e-01,1,3,997,2
E,3,3.558353e-01,1,4.389414e-01,1,9,1000,0
E,3,4.389414e-01,1,4.389414e-01,1,9,1009,1
E,3,3.558353e-01,1,4.389414e-01,1,9,1100,0
E,3,3.558353e-01,1,4.389414e-01,1,9,1436,0
E,3,2.473762e-02,1,4.389414e-01,1,1,1529,3
E,3,4.389414e-01,1,4.389414e-01,1,9,1555,1
E,3,4.389414e-01,1,4.389414e-01,1,9,1697,1
E,3,3.558353e-01,1,4.389414e-01,1,9,1715,0
E,4,2.521537e-01,1,4.147263e-01,1,4,5,0
E,4,2.557933e-01,1,4.147263e-01,1,4,265,2
E,4,4.147263e-01,1,4.147263e-01,1,11,321,1
E,4,7.011876e-02,1,4.147263e-01,1,2,333,3
E,4,2.557933e-01,1,4.147263e-01,1,4,342,2
E,4,4.147263e-01,1,4.147263e-01,1,11,595,1
E,4,4.147263e-01,1,4.147263e-01,1,11,627,1
E,4,4.147263e-01,1,4.147263e-01,1,11,769,1
E,4,2.557933e-01,1,4.147263e-01,1,4,787,2
E,4,4.147263e-01,1,4.147263e-01,1,11,818,1
E,4,4.147263e-01,1,4.147263e-01,1,11,963,1
E,4,4.147263e-01,1,4.147263e-01,1,11,976,1
E,4,4.147263e-01,1,4.147263e-01,1,11,1072,1
E,4,2.521537e-01,1,4.147263e-01,1,4,1155,0
E,4,2.557933e-01,1,4.147263e-01,1,4,1201,2
E,4,7.207930e-03,1,4.147263e-01,1,1,1399,4
E,4,4.147263e-01,1,4.147263e-01,1,11,1439,1
E,4,4.147263e-01,1,4.147263e-01,1,11,1487,1
E,4,2.521537e-01,1,4.147263e-01,1,4,1547,0
E,4,2.521537e-01,1,4.147263e-01,1,4,1581,0
E,4,7.011876e-02,1,4.147263e-01,1,2,1700,3
E,4,4.147263e-01,1,4.147263e-01,1,11,1724,1
E,5,3.021025e-01,1,3.673567e-01,1,13,10,2
E,5,3.021025e-01,1,3.673567e-01,1,13,110,2
E,5,1.786823e-01,1,3.673567e-01,1,4,193,0
E,5,3.673567e-01,1,3.673567e-01,1,11,195,1
E,5,1.242197e-01,1,3.673567e-01,1,6,273,3
E,5,3.021025e-01,1,3.673567e-01,1,13,325,2
