aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,32,49,0
E,1,5.000000e-01,2,5.000000e-01,2,32,102,0
E,1,5.000000e-01,2,5.000000e-01,2,32,103,0
E,1,5.000000e-01,2,5.000000e-01,2,32,147,0
E,1,5.000000e-01,2,5.000000e-01,2,32,194,0
E,1,5.000000e-01,2,5.000000e-01,2,32,208,0
E,1,5.000000e-01,2,5.000000e-01,2,32,236,0
E,1,5.000000e-01,2,5.000000e-01,2,32,274,0
E,1,5.000000e-01,2,5.000000e-01,2,32,480,0
E,1,5.000000e-01,2,5.000000e-01,2,32,530,0
E,1,5.000000e-01,2,5.000000e-01,2,32,553,0
E,1,5.000000e-01,2,5.000000e-01,2,32,618,0
E,1,5.000000e-01,2,5.000000e-01,2,32,653,0
E,1,5.000000e-01,2,5.000000e-01,2,32,663,0
E,1,5.000000e-01,2,5.000000e-01,2,32,903,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1002,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1034,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1076,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1141,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1225,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1357,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1365,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1434,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1503,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1524,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1555,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1841,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2061,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2062,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2151,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2213,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2314,0
E,2,2.500000e-01,2,5.000000e-01,1,16,24,0
E,2,5.000000e-01,1,5.000000e-01,1,17,53,0
E,2,5.000000e-01,1,5.000000e-01,1,17,81,0
E,2,2.500000e-01,2,5.000000e-01,1,16,169,0
E,2,5.000000e-01,1,5.000000e-01,1,17,198,0
E,2,5.000000e-01,1,5.000000e-01,1,17,423,0
E,2,2.500000e-01,2,5.000000e-01,1,16,483,0
E,2,2.500000e-01,2,5.000000e-01,1,16,540,0
E,2,2.500000e-01,2,5.000000e-01,1,16,595,0
E,2,2.500000e-01,2,5.000000e-01,1,16,613,0
E,2,5.000000e-01,1,5.000000e-01,1,17,662,0
E,2,5.000000e-01,1,5.000000e-01,1,17,789,0
E,2,5.000000e-01,1,5.000000e-01,1,17,838,0
E,2,2.500000e-01,2,5.000000e-01,1,16,850,0
E,2,2.500000e-01,2,5.000000e-01,1,16,873,0
E,2,2.500000e-01,2,5.000000e-01,1,16,880,0
E,2,5.000000e-01,1,5.000000e-01,1,17,891,0
E,2,5.000000e-01,1,5.000000e-01,1,17,977,0
E,2,2.500000e-01,2,5.000000e-01,1,16,980,0
E,2,5.000000e-01,1,5.000000e-01,1,17,1039,0
E,2,5.000000e-01,1,5.000000e-01,1,17,1054,0
E,2,5.000000e-01,1,5.000000e-01,1,17,1230,0
E,2,2.500000e-01,2,5.000000e-01,1,16,1254,0
E,2,2.500000e-01,2,5.000000e-01,1,16,1479,0
E,2,5.000000e-01,1,5.000000e-01,1,17,1639,0
E,2,5.000000e-01,1,5.000000e-01,1,17,1754,0
E,2,5.000000e-01,1,5.000000e-01,1,17,1782,0
E,2,2.500000e-01,2,5.000000e-01,1,16,1927,0
E,2,5.000000e-01,1,5.000000e-01,1,17,1932,0
E,2,5.000000e-01,1,5.000000e-01,1,17,1950,0
E,2,2.500000e-01,2,5.000000e-01,1,16,2125,0
E,2,2.500000e-01,2,5.000000e-01,1,16,2226,0
E,2,2.500000e-01,2,5.000000e-01,1,16,2412,0
E,3,3.750000e-01,2,3.750000e-01,2,47,78,2
E,3,3.750000e-01,2,3.750000e-01,2,47,79,2
E,3,3.750000e-01,2,3.750000e-01,2,47,80,2
E,3,1.250000e-01,2,3.750000e-01,2,9,138,2
E,3,3.750000e-01,2,3.750000e-01,2,47,141,2
E,3,3.750000e-01,2,3.750000e-01,2,47,340,2
E,3,3.750000e-01,2,3.750000e-01,2,47,406,2
E,3,3.750000e-01,2,3.750000e-01,2,47,418,2
E,3,3.750000e-01,2,3.750000e-01,2,47,433,2
E,3,3.750000e-01,2,3.750000e-01,2,47,454,2
E,3,3.750000e-01,2,3.750000e-01,2,47,474,2
E,3,3.750000e-01,2,3.750000e-01,2,47,510,2
E,3,1.250000e-01,2,3.750000e-01,2,9,518,2
E,3,1.250000e-01,2,3.750000e-01,2,9,525,2
E,3,3.750000e-01,2,3.750000e-01,2,47,556,2
E,3,3.750000e-01,2,3.750000e-01,2,47,563,2
E,3,3.750000e-01,2,3.750000e-01,2,47,573,2
E,3,3.750000e-01,2,3.750000e-01,2,47,575,2
E,3,3.750000e-01,2,3.750000e-01,2,47,616,2
E,3,3.750000e-01,2,3.750000e-01,2,47,664,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1067,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1212,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1241,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1259,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1279,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1302,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1311,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1331,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1335,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1353,2
E,3,3.750000e-01,2,3.750000e-01,2,47,1392,2
