aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.556051e-01,1,5.556051e-01,1,20,119,1
E,1,5.556051e-01,1,5.556051e-01,1,20,144,1
E,1,5.556051e-01,1,5.556051e-01,1,20,217,1
E,1,5.556051e-01,1,5.556051e-01,1,20,525,1
E,1,5.556051e-01,1,5.556051e-01,1,20,562,1
E,1,4.443949e-01,1,5.556051e-01,1,11,726,0
E,1,5.556051e-01,1,5.556051e-01,1,20,735,1
E,1,5.556051e-01,1,5.556051e-01,1,20,925,1
E,1,5.556051e-01,1,5.556051e-01,1,20,958,1
E,1,5.556051e-01,1,5.556051e-01,1,20,1243,1
E,1,4.443949e-01,1,5.556051e-01,1,11,1303,0
E,1,4.443949e-01,1,5.556051e-01,1,11,1314,0
E,1,5.556051e-01,1,5.556051e-01,1,20,1472,1
E,1,5.556051e-01,1,5.556051e-01,1,20,1484,1
E,1,5.556051e-01,1,5.556051e-01,1,20,1514,1
E,1,4.443949e-01,1,5.556051e-01,1,11,1615,0
E,1,5.556051e-01,1,5.556051e-01,1,20,1837,1
E,1,4.443949e-01,1,5.556051e-01,1,11,1922,0
E,1,5.556051e-01,1,5.556051e-01,1,20,1923,1
E,1,4.443949e-01,1,5.556051e-01,1,11,1985,0
E,1,5.556051e-01,1,5.556051e-01,1,20,1997,1
E,1,5.556051e-01,1,5.556051e-01,1,20,2109,1
E,1,4.443949e-01,1,5.556051e-01,1,11,2187,0
E,1,4.443949e-01,1,5.556051e-01,1,11,2359,0
E,1,5.556051e-01,1,5.556051e-01,1,20,2396,1
E,1,4.443949e-01,1,5.556051e-01,1,11,2447,0
E,1,4.443949e-01,1,5.556051e-01,1,11,2496,0
E,1,5.556051e-01,1,5.556051e-01,1,20,2577,1
E,1,5.556051e-01,1,5.556051e-01,1,20,2578,1
E,1,4.443949e-01,1,5.556051e-01,1,11,2598,0
E,1,5.556051e-01,1,5.556051e-01,1,20,2625,1
E,2,4.938162e-01,1,4.938162e-01,1,30,10,1
E,2,4.938162e-01,1,4.938162e-01,1,30,62,1
E,2,4.938162e-01,1,4.938162e-01,1,30,140,1
E,2,4.938162e-01,1,4.938162e-01,1,30,149,1
E,2,4.938162e-01,1,4.938162e-01,1,30,157,1
E,2,1.974869e-01,1,4.938162e-01,1,11,206,0
E,2,1.974869e-01,1,4.938162e-01,1,11,241,0
E,2,3.086970e-01,1,4.938162e-01,1,15,277,2
E,2,4.938162e-01,1,4.938162e-01,1,30,364,1
E,2,4.938162e-01,1,4.938162e-01,1,30,594,1
E,2,4.938162e-01,1,4.938162e-01,1,30,624,1
E,2,1.974869e-01,1,4.938162e-01,1,11,625,0
E,2,1.974869e-01,1,4.938162e-01,1,11,631,0
E,2,1.974869e-01,1,4.938162e-01,1,11,713,0
E,2,4.938162e-01,1,4.938162e-01,1,30,722,1
E,2,4.938162e-01,1,4.938162e-01,1,30,733,1
E,2,4.938162e-01,1,4.938162e-01,1,30,799,1
E,2,3.086970e-01,1,4.938162e-01,1,15,814,2
E,2,4.938162e-01,1,4.938162e-01,1,30,831,1
E,2,4.938162e-01,1,4.938162e-01,1,30,891,1
