aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.945345e-01,1,5.054655e-01,1,43,28,1
E,1,5.054655e-01,1,5.054655e-01,1,27,35,1
E,1,4.945345e-01,1,5.054655e-01,1,43,363,1
E,1,5.054655e-01,1,5.054655e-01,1,27,409,1
E,1,5.054655e-01,1,5.054655e-01,1,27,434,1
E,1,5.054655e-01,1,5.054655e-01,1,27,531,1
E,1,4.945345e-01,1,5.054655e-01,1,43,532,1
E,1,5.054655e-01,1,5.054655e-01,1,27,548,1
E,1,4.945345e-01,1,5.054655e-01,1,43,697,1
E,1,4.945345e-01,1,5.054655e-01,1,43,752,1
E,1,4.945345e-01,1,5.054655e-01,1,43,799,1
E,1,4.945345e-01,1,5.054655e-01,1,43,879,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1021,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1077,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1123,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1137,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1180,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1197,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1278,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1415,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1447,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1458,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1484,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1660,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1662,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1674,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1679,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1895,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1900,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1909,1
E,1,4.945345e-01,1,5.054655e-01,1,43,1948,1
E,1,5.054655e-01,1,5.054655e-01,1,27,1999,1
E,1,4.945345e-01,1,5.054655e-01,1,43,2210,1
E,1,5.054655e-01,1,5.054655e-01,1,27,2219,1
E,1,5.054655e-01,1,5.054655e-01,1,27,2278,1
E,1,5.054655e-01,1,5.054655e-01,1,27,2338,1
E,1,4.945345e-01,1,5.054655e-01,1,43,2415,1
E,1,4.945345e-01,1,5.054655e-01,1,43,2489,1
E,1,5.054655e-01,1,5.054655e-01,1,27,2805,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3052,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3225,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3230,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3240,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3280,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3295,1
E,1,5.054655e-01,1,5.054655e-01,1,27,3465,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3532,1
E,1,5.054655e-01,1,5.054655e-01,1,27,3591,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3692,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3780,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3868,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3901,1
E,1,4.945345e-01,1,5.054655e-01,1,43,3902,1
E,1,4.945345e-01,1,5.054655e-01,1,43,4196,1
E,1,5.054655e-01,1,5.054655e-01,1,27,4280,1
E,1,5.054655e-01,1,5.054655e-01,1,27,4443,1
E,1,4.945345e-01,1,5.054655e-01,1,43,4444,1
E,1,5.054655e-01,1,5.054655e-01,1,27,4464,1
E,1,5.054655e-01,1,5.054655e-01,1,27,4476,1
E,1,4.945345e-01,1,5.054655e-01,1,43,4574,1
E,1,5.054655e-01,1,5.054655e-01,1,27,4600,1
E,1,4.945345e-01,1,5.054655e-01,1,43,4740,1
