aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,10,329,1
E,1,5.000000e-01,2,5.000000e-01,2,10,736,1
E,1,5.000000e-01,2,5.000000e-01,2,10,1209,1
E,1,5.000000e-01,2,5.000000e-01,2,10,1653,1
E,1,5.000000e-01,2,5.000000e-01,2,10,1893,1
E,1,5.000000e-01,2,5.000000e-01,2,10,2112,1
E,1,5.000000e-01,2,5.000000e-01,2,10,2425,1
E,1,5.000000e-01,2,5.000000e-01,2,10,3021,1
E,1,5.000000e-01,2,5.000000e-01,2,10,3237,1
E,1,5.000000e-01,2,5.000000e-01,2,10,3299,1
E,2,5.000000e-01,1,5.000000e-01,1,11,84,1
E,2,2.500000e-01,2,5.000000e-01,1,7,201,1
E,2,5.000000e-01,1,5.000000e-01,1,11,217,1
E,2,5.000000e-01,1,5.000000e-01,1,11,323,1
E,2,5.000000e-01,1,5.000000e-01,1,11,355,1
E,2,2.500000e-01,2,5.000000e-01,1,7,639,1
E,2,5.000000e-01,1,5.000000e-01,1,11,693,1
E,2,2.500000e-01,2,5.000000e-01,1,7,967,1
E,2,5.000000e-01,1,5.000000e-01,1,11,1090,1
E,2,2.500000e-01,2,5.000000e-01,1,7,1160,1
E,2,5.000000e-01,1,5.000000e-01,1,11,1442,1
E,2,5.000000e-01,1,5.000000e-01,1,11,1699,1
E,2,2.500000e-01,2,5.000000e-01,1,7,2684,1
E,2,5.000000e-01,1,5.000000e-01,1,11,2700,1
E,2,5.000000e-01,1,5.000000e-01,1,11,2920,1
E,2,2.500000e-01,2,5.000000e-01,1,7,3135,1
E,2,5.000000e-01,1,5.000000e-01,1,11,3235,1
E,2,2.500000e-01,2,5.000000e-01,1,7,3475,1
E,3,3.750000e-01,2,3.750000e-01,2,25,55,2
E,3,3.750000e-01,2,3.750000e-01,2,25,200,2
E,3,3.750000e-01,2,3.750000e-01,2,25,537,2
E,3,3.750000e-01,2,3.750000e-01,2,25,688,2
E,3,3.750000e-01,2,3.750000e-01,2,25,725,2
E,3,3.750000e-01,2,3.750000e-01,2,25,730,2
E,3,3.750000e-01,2,3.750000e-01,2,25,1025,2
E,3,3.750000e-01,2,3.750000e-01,2,25,1080,2
E,3,3.750000e-01,2,3.750000e-01,2,25,1242,2
E,3,3.750000e-01,2,3.750000e-01,2,25,1310,2
E,3,3.750000e-01,2,3.750000e-01,2,25,1722,2
E,3,3.750000e-01,2,3.750000e-01,2,25,1971,2
E,3,3.750000e-01,2,3.750000e-01,2,25,2024,2
E,3,3.750000e-01,2,3.750000e-01,2,25,2188,2
E,3,3.750000e-01,2,3.750000e-01,2,25,2193,2
E,3,3.750000e-01,2,3.750000e-01,2,25,2358,2
E,3,3.750000e-01,2,3.750000e-01,2,25,2369,2
E,3,3.750000e-01,2,3.750000e-01,2,25,2432,2
E,3,3.750000e-01,2,3.750000e-01,2,25,2772,2
E,3,3.750000e-01,2,3.750000e-01,2,25,2994,2
E,3,3.750000e-01,2,3.750000e-01,2,25,3007,2
E,3,3.750000e-01,2,3.750000e-01,2,25,3078,2
E,3,3.750000e-01,2,3.750000e-01,2,25,3156,2
E,3,3.750000e-01,2,3.750000e-01,2,25,3468,2
E,3,1.250000e-01,2,3.750000e-01,2,1,3573,2
E,3,3.750000e-01,2,3.750000e-01,2,25,3761,2
E,4,3.750000e-01,1,3.750000e-01,1,11,176,2
E,4,3.750000e-01,1,3.750000e-01,1,11,197,2
E,4,2.500000e-01,2,3.750000e-01,1,18,250,2
E,4,6.250000e-02,2,3.750000e-01,1,3,325,2
E,4,2.500000e-01,2,3.750000e-01,1,18,402,2
E,4,6.250000e-02,2,3.750000e-01,1,3,523,2
E,4,3.750000e-01,1,3.750000e-01,1,11,594,2
E,4,3.750000e-01,1,3.750000e-01,1,11,643,2
E,4,2.500000e-01,2,3.750000e-01,1,18,793,2
E,4,3.750000e-01,1,3.750000e-01,1,11,945,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1005,2
E,4,3.750000e-01,1,3.750000e-01,1,11,1109,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1232,2
E,4,3.750000e-01,1,3.750000e-01,1,11,1264,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1412,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1714,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1757,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1764,2
E,4,3.750000e-01,1,3.750000e-01,1,11,1847,2
E,4,6.250000e-02,2,3.750000e-01,1,3,2508,2
E,4,2.500000e-01,2,3.750000e-01,1,18,2549,2
E,4,2.500000e-01,2,3.750000e-01,1,18,2573,2
E,4,2.500000e-01,2,3.750000e-01,1,18,2616,2
E,4,2.500000e-01,2,3.750000e-01,1,18,2889,2
E,4,2.500000e-01,2,3.750000e-01,1,18,2893,2
E,4,3.750000e-01,1,3.750000e-01,1,11,2969,2
E,4,3.750000e-01,1,3.750000e-01,1,11,3151,2
E,4,3.750000e-01,1,3.750000e-01,1,11,3172,2
E,4,2.500000e-01,2,3.750000e-01,1,18,3236,2
E,4,2.500000e-01,2,3.750000e-01,1,18,3462,2
E,4,2.500000e-01,2,3.750000e-01,1,18,3530,2
E,4,2.500000e-01,2,3.750000e-01,1,18,3629,2
E,5,3.125000e-01,2,3.125000e-01,2,26,169,2
E,5,3.125000e-01,2,3.125000e-01,2,26,192,2
E,5,1.562500e-01,2,3.125000e-01,2,21,241,2
E,5,1.562500e-01,2,3.125000e-01,2,21,253,2
E,5,3.125000e-02,2,3.125000e-01,2,4,262,2
E,5,1.562500e-01,2,3.125000e-01,2,21,300,2
E,5,3.125000e-01,2,3.125000e-01,2,26,301,2
E,5,3.125000e-01,2,3.125000e-01,2,26,376,2
E,5,1.562500e-01,2,3.125000e-01,2,21,474,2
E,5,3.125000e-01,2,3.125000e-01,2,26,507,2
E,5,1.562500e-01,2,3.125000e-01,2,21,584,2
E,5,1.562500e-01,2,3.125000e-01,2,21,661,2
E,5,3.125000e-01,2,3.125000e-01,2,26,833,2
E,5,1.562500e-01,2,3.125000e-01,2,21,959,2
E,5,1.562500e-01,2,3.125000e-01,2,21,1100,2
