aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,11,74,0
E,1,5.000000e-01,2,5.000000e-01,2,11,120,0
E,1,5.000000e-01,2,5.000000e-01,2,11,176,0
E,1,5.000000e-01,2,5.000000e-01,2,11,292,0
E,1,5.000000e-01,2,5.000000e-01,2,11,482,0
E,1,5.000000e-01,2,5.000000e-01,2,11,638,1
E,1,5.000000e-01,2,5.000000e-01,2,11,691,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1246,1
E,1,5.000000e-01,2,5.000000e-01,2,11,1598,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1811,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1842,0
E,2,5.000000e-01,1,5.000000e-01,1,7,6,1
E,2,5.000000e-01,1,5.000000e-01,1,7,101,1
E,2,5.000000e-01,1,5.000000e-01,1,7,254,1
E,2,2.500000e-01,2,5.000000e-01,1,10,260,0
E,2,2.500000e-01,2,5.000000e-01,1,10,308,0
E,2,5.000000e-01,1,5.000000e-01,1,7,324,1
E,2,5.000000e-01,1,5.000000e-01,1,7,498,1
E,2,5.000000e-01,1,5.000000e-01,1,7,626,1
E,2,2.500000e-01,2,5.000000e-01,1,10,827,0
E,2,2.500000e-01,2,5.000000e-01,1,10,836,0
E,2,2.500000e-01,2,5.000000e-01,1,10,872,0
E,2,5.000000e-01,1,5.000000e-01,1,7,883,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1179,2
E,2,2.500000e-01,2,5.000000e-01,1,10,1388,0
E,2,2.500000e-01,2,5.000000e-01,1,10,1593,0
E,2,2.500000e-01,2,5.000000e-01,1,10,1652,0
E,2,2.500000e-01,2,5.000000e-01,1,10,1708,0
E,3,3.750000e-01,2,3.750000e-01,2,13,182,2
E,3,3.750000e-01,2,3.750000e-01,2,13,219,1
E,3,1.250000e-01,2,3.750000e-01,2,10,258,0
E,3,3.750000e-01,2,3.750000e-01,2,13,267,2
E,3,1.250000e-01,2,3.750000e-01,2,10,307,0
E,3,3.750000e-01,2,3.750000e-01,2,13,343,2
E,3,3.750000e-01,2,3.750000e-01,2,13,366,2
E,3,3.750000e-01,2,3.750000e-01,2,13,470,1
E,3,3.750000e-01,2,3.750000e-01,2,13,474,2
E,3,1.250000e-01,2,3.750000e-01,2,10,484,3
E,3,3.750000e-01,2,3.750000e-01,2,13,608,2
E,3,3.750000e-01,2,3.750000e-01,2,13,640,1
E,3,1.250000e-01,2,3.750000e-01,2,10,652,0
E,3,3.750000e-01,2,3.750000e-01,2,13,679,1
E,3,1.250000e-01,2,3.750000e-01,2,10,692,0
E,3,1.250000e-01,2,3.750000e-01,2,10,982,0
E,3,3.750000e-01,2,3.750000e-01,2,13,1109,1
E,3,1.250000e-01,2,3.750000e-01,2,10,1146,0
E,3,1.250000e-01,2,3.750000e-01,2,10,1178,0
E,3,3.750000e-01,2,3.750000e-01,2,13,1244,1
E,3,1.250000e-01,2,3.750000e-01,2,10,1606,0
E,3,3.750000e-01,2,3.750000e-01,2,13,1738,1
E,3,1.250000e-01,2,3.750000e-01,2,10,1752,0
E,4,2.500000e-01,2,3.750000e-01,1,20,63,1
E,4,3.750000e-01,1,3.750000e-01,1,11,108,2
E,4,6.250000e-02,2,3.750000e-01,1,4,110,0
E,4,2.500000e-01,2,3.750000e-01,1,20,316,1
E,4,2.500000e-01,2,3.750000e-01,1,20,385,1
E,4,2.500000e-01,2,3.750000e-01,1,20,410,3
E,4,3.750000e-01,1,3.750000e-01,1,11,508,2
E,4,3.750000e-01,1,3.750000e-01,1,11,534,2
E,4,2.500000e-01,2,3.750000e-01,1,20,589,1
E,4,3.750000e-01,1,3.750000e-01,1,11,618,2
E,4,3.750000e-01,1,3.750000e-01,1,11,623,2
E,4,2.500000e-01,2,3.750000e-01,1,20,629,1
E,4,2.500000e-01,2,3.750000e-01,1,20,631,3
E,4,6.250000e-02,2,3.750000e-01,1,4,866,0
E,4,2.500000e-01,2,3.750000e-01,1,20,917,1
E,4,2.500000e-01,2,3.750000e-01,1,20,931,3
E,4,3.750000e-01,1,3.750000e-01,1,11,1050,2
E,4,2.500000e-01,2,3.750000e-01,1,20,1075,1
E,4,3.750000e-01,1,3.750000e-01,1,11,1082,2
E,4,3.750000e-01,1,3.750000e-01,1,11,1085,2
E,4,3.750000e-01,1,3.750000e-01,1,11,1104,2
E,4,2.500000e-01,2,3.750000e-01,1,20,1241,1
E,4,6.250000e-02,2,3.750000e-01,1,4,1247,4
E,4,2.500000e-01,2,3.750000e-01,1,20,1255,1
E,4,2.500000e-01,2,3.750000e-01,1,20,1265,1
E,4,2.500000e-01,2,3.750000e-01,1,20,1268,1
E,4,2.500000e-01,2,3.750000e-01,1,20,1364,3
E,4,6.250000e-02,2,3.750000e-01,1,4,1421,0
E,4,3.750000e-01,1,3.750000e-01,1,11,1440,2
E,4,3.750000e-01,1,3.750000e-01,1,11,1447,2
E,4,2.500000e-01,2,3.750000e-01,1,20,1590,1
E,4,2.500000e-01,2,3.750000e-01,1,20,1670,1
E,4,2.500000e-01,2,3.750000e-01,1,20,1778,1
E,4,2.500000e-01,2,3.750000e-01,1,20,1825,1
E,4,2.500000e-01,2,3.750000e-01,1,20,1857,1
E,5,3.125000e-01,2,3.125000e-01,2,23,45,2
E,5,3.125000e-01,2,3.125000e-01,2,23,154,2
E,5,3.125000e-01,2,3.125000e-01,2,23,212,3
E,5,1.562500e-01,2,3.125000e-01,2,14,329,1
E,5,3.125000e-01,2,3.125000e-01,2,23,355,2
E,5,3.125000e-02,2,3.125000e-01,2,7,367,5
E,5,1.562500e-01,2,3.125000e-01,2,14,378,1
E,5,3.125000e-01,2,3.125000e-01,2,23,426,3
E,5,3.125000e-01,2,3.125000e-01,2,23,444,2
E,5,1.562500e-01,2,3.125000e-01,2,14,465,1
E,5,3.125000e-02,2,3.125000e-01,2,7,512,0
E,5,3.125000e-01,2,3.125000e-01,2,23,548,2
E,5,3.125000e-01,2,3.125000e-01,2,23,612,3
E,5,3.125000e-01,2,3.125000e-01,2,23,617,3
E,5,3.125000e-02,2,3.125000e-01,2,7,637,0
E,5,1.562500e-01,2,3.125000e-01,2,14,650,1
E,5,3.125000e-01,2,3.125000e-01,2,23,699,3
E,5,1.562500e-01,2,3.125000e-01,2,14,703,1
E,5,3.125000e-01,2,3.125000e-01,2,23,787,2
E,5,1.562500e-01,2,3.125000e-01,2,14,860,1
E,5,3.125000e-01,2,3.125000e-01,2,23,863,2
E,5,3.125000e-01,2,3.125000e-01,2,23,899,2
E,5,3.125000e-02,2,3.125000e-01,2,7,927,0
E,5,3.125000e-01,2,3.125000e-01,2,23,966,2
E,5,1.562500e-01,2,3.125000e-01,2,14,1090,1
E,5,3.125000e-01,2,3.125000e-01,2,23,1097,3
E,5,3.125000e-01,2,3.125000e-01,2,23,1101,2
E,5,3.125000e-01,2,3.125000e-01,2,23,1113,3
E,5,3.125000e-02,2,3.125000e-01,2,7,1150,0
E,5,3.125000e-01,2,3.125000e-01,2,23,1180,2
E,5,3.125000e-01,2,3.125000e-01,2,23,1214,2
E,5,3.125000e-02,2,3.125000e-01,2,7,1218,0
E,5,3.125000e-02,2,3.125000e-01,2,7,1243,0
E,5,1.562500e-01,2,3.125000e-01,2,14,1245,4
E,5,3.125000e-01,2,3.125000e-01,2,23,1254,3
E,5,1.562500e-01,2,3.125000e-01,2,14,1335,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1396,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1400,4
E,5,1.562500e-01,2,3.125000e-01,2,14,1536,1
E,5,3.125000e-01,2,3.125000e-01,2,23,1585,2
E,5,3.125000e-01,2,3.125000e-01,2,23,1604,2
E,5,3.125000e-01,2,3.125000e-01,2,23,1707,2
E,5,1.562500e-01,2,3.125000e-01,2,14,1774,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1794,1
E,6,2.343750e-01,2,3.125000e-01,1,19,41,2
E,6,9.375000e-02,2,3.125000e-01,1,11,65,5
E,6,9.375000e-02,2,3.125000e-01,1,11,91,1
E,6,2.343750e-01,2,3.125000e-01,1,19,107,2
E,6,1.562500e-02,2,3.125000e-01,1,7,116,0
E,6,2.343750e-01,2,3.125000e-01,1,19,130,2
E,6,9.375000e-02,2,3.125000e-01,1,11,142,1
E,6,2.343750e-01,2,3.125000e-01,1,19,147,2
E,6,3.125000e-01,1,3.125000e-01,1,8,148,3
E,6,9.375000e-02,2,3.125000e-01,1,11,159,1
E,6,2.343750e-01,2,3.125000e-01,1,19,180,4
E,6,3.125000e-01,1,3.125000e-01,1,8,250,3
E,6,9.375000e-02,2,3.125000e-01,1,11,256,1
E,6,2.343750e-01,2,3.125000e-01,1,19,294,4
E,6,2.343750e-01,2,3.125000e-01,1,19,350,4
E,6,3.125000e-01,1,3.125000e-01,1,8,450,3
E,6,2.343750e-01,2,3.125000e-01,1,19,469,2
E,6,3.125000e-01,1,3.125000e-01,1,8,505,3
E,6,1.562500e-02,2,3.125000e-01,1,7,510,0
E,6,9.375000e-02,2,3.125000e-01,1,11,539,5
E,6,2.343750e-01,2,3.125000e-01,1,19,627,4
E,6,9.375000e-02,2,3.125000e-01,1,11,676,1
E,6,9.375000e-02,2,3.125000e-01,1,11,829,1
E,6,1.562500e-02,2,3.125000e-01,1,7,915,0
E,6,1.562500e-02,2,3.125000e-01,1,7,941,0
E,6,2.343750e-01,2,3.125000e-01,1,19,1044,2
E,6,2.343750e-01,2,3.125000e-01,1,19,1094,2
E,6,2.343750e-01,2,3.125000e-01,1,19,1111,2
E,6,3.125000e-01,1,3.125000e-01,1,8,1112,3
E,6,2.343750e-01,2,3.125000e-01,1,19,1169,4
E,6,2.343750e-01,2,3.125000e-01,1,19,1208,2
E,6,3.125000e-01,1,3.125000e-01,1,8,1213,3
E,6,2.343750e-01,2,3.125000e-01,1,19,1239,2
E,6,3.125000e-01,1,3.125000e-01,1,8,1242,3
E,6,1.562500e-02,2,3.125000e-01,1,7,1248,0
E,6,2.343750e-01,2,3.125000e-01,1,19,1306,2
E,6,2.343750e-01,2,3.125000e-01,1,19,1309,4
E,6,9.375000e-02,2,3.125000e-01,1,11,1352,1
E,6,1.562500e-02,2,3.125000e-01,1,7,1490,0
E,6,1.562500e-02,2,3.125000e-01,1,7,1613,0
E,6,9.375000e-02,2,3.125000e-01,1,11,1627,1
E,6,3.125000e-01,1,3.125000e-01,1,8,1642,3
E,6,9.375000e-02,2,3.125000e-01,1,11,1684,1
E,6,2.343750e-01,2,3.125000e-01,1,19,1728,4
E,6,2.343750e-01,2,3.125000e-01,1,19,1762,4
E,7,2.734375e-01,2,2.734375e-01,2,29,5,3
E,7,1.640625e-01,2,2.734375e-01,2,25,47,2
E,7,2.734375e-01,2,2.734375e-01,2,29,82,3
E,7,1.640625e-01,2,2.734375e-01,2,25,109,2
E,7,2.734375e-01,2,2.734375e-01,2,29,155,4
E,7,1.640625e-01,2,2.734375e-01,2,25,198,5
E,7,5.468750e-02,2,2.734375e-01,2,16,217,1
E,7,1.640625e-01,2,2.734375e-01,2,25,242,2
E,7,2.734375e-01,2,2.734375e-01,2,29,264,4
E,7,2.734375e-01,2,2.734375e-01,2,29,265,4
E,7,5.468750e-02,2,2.734375e-01,2,16,280,1
E,7,1.640625e-01,2,2.734375e-01,2,25,295,2
E,7,1.640625e-01,2,2.734375e-01,2,25,319,2
E,7,1.640625e-01,2,2.734375e-01,2,25,348,2
E,7,5.468750e-02,2,2.734375e-01,2,16,353,1
E,7,2.734375e-01,2,2.734375e-01,2,29,390,3
E,7,2.734375e-01,2,2.734375e-01,2,29,398,3
E,7,2.734375e-01,2,2.734375e-01,2,29,437,4
E,7,5.468750e-02,2,2.734375e-01,2,16,445,1
E,7,2.734375e-01,2,2.734375e-01,2,29,509,3
E,7,1.640625e-01,2,2.734375e-01,2,25,515,2
E,7,5.468750e-02,2,2.734375e-01,2,16,518,1
E,7,2.734375e-01,2,2.734375e-01,2,29,524,3
E,7,2.734375e-01,2,2.734375e-01,2,29,565,4
E,7,1.640625e-01,2,2.734375e-01,2,25,614,5
E,7,2.734375e-01,2,2.734375e-01,2,29,621,4
E,7,7.812500e-03,2,2.734375e-01,2,2,624,0
E,7,7.812500e-03,2,2.734375e-01,2,2,636,0
E,7,5.468750e-02,2,2.734375e-01,2,16,643,1
E,7,2.734375e-01,2,2.734375e-01,2,29,646,4
E,7,1.640625e-01,2,2.734375e-01,2,25,678,5
E,7,1.640625e-01,2,2.734375e-01,2,25,682,2
E,7,1.640625e-01,2,2.734375e-01,2,25,768,2
E,7,2.734375e-01,2,2.734375e-01,2,29,769,4
E,7,1.640625e-01,2,2.734375e-01,2,25,778,2
E,7,2.734375e-01,2,2.734375e-01,2,29,782,4
E,7,2.734375e-01,2,2.734375e-01,2,29,867,4
E,7,5.468750e-02,2,2.734375e-01,2,16,909,1
E,7,5.468750e-02,2,2.734375e-01,2,16,912,1
E,7,1.640625e-01,2,2.734375e-01,2,25,929,5
E,7,1.640625e-01,2,2.734375e-01,2,25,933,2
E,7,2.734375e-01,2,2.734375e-01,2,29,950,3
E,7,1.640625e-01,2,2.734375e-01,2,25,979,2
E,7,1.640625e-01,2,2.734375e-01,2,25,994,2
E,7,2.734375e-01,2,2.734375e-01,2,29,1054,3
E,7,5.468750e-02,2,2.734375e-01,2,16,1058,1
E,7,1.640625e-01,2,2.734375e-01,2,25,1074,2
E,7,2.734375e-01,2,2.734375e-01,2,29,1126,3
E,7,1.640625e-01,2,2.734375e-01,2,25,1261,2
E,7,1.640625e-01,2,2.734375e-01,2,25,1276,2
E,7,2.734375e-01,2,2.734375e-01,2,29,1308,3
E,7,2.734375e-01,2,2.734375e-01,2,29,1387,3
E,7,5.468750e-02,2,2.734375e-01,2,16,1419,1
E,7,1.640625e-01,2,2.734375e-01,2,25,1446,2
E,7,2.734375e-01,2,2.734375e-01,2,29,1451,4
E,7,2.734375e-01,2,2.734375e-01,2,29,1483,4
E,7,5.468750e-02,2,2.734375e-01,2,16,1509,1
E,7,1.640625e-01,2,2.734375e-01,2,25,1607,2
E,7,5.468750e-02,2,2.734375e-01,2,16,1647,1
E,7,2.734375e-01,2,2.734375e-01,2,29,1656,3
E,7,5.468750e-02,2,2.734375e-01,2,16,1662,1
E,7,2.734375e-01,2,2.734375e-01,2,29,1674,3
E,7,5.468750e-02,2,2.734375e-01,2,16,1705,1
E,7,2.734375e-01,2,2.734375e-01,2,29,1706,3
E,7,2.734375e-01,2,2.734375e-01,2,29,1724,3
E,7,1.640625e-01,2,2.734375e-01,2,25,1761,2
E,7,1.640625e-01,2,2.734375e-01,2,25,1776,5
E,7,2.734375e-01,2,2.734375e-01,2,29,1783,3
E,7,1.640625e-01,2,2.734375e-01,2,25,1821,2
E,7,5.468750e-02,2,2.734375e-01,2,16,1822,1
E,7,2.734375e-01,2,2.734375e-01,2,29,1828,4
E,7,5.468750e-02,2,2.734375e-01,2,16,1848,6
E,8,2.187500e-01,2,2.734375e-01,1,22,60,3
E,8,3.125000e-02,2,2.734375e-01,1,15,88,1
E,8,1.093750e-01,2,2.734375e-01,1,10,89,2
E,8,2.187500e-01,2,2.734375e-01,1,22,105,5
E,8,3.125000e-02,2,2.734375e-01,1,15,127,1
E,8,2.187500e-01,2,2.734375e-01,1,22,131,5
E,8,1.093750e-01,2,2.734375e-01,1,10,210,2
E,8,3.906250e-03,2,2.734375e-01,1,4,215,0
E,8,1.093750e-01,2,2.734375e-01,1,10,236,2
E,8,2.187500e-01,2,2.734375e-01,1,22,237,3
E,8,2.734375e-01,1,2.734375e-01,1,5,238,4
E,8,2.187500e-01,2,2.734375e-01,1,22,241,5
E,8,2.187500e-01,2,2.734375e-01,1,22,304,3
E,8,1.093750e-01,2,2.734375e-01,1,10,310,2
E,8,3.125000e-02,2,2.734375e-01,1,15,408,1
