aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.430607e-01,1,6.430607e-01,1,31,99,0
E,1,3.569393e-01,1,6.430607e-01,1,25,239,1
E,1,3.569393e-01,1,6.430607e-01,1,25,377,1
E,1,3.569393e-01,1,6.430607e-01,1,25,453,1
E,1,6.430607e-01,1,6.430607e-01,1,31,457,0
E,1,6.430607e-01,1,6.430607e-01,1,31,686,0
E,1,6.430607e-01,1,6.430607e-01,1,31,715,0
E,1,6.430607e-01,1,6.430607e-01,1,31,795,0
E,1,6.430607e-01,1,6.430607e-01,1,31,912,0
E,1,6.430607e-01,1,6.430607e-01,1,31,1206,0
E,1,3.569393e-01,1,6.430607e-01,1,25,1444,1
E,1,3.569393e-01,1,6.430607e-01,1,25,1503,1
E,1,3.569393e-01,1,6.430607e-01,1,25,1555,1
E,1,3.569393e-01,1,6.430607e-01,1,25,1614,1
E,1,3.569393e-01,1,6.430607e-01,1,25,1630,1
E,1,3.569393e-01,1,6.430607e-01,1,25,1652,1
E,1,3.569393e-01,1,6.430607e-01,1,25,1745,1
E,1,6.430607e-01,1,6.430607e-01,1,31,1824,0
E,1,6.430607e-01,1,6.430607e-01,1,31,1827,0
E,1,3.569393e-01,1,6.430607e-01,1,25,1850,1
E,1,3.569393e-01,1,6.430607e-01,1,25,1852,1
E,1,6.430607e-01,1,6.430607e-01,1,31,1958,0
E,1,3.569393e-01,1,6.430607e-01,1,25,1971,1
E,1,6.430607e-01,1,6.430607e-01,1,31,1988,0
E,1,6.430607e-01,1,6.430607e-01,1,31,2021,0
E,1,6.430607e-01,1,6.430607e-01,1,31,2284,0
E,1,6.430607e-01,1,6.430607e-01,1,31,2299,0
E,1,6.430607e-01,1,6.430607e-01,1,31,2315,0
E,1,3.569393e-01,1,6.430607e-01,1,25,2330,1
E,1,3.569393e-01,1,6.430607e-01,1,25,2535,1
E,1,6.430607e-01,1,6.430607e-01,1,31,2541,0
E,1,3.569393e-01,1,6.430607e-01,1,25,2552,1
E,1,3.569393e-01,1,6.430607e-01,1,25,2602,1
E,1,6.430607e-01,1,6.430607e-01,1,31,2695,0
E,1,3.569393e-01,1,6.430607e-01,1,25,2780,1
E,1,3.569393e-01,1,6.430607e-01,1,25,2982,1
E,1,6.430607e-01,1,6.430607e-01,1,31,3043,0
E,1,3.569393e-01,1,6.430607e-01,1,25,3308,1
E,1,3.569393e-01,1,6.430607e-01,1,25,3344,1
E,1,6.430607e-01,1,6.430607e-01,1,31,3400,0
E,1,6.430607e-01,1,6.430607e-01,1,31,3441,0
E,1,6.430607e-01,1,6.430607e-01,1,31,3599,0
E,1,6.430607e-01,1,6.430607e-01,1,31,3673,0
E,1,6.430607e-01,1,6.430607e-01,1,31,3773,0
E,1,6.430607e-01,1,6.430607e-01,1,31,3798,0
E,1,3.569393e-01,1,6.430607e-01,1,25,3857,1
E,1,6.430607e-01,1,6.430607e-01,1,31,3871,0
E,1,6.430607e-01,1,6.430607e-01,1,31,4132,0
E,1,3.569393e-01,1,6.430607e-01,1,25,4176,1
E,1,6.430607e-01,1,6.430607e-01,1,31,4240,0
E,1,6.430607e-01,1,6.430607e-01,1,31,4281,0
E,1,3.569393e-01,1,6.430607e-01,1,25,4288,1
E,1,6.430607e-01,1,6.430607e-01,1,31,4292,0
E,1,6.430607e-01,1,6.430607e-01,1,31,4351,0
E,1,3.569393e-01,1,6.430607e-01,1,25,4489,1
E,1,6.430607e-01,1,6.430607e-01,1,31,4669,0
E,2,4.590673e-01,1,4.590673e-01,1,42,12,1
E,2,4.135271e-01,1,4.590673e-01,1,37,62,0
E,2,4.590673e-01,1,4.590673e-01,1,42,138,1
E,2,4.135271e-01,1,4.590673e-01,1,37,140,0
E,2,4.590673e-01,1,4.590673e-01,1,42,240,1
E,2,4.590673e-01,1,4.590673e-01,1,42,271,1
E,2,1.274056e-01,1,4.590673e-01,1,17,320,2
E,2,4.135271e-01,1,4.590673e-01,1,37,333,0
E,2,4.590673e-01,1,4.590673e-01,1,42,538,1
E,2,4.590673e-01,1,4.590673e-01,1,42,566,1
E,2,4.135271e-01,1,4.590673e-01,1,37,658,0
E,2,1.274056e-01,1,4.590673e-01,1,17,728,2
E,2,4.135271e-01,1,4.590673e-01,1,37,750,0
E,2,4.135271e-01,1,4.590673e-01,1,37,751,0
E,2,4.135271e-01,1,4.590673e-01,1,37,778,0
E,2,4.135271e-01,1,4.590673e-01,1,37,788,0
E,2,4.135271e-01,1,4.590673e-01,1,37,790,0
E,2,4.590673e-01,1,4.590673e-01,1,42,922,1
E,2,4.590673e-01,1,4.590673e-01,1,42,1005,1
E,2,4.135271e-01,1,4.590673e-01,1,37,1043,0
E,2,4.135271e-01,1,4.590673e-01,1,37,1080,0
E,2,4.135271e-01,1,4.590673e-01,1,37,1169,0
E,2,4.590673e-01,1,4.590673e-01,1,42,1359,1
E,2,4.590673e-01,1,4.590673e-01,1,42,1416,1
E,2,4.590673e-01,1,4.590673e-01,1,42,1492,1
E,2,4.590673e-01,1,4.590673e-01,1,42,1508,1
E,2,4.590673e-01,1,4.590673e-01,1,42,1547,1
E,2,4.590673e-01,1,4.590673e-01,1,42,1567,1
E,2,1.274056e-01,1,4.590673e-01,1,17,1622,2
E,2,4.590673e-01,1,4.590673e-01,1,42,1632,1
E,2,1.274056e-01,1,4.590673e-01,1,17,1724,2
E,2,4.590673e-01,1,4.590673e-01,1,42,1732,1
E,2,4.590673e-01,1,4.590673e-01,1,42,1737,1
E,2,1.274056e-01,1,4.590673e-01,1,17,1790,2
E,2,4.590673e-01,1,4.590673e-01,1,42,1799,1
E,2,4.135271e-01,1,4.590673e-01,1,37,1851,0
E,2,4.135271e-01,1,4.590673e-01,1,37,2020,0
E,2,4.590673e-01,1,4.590673e-01,1,42,2022,1
E,2,4.590673e-01,1,4.590673e-01,1,42,2050,1
E,2,4.135271e-01,1,4.590673e-01,1,37,2080,0
E,2,1.274056e-01,1,4.590673e-01,1,17,2092,2
E,2,4.135271e-01,1,4.590673e-01,1,37,2166,0
E,2,1.274056e-01,1,4.590673e-01,1,17,2255,2
E,2,4.590673e-01,1,4.590673e-01,1,42,2334,1
E,2,4.590673e-01,1,4.590673e-01,1,42,2387,1
E,2,4.590673e-01,1,4.590673e-01,1,42,2442,1
E,2,4.135271e-01,1,4.590673e-01,1,37,2577,0
E,2,4.590673e-01,1,4.590673e-01,1,42,2610,1
E,2,4.135271e-01,1,4.590673e-01,1,37,2616,0
