aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,7,77,0
E,1,5.000000e-01,2,5.000000e-01,2,7,313,0
E,1,5.000000e-01,2,5.000000e-01,2,7,369,0
E,1,5.000000e-01,2,5.000000e-01,2,7,549,0
E,1,5.000000e-01,2,5.000000e-01,2,7,1028,1
E,1,5.000000e-01,2,5.000000e-01,2,7,1094,0
E,1,5.000000e-01,2,5.000000e-01,2,7,1346,0
E,2,5.000000e-01,1,5.000000e-01,1,8,25,1
E,2,2.500000e-01,2,5.000000e-01,1,14,29,2
E,2,2.500000e-01,2,5.000000e-01,1,14,32,2
E,2,5.000000e-01,1,5.000000e-01,1,8,34,1
E,2,5.000000e-01,1,5.000000e-01,1,8,179,1
E,2,5.000000e-01,1,5.000000e-01,1,8,370,1
E,2,2.500000e-01,2,5.000000e-01,1,14,563,0
E,2,2.500000e-01,2,5.000000e-01,1,14,578,2
E,2,2.500000e-01,2,5.000000e-01,1,14,804,2
E,2,2.500000e-01,2,5.000000e-01,1,14,879,2
E,2,2.500000e-01,2,5.000000e-01,1,14,966,2
E,2,2.500000e-01,2,5.000000e-01,1,14,975,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1073,2
E,2,2.500000e-01,2,5.000000e-01,1,14,1097,2
E,2,5.000000e-01,1,5.000000e-01,1,8,1118,1
E,2,5.000000e-01,1,5.000000e-01,1,8,1169,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1303,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1319,0
E,2,5.000000e-01,1,5.000000e-01,1,8,1431,1
E,2,5.000000e-01,1,5.000000e-01,1,8,1454,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1525,2
E,2,2.500000e-01,2,5.000000e-01,1,14,1543,0
E,3,3.750000e-01,2,3.750000e-01,2,14,31,2
E,3,3.750000e-01,2,3.750000e-01,2,14,60,1
E,3,1.250000e-01,2,3.750000e-01,2,11,74,3
E,3,1.250000e-01,2,3.750000e-01,2,11,206,3
E,3,3.750000e-01,2,3.750000e-01,2,14,253,1
E,3,3.750000e-01,2,3.750000e-01,2,14,287,1
E,3,1.250000e-01,2,3.750000e-01,2,11,340,0
E,3,1.250000e-01,2,3.750000e-01,2,11,442,3
E,3,3.750000e-01,2,3.750000e-01,2,14,499,2
E,3,1.250000e-01,2,3.750000e-01,2,11,590,0
E,3,1.250000e-01,2,3.750000e-01,2,11,745,0
E,3,1.250000e-01,2,3.750000e-01,2,11,759,0
E,3,1.250000e-01,2,3.750000e-01,2,11,773,3
E,3,3.750000e-01,2,3.750000e-01,2,14,819,1
E,3,3.750000e-01,2,3.750000e-01,2,14,824,1
E,3,3.750000e-01,2,3.750000e-01,2,14,864,1
E,3,3.750000e-01,2,3.750000e-01,2,14,1020,1
E,3,3.750000e-01,2,3.750000e-01,2,14,1046,2
E,3,3.750000e-01,2,3.750000e-01,2,14,1144,1
E,3,1.250000e-01,2,3.750000e-01,2,11,1191,3
E,3,1.250000e-01,2,3.750000e-01,2,11,1321,3
E,3,1.250000e-01,2,3.750000e-01,2,11,1406,3
E,3,3.750000e-01,2,3.750000e-01,2,14,1416,1
E,3,3.750000e-01,2,3.750000e-01,2,14,1432,2
E,3,3.750000e-01,2,3.750000e-01,2,14,1448,1
E,4,6.250000e-02,2,3.750000e-01,1,8,101,4
E,4,2.500000e-01,2,3.750000e-01,1,8,155,3
E,4,6.250000e-02,2,3.750000e-01,1,8,158,0
E,4,2.500000e-01,2,3.750000e-01,1,8,181,3
E,4,3.750000e-01,1,3.750000e-01,1,14,323,2
E,4,2.500000e-01,2,3.750000e-01,1,8,334,1
E,4,6.250000e-02,2,3.750000e-01,1,8,360,4
E,4,3.750000e-01,1,3.750000e-01,1,14,415,2
E,4,3.750000e-01,1,3.750000e-01,1,14,434,2
E,4,2.500000e-01,2,3.750000e-01,1,8,599,3
E,4,6.250000e-02,2,3.750000e-01,1,8,694,4
E,4,2.500000e-01,2,3.750000e-01,1,8,731,1
E,4,3.750000e-01,1,3.750000e-01,1,14,818,2
E,4,3.750000e-01,1,3.750000e-01,1,14,859,2
E,4,3.750000e-01,1,3.750000e-01,1,14,910,2
E,4,3.750000e-01,1,3.750000e-01,1,14,916,2
E,4,2.500000e-01,2,3.750000e-01,1,8,920,3
E,4,2.500000e-01,2,3.750000e-01,1,8,928,1
E,4,3.750000e-01,1,3.750000e-01,1,14,932,2
E,4,3.750000e-01,1,3.750000e-01,1,14,971,2
