aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,16,10,1
E,1,5.000000e-01,2,5.000000e-01,2,16,534,1
E,1,5.000000e-01,2,5.000000e-01,2,16,633,1
E,1,5.000000e-01,2,5.000000e-01,2,16,697,1
E,1,5.000000e-01,2,5.000000e-01,2,16,974,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1022,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1130,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1151,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1433,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1470,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1471,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1508,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1775,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1807,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1868,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1936,1
E,2,5.000000e-01,1,5.000000e-01,1,12,33,1
E,2,2.500000e-01,2,5.000000e-01,1,16,88,1
E,2,2.500000e-01,2,5.000000e-01,1,16,108,1
E,2,2.500000e-01,2,5.000000e-01,1,16,155,1
E,2,2.500000e-01,2,5.000000e-01,1,16,239,1
E,2,5.000000e-01,1,5.000000e-01,1,12,252,1
E,2,2.500000e-01,2,5.000000e-01,1,16,267,1
E,2,2.500000e-01,2,5.000000e-01,1,16,268,1
E,2,5.000000e-01,1,5.000000e-01,1,12,310,1
E,2,5.000000e-01,1,5.000000e-01,1,12,322,1
E,2,5.000000e-01,1,5.000000e-01,1,12,345,1
E,2,2.500000e-01,2,5.000000e-01,1,16,486,1
E,2,2.500000e-01,2,5.000000e-01,1,16,660,1
E,2,2.500000e-01,2,5.000000e-01,1,16,830,1
E,2,2.500000e-01,2,5.000000e-01,1,16,872,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1006,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1105,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1230,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1277,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1353,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1380,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1442,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1472,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1503,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1536,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1580,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1590,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1800,1
E,3,3.750000e-01,2,3.750000e-01,2,17,7,1
E,3,1.250000e-01,2,3.750000e-01,2,10,129,1
E,3,1.250000e-01,2,3.750000e-01,2,10,223,1
E,3,3.750000e-01,2,3.750000e-01,2,17,330,1
E,3,3.750000e-01,2,3.750000e-01,2,17,406,1
