species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00031,0.030597,0.891772,32
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5389,0.012144,0.719511,31
saccharomyces_eubayanus,DI49_0042,0.004605,0.541775,29
saccharomyces_arboricola_h_6,SU7_0027,0.002151,0.415752,30
tetrapisispora_blattae_cbs_6284,TBLA_0A04680,0.046683,0.939230,29
tetrapisispora_phaffii_cbs_4417,TPHA_0H02660,0.308942,0.997013,25
naumovozyma_dairenensis_cbs_421,NDAI_0H02500,0.204270,0.999876,27
naumovozyma_castellii_cbs_4309,NCAS_0F01620,0.091349,0.988650,28
torulaspora_delbrueckii,TDEL_0H03710,-0.000000,0.161180,24
zygosaccharomyces_rouxii,ZYRO0D05346g,-0.000000,0.309962,25
_candida_glabrata,CAGL0H06193g,0.022319,0.816160,28
vanderwaltozyma_polyspora_dsm_70294,Kpol_1040p17,0.288602,0.998296,23
zygosaccharomyces_bailii_isa1307,ZBAI_06841,0.135190,0.997013,25
zygosaccharomyces_bailii_isa1307,ZBAI_02440,0.007263,0.595524,23
kazachstania_naganishii_cbs_8797,KNAG_0D04770,0.240753,0.997013,25
kazachstania_africana_cbs_2517,KAFR_0K00730,0.025844,0.832117,26
eremothecium_cymbalariae_dbvpg_7215,Ecym_2645,0.009880,0.656079,28
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriACR286C,0.327152,0.999876,27
ashbya_gossypii,AGOS_ACR286C,0.156148,0.999876,27
kluyveromyces_lactis,KLLA0_F07513g,0.032078,0.879175,27
eremothecium_sinecaudum,AW171_hschr2372,0.011433,0.673633,26
kluyveromyces_marxianus_dmku3_1042,KLMA_20372,0.025844,0.832117,26
lachancea_thermotolerans_cbs_6340,KLTH0D02354g,0.027837,0.864433,29
lachancea_lanzarotensis,LALA0_S09e07294g,0.070585,0.976630,29
hanseniaspora_osmophila,AWRI3579_g2240,0.038957,0.948087,39
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_52773,0.024386,0.851290,31
hanseniaspora_opuntiae,AWRI3578_g1915,0.005300,0.558632,27
hanseniaspora_uvarum_dsm_2768,D499_0I01180,0.005300,0.558632,27
candida_tropicalis_mya_3404,CTRG_02669,0.085659,0.978522,24
_candida_tenuis_atcc_10573,CANTEDRAFT_126988,0.019471,0.800425,30
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_202705,0.631695,0.995195,32
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_22201,-0.000000,0.288929,29
clavispora_lusitaniae_atcc_42720,CLUG_01069,-0.000000,0.271668,33
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_88493,0.008623,0.638977,30
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_30366,0.308942,0.997013,25
debaryomyces_fabryi,AC631_01032,0.068186,0.985098,35
meyerozyma_guilliermondii_atcc_6260,PGUG_00999,NaN,NaN,NaN
candida_albicans_wo_1,CAWG_02056,0.032078,0.879175,27
candida_parapsilosis_cdc317,CPAR2_701950,-0.000000,0.271668,33
candida_maltosa_xu316,G210_4888,0.013855,0.735411,29
wickerhamomyces_ciferrii,BN7_55,0.038500,0.820629,14
lodderomyces_elongisporus_nrrl_yb_4239,LELG_03063,0.052013,0.854254,12
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_101123,0.087157,0.990450,31
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_163150,NaN,NaN,NaN
kuraishia_capsulata_cbs_1993,KUCA_T00005620001,0.027837,0.864433,29
_candida_auris,QG37_02834,0.003569,0.513702,33
pichia_kudriavzevii,JL09_g2596,0.019634,0.847268,40
ogataea_polymorpha,OGAPODRAFT_87403,0.072912,0.971938,26
candida_orthopsilosis_co_90_125,CORT_0G02240,0.001681,0.393117,34
debaryomyces_hansenii_cbs767,DEHA2C15774g,0.042596,0.944181,34
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0L21131g,0.061730,0.977522,34
candida_dubliniensis_cd36,CD36_33230,0.099802,0.992621,29
ogataea_parapolymorpha_dl_1,HPODL_03953,0.084676,0.992827,34
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_40318,0.166714,0.997476,28
scheffersomyces_stipitis_cbs_6054,PICST_57110,0.042596,0.944181,34
cyberlindnera_jadinii,BN1211_2473,0.003955,0.476907,22
komagataella_pastoris,PAS_chr1-1_0238,0.027837,0.864433,29
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0K21130g,0.061730,0.977522,34
komagataella_phaffii_cbs_7435,PP7435_CHR1-0551,0.027837,0.864433,29
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_73458,0.280245,0.999683,36
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_54135,0.054441,0.966115,33
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_12025,0.019150,0.737483,20
yarrowia_lipolytica,YALI0_F28831g,0.149452,0.996758,22
sugiyamaella_lignohabitans,AWJ20_4472,0.137828,0.977784,13
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_79320,0.010562,0.641054,19
geotrichum_candidum,BN980_GECA22s01484g,0.032078,0.879175,27
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_16476,0.064537,0.948598,22
tuber_melanosporum,GSTUM_00008747001,0.037372,0.893259,25
pyronema_omphalodes_cbs_100304,PCON_03071,0.074239,0.966181,23
schizosaccharomyces_japonicus,SJAG_02698,-0.000000,0.352394,19
schizosaccharomyces_octosporus,SOCG_04655,0.019471,0.800425,30
schizosaccharomyces_japonicus,SJAG_01938,0.046016,0.975316,46
schizosaccharomyces_octosporus,SOCG_03709,0.029639,0.948935,53
schizosaccharomyces_pombe,SPCC1235.05c,0.121957,0.998736,47
pneumocystis_murina_b123,PNEG_00443,0.126425,0.995195,32
schizosaccharomyces_octosporus,SOCG_02305,-0.000000,0.288929,29
schizosaccharomyces_cryophilus,SPOG_03526,0.075342,0.997377,49
schizosaccharomyces_cryophilus,SPOG_00134,0.054716,0.958437,30
pneumocystis_jirovecii_ru7,T551_03377,0.303877,0.995195,32
saitoella_complicata_nrrl_y_17804,G7K_3731-t1,0.060959,0.981354,37
pneumocystis_carinii_b80,T552_00412,0.193927,0.997802,31
schizosaccharomyces_japonicus,SJAG_01878,0.125011,0.994572,24
schizosaccharomyces_pombe,SPAC20G8.08c,-0.000000,0.139950,32
schizosaccharomyces_cryophilus,SPOG_00521,0.022319,0.816160,28
schizosaccharomyces_pombe,SPAC25A8.01c,0.034788,0.902446,30
thielavia_terrestris_nrrl_8126,THITE_122851,0.123897,0.989094,20
valsa_mali_var_pyri,VP1G_01414,0.353634,0.999521,21
trichoderma_reesei,TRIREDRAFT_2826,0.064537,0.948598,22
colletotrichum_gloeosporioides,CGGC5_155,0.072975,0.875173,7
trichoderma_virens,TRIVIDRAFT_112980,0.015881,0.714517,22
pochonia_chlamydosporia_170,VFPPC_05568,0.008682,0.617173,21
fusarium_fujikuroi,FFUJ_01471,0.019150,0.737483,20
cordyceps_militaris_cm01,CCM_06978,0.109078,0.981362,19
madurella_mycetomatis,MMYC01_200567,0.003955,0.476907,22
sporothrix_schenckii_atcc_58251,HMPREF1624_03214,0.173039,0.999643,24
metarhizium_majus_arsef_297,MAJ_08633,0.078082,0.959465,20
gaeumannomyces_graminis,GGTG_12229,0.305058,0.998037,17
ophiostoma_piceae_uamh_11346,F503_03218,0.506253,0.997476,28
magnaporthe_oryzae,MGG_09930,0.053489,0.904494,18
colletotrichum_sublineola,CSUB01_03662,0.044102,0.907678,23
podospora_anserina_s_mat_,PODANS_1_9610,0.004766,0.496975,20
neurospora_tetrasperma_fgsc_2509,NEUTE2DRAFT_78637,-0.000000,0.336376,21
beauveria_bassiana_arsef_2860,BBA_08048,0.023545,0.762634,18
fusarium_poae,FPOA_01316,0.109078,0.981362,19
purpureocillium_lilacinum,VFPBJ_04107,0.456553,0.998345,20
myceliophthora_thermophila_atcc_42464,MYCTH_44797,0.043425,0.885414,20
phaeoacremonium_minimum_ucrpa7,UCRPA7_6507,0.035964,0.867210,22
pestalotiopsis_fici_w106_1,PFICI_00031,0.010562,0.641054,19
colletotrichum_fioriniae_pj7,CFIO01_04940,0.135190,0.997013,25
sporothrix_brasiliensis_5110,SPBR_01220,0.173039,0.999643,24
microdochium_bolleyi,Micbo1qcDRAFT_163226,0.160267,0.987314,14
chaetomium_globosum_cbs_148_51,CHGG_01598,0.292198,0.996505,16
colletotrichum_salicis,CSAL01_02925,0.183349,0.997013,25
thielaviopsis_punctulata,TD95_005386,0.278501,0.996758,22
claviceps_purpurea_20_1,CPUR_06989,0.052841,0.922603,21
fusarium_graminearum,FGRAMPH1_01T03159,0.078082,0.959465,20
chaetomium_thermophilum_var_thermophilum_dsm_1495,CTHT_0057620,0.043425,0.885414,20
neonectria_ditissima,AK830_g2919,0.109078,0.981362,19
trichoderma_harzianum,THAR02_04671,0.089133,0.974389,21
verticillium_dahliae,VDAG_04494,0.182054,0.998345,20
diaporthe_ampelina,UCDDA912_g03934,0.353634,0.999521,21
verticillium_longisporum,BN1708_012103,0.166899,0.996176,19
metarhizium_acridum_cqma_102,MAC_07516,0.089133,0.974389,21
fusarium_verticillioides,FVEG_01406,0.043425,0.885414,20
trichoderma_atroviride_imi_206040,TRIATDRAFT_31030,0.123897,0.989094,20
dactylellina_haptotyla_cbs_200_50,H072_5156,0.025844,0.832117,26
verticillium_alfalfae_vams_102,VDBG_04952,0.207677,0.996758,22
scedosporium_apiospermum,SAPIO_CDS3699,0.089133,0.974389,21
metarhizium_anisopliae_arsef_23,MAA_00140,0.078082,0.959465,20
fusarium_oxysporum,FOXG_00110,0.053489,0.904494,18
fusarium_culmorum,FCUL_01376.1,0.123897,0.989094,20
cordyceps_brongniartii_rcef_3172,BBO_04917,0.053489,0.904494,18
ophiocordyceps_sinensis_co18,OCS_03768,0.254400,0.998345,20
neurospora_crassa,NCU09106,-0.000000,0.161180,24
magnaporthe_poae,MAPG_09647,0.136693,0.987646,17
fusarium_pseudograminearum,FPSE_00416,0.089133,0.974389,21
aschersonia_aleyrodis_rcef_2490,AAL_04878,0.096444,0.969915,18
fusarium_langsethiae,FLAG1_04229,0.026193,0.811614,21
ceratocystis_platani,CFO_g3120,0.010562,0.641054,19
diaporthe_helianthi,DHEL01_08242,0.149452,0.996758,22
stachybotrys_chlorohalonata_ibt_40285,S40285_08178,0.149452,0.996758,22
arthrobotrys_oligospora_atcc_24927,AOL_s00078g157,0.013384,0.693264,24
cordyceps_confragosa_rcef_1005,LEL_03494,0.064483,0.936940,19
stachybotrys_chartarum_ibt_40293,S40293_08109,0.035964,0.867210,22
drechmeria_coniospora,DCS_07973,0.331157,0.999877,19
colletotrichum_incanum,CI238_00476,0.112817,0.990258,23
torrubiella_hemipterigena,VHEMI02281,0.054251,0.937205,24
colletotrichum_nymphaeae_sa_01,CNYM01_02206,0.085659,0.978522,24
metarhizium_album_arsef_1941,MAM_03617,0.004766,0.496975,20
colletotrichum_higginsianum,CH063_08701,0.074239,0.966181,23
grosmannia_clavigera_kw1407,CMQ_7926,0.257585,0.999960,33
sordaria_macrospora,SMAC_04602,0.064537,0.948598,22
colletotrichum_orbiculare,Cob_03453,0.218627,0.998296,23
ophiocordyceps_unilateralis,XA68_4305,0.112817,0.990258,23
metarhizium_brunneum_arsef_3297,MBR_06082,0.078082,0.959465,20
