species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0314,0.007361,0.545845,16
saccharomyces_sp_boulardii_,KO01_00206,0.007361,0.545845,16
saccharomyces_kudriavzevii_ifo_1802,SKUD_185203,0.029654,0.790440,16
saccharomyces_eubayanus,DI49_1187,0.039713,0.856712,17
kazachstania_africana_cbs_2517,KAFR_0E03030,0.096444,0.969915,18
naumovozyma_castellii_cbs_4309,NCAS_0B02350,0.067537,0.923820,16
naumovozyma_dairenensis_cbs_421,NDAI_0C05340,0.227076,0.999515,18
kazachstania_naganishii_cbs_8797,KNAG_0A03900,-0.000000,0.370941,17
tetrapisispora_phaffii_cbs_4417,TPHA_0L01470,0.292198,0.996505,16
tetrapisispora_blattae_cbs_6284,TBLA_0H03440,0.274370,0.999402,15
vanderwaltozyma_polyspora_dsm_70294,Kpol_513p7,0.418129,0.996505,16
_candida_glabrata,CAGL0H07535g,0.153646,0.993281,18
zygosaccharomyces_bailii_isa1307,ZBAI_05925,0.210385,0.998037,17
zygosaccharomyces_bailii_isa1307,ZBAI_00623,0.227076,0.999515,18
zygosaccharomyces_rouxii,ZYRO0F08778g,0.136693,0.987646,17
torulaspora_delbrueckii,TDEL_0B01250,-0.000000,0.370941,17
eremothecium_cymbalariae_dbvpg_7215,Ecym_2566,0.195920,0.996505,16
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADR058C,0.305058,0.998037,17
ashbya_gossypii,AGOS_ADR058C,0.210385,0.998037,17
eremothecium_sinecaudum,AW171_hschr42697,-0.000000,0.196381,16
lachancea_thermotolerans_cbs_6340,KLTH0E11924g,0.427378,0.998037,17
lachancea_lanzarotensis,LALA0_S04e04148g,-0.000000,0.196381,16
kluyveromyces_marxianus_dmku3_1042,KLMA_30358,-0.000000,0.370941,17
kluyveromyces_lactis,KLLA0_B09790g,0.005853,0.519638,18
hanseniaspora_opuntiae,AWRI3578_g3731,-0.000000,0.352394,19
hanseniaspora_osmophila,AWRI3579_g3265,0.136693,0.987646,17
hanseniaspora_uvarum_dsm_2768,D499_0A01000,0.254400,0.998345,20
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_23676,0.274370,0.999402,15
komagataella_phaffii_cbs_7435,PP7435_CHR4-0625,0.004766,0.496975,20
candida_dubliniensis_cd36,CD36_31500,0.254400,0.998345,20
lodderomyces_elongisporus_nrrl_yb_4239,LELG_03195,0.003335,0.458995,24
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_59489,0.364734,0.996758,22
candida_parapsilosis_cdc317,CPAR2_205060,0.149452,0.996758,22
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0F09223g,0.003955,0.476907,22
cyberlindnera_jadinii,BN1211_5098,0.123897,0.989094,20
ogataea_parapolymorpha_dl_1,HPODL_02864,-0.000000,0.322361,23
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_16991,0.364734,0.996758,22
_candida_tenuis_atcc_10573,CANTEDRAFT_112302,0.019150,0.737483,20
komagataella_pastoris,PAS_chr4_0950,0.004766,0.496975,20
candida_tropicalis_mya_3404,CTRG_00650,0.601771,0.999877,19
scheffersomyces_stipitis_cbs_6054,PICST_90135,0.074239,0.966181,23
wickerhamomyces_ciferrii,BN7_1258,0.353634,0.999521,21
candida_maltosa_xu316,G210_0516,0.194115,0.999521,21
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_28794,0.308942,0.997013,25
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_83446,0.612117,0.996758,22
pichia_kudriavzevii,JL09_g742,0.078082,0.959465,20
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_159479,0.218627,0.998296,23
candida_orthopsilosis_co_90_125,CORT_0D05170,0.125011,0.994572,24
ogataea_polymorpha,OGAPODRAFT_15213,-0.000000,0.322361,23
_candida_auris,QG37_06144,0.004766,0.496975,20
debaryomyces_hansenii_cbs767,DEHA2G10714g,0.074239,0.966181,23
debaryomyces_fabryi,AC631_03945,0.074239,0.966181,23
kuraishia_capsulata_cbs_1993,KUCA_T00001637001,0.035964,0.867210,22
meyerozyma_guilliermondii_atcc_6260,PGUG_04785,0.053489,0.904494,18
clavispora_lusitaniae_atcc_42720,CLUG_05341,0.053489,0.904494,18
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_4082,0.013384,0.693264,24
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_107808,0.364734,0.996758,22
candida_albicans_wo_1,CAWG_01920,0.456553,0.998345,20
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0E07880g,-0.000000,0.336376,21
