aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.326656e-01,1,7.326656e-01,1,15,119,0
E,1,2.673344e-01,1,7.326656e-01,1,8,181,1
E,1,7.326656e-01,1,7.326656e-01,1,15,253,0
E,1,7.326656e-01,1,7.326656e-01,1,15,689,0
E,1,2.673344e-01,1,7.326656e-01,1,8,716,1
E,1,7.326656e-01,1,7.326656e-01,1,15,830,0
E,1,2.673344e-01,1,7.326656e-01,1,8,917,1
E,1,7.326656e-01,1,7.326656e-01,1,15,1066,0
E,1,7.326656e-01,1,7.326656e-01,1,15,1240,0
E,1,2.673344e-01,1,7.326656e-01,1,8,1248,1
E,1,7.326656e-01,1,7.326656e-01,1,15,1440,0
E,1,7.326656e-01,1,7.326656e-01,1,15,1535,0
E,1,7.326656e-01,1,7.326656e-01,1,15,2217,0
E,1,2.673344e-01,1,7.326656e-01,1,8,2428,1
E,1,2.673344e-01,1,7.326656e-01,1,8,2628,1
E,1,7.326656e-01,1,7.326656e-01,1,15,2699,0
E,1,7.326656e-01,1,7.326656e-01,1,15,2744,0
E,1,7.326656e-01,1,7.326656e-01,1,15,2782,0
E,1,7.326656e-01,1,7.326656e-01,1,15,2798,0
E,1,7.326656e-01,1,7.326656e-01,1,15,2825,0
E,1,2.673344e-01,1,7.326656e-01,1,8,2843,1
E,1,7.326656e-01,1,7.326656e-01,1,15,2894,0
E,1,2.673344e-01,1,7.326656e-01,1,8,2903,1
E,2,5.367989e-01,1,5.367989e-01,1,28,12,0
E,2,5.367989e-01,1,5.367989e-01,1,28,51,0
E,2,5.367989e-01,1,5.367989e-01,1,28,65,0
E,2,3.917334e-01,1,5.367989e-01,1,15,140,1
E,2,5.367989e-01,1,5.367989e-01,1,28,189,0
E,2,5.367989e-01,1,5.367989e-01,1,28,263,0
E,2,3.917334e-01,1,5.367989e-01,1,15,333,1
E,2,7.146767e-02,1,5.367989e-01,1,5,643,2
E,2,3.917334e-01,1,5.367989e-01,1,15,650,1
E,2,5.367989e-01,1,5.367989e-01,1,28,667,0
E,2,5.367989e-01,1,5.367989e-01,1,28,677,0
E,2,5.367989e-01,1,5.367989e-01,1,28,737,0
E,2,5.367989e-01,1,5.367989e-01,1,28,838,0
E,2,5.367989e-01,1,5.367989e-01,1,28,839,0
E,2,3.917334e-01,1,5.367989e-01,1,15,926,1
E,2,5.367989e-01,1,5.367989e-01,1,28,958,0
E,2,7.146767e-02,1,5.367989e-01,1,5,991,2
E,2,3.917334e-01,1,5.367989e-01,1,15,1137,1
E,2,5.367989e-01,1,5.367989e-01,1,28,1169,0
E,2,3.917334e-01,1,5.367989e-01,1,15,1195,1
E,2,5.367989e-01,1,5.367989e-01,1,28,1209,0
E,2,5.367989e-01,1,5.367989e-01,1,28,1249,0
E,2,5.367989e-01,1,5.367989e-01,1,28,1299,0
E,2,5.367989e-01,1,5.367989e-01,1,28,1339,0
E,2,3.917334e-01,1,5.367989e-01,1,15,1366,1
E,2,5.367989e-01,1,5.367989e-01,1,28,1468,0
E,2,5.367989e-01,1,5.367989e-01,1,28,1523,0
E,2,7.146767e-02,1,5.367989e-01,1,5,1683,2
E,2,5.367989e-01,1,5.367989e-01,1,28,1789,0
E,2,3.917334e-01,1,5.367989e-01,1,15,1858,1
E,2,5.367989e-01,1,5.367989e-01,1,28,1975,0
E,2,3.917334e-01,1,5.367989e-01,1,15,2149,1
E,2,3.917334e-01,1,5.367989e-01,1,15,2171,1
E,2,3.917334e-01,1,5.367989e-01,1,15,2197,1
E,2,5.367989e-01,1,5.367989e-01,1,28,2307,0
E,2,5.367989e-01,1,5.367989e-01,1,28,2323,0
E,2,3.917334e-01,1,5.367989e-01,1,15,2378,1
E,2,5.367989e-01,1,5.367989e-01,1,28,2422,0
E,2,5.367989e-01,1,5.367989e-01,1,28,2432,0
E,2,3.917334e-01,1,5.367989e-01,1,15,2504,1
E,2,5.367989e-01,1,5.367989e-01,1,28,2590,0
E,2,5.367989e-01,1,5.367989e-01,1,28,2625,0
E,2,7.146767e-02,1,5.367989e-01,1,5,2643,2
E,2,7.146767e-02,1,5.367989e-01,1,5,2694,2
E,2,3.917334e-01,1,5.367989e-01,1,15,2764,1
E,2,5.367989e-01,1,5.367989e-01,1,28,2787,0
E,2,5.367989e-01,1,5.367989e-01,1,28,2872,0
E,2,3.917334e-01,1,5.367989e-01,1,15,2922,1
E,3,1.570857e-01,1,4.305144e-01,1,6,175,2
E,3,3.932941e-01,1,4.305144e-01,1,21,215,0
E,3,1.570857e-01,1,4.305144e-01,1,6,282,2
E,3,3.932941e-01,1,4.305144e-01,1,21,286,0
E,3,4.305144e-01,1,4.305144e-01,1,10,569,1
E,3,1.570857e-01,1,4.305144e-01,1,6,639,2
E,3,4.305144e-01,1,4.305144e-01,1,10,855,1
E,3,4.305144e-01,1,4.305144e-01,1,10,978,1
E,3,4.305144e-01,1,4.305144e-01,1,10,1075,1
E,3,4.305144e-01,1,4.305144e-01,1,10,1106,1
E,3,4.305144e-01,1,4.305144e-01,1,10,1154,1
E,3,3.932941e-01,1,4.305144e-01,1,21,1197,0
E,3,3.932941e-01,1,4.305144e-01,1,21,1247,0
E,3,3.932941e-01,1,4.305144e-01,1,21,1253,0
E,3,3.932941e-01,1,4.305144e-01,1,21,1359,0
E,3,1.910576e-02,1,4.305144e-01,1,1,1596,3
E,3,3.932941e-01,1,4.305144e-01,1,21,1699,0
E,3,4.305144e-01,1,4.305144e-01,1,10,1929,1
E,3,3.932941e-01,1,4.305144e-01,1,21,1947,0
E,3,4.305144e-01,1,4.305144e-01,1,10,2031,1
E,3,3.932941e-01,1,4.305144e-01,1,21,2081,0
