aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.681207e-01,1,6.681207e-01,1,9,74,0
E,1,6.681207e-01,1,6.681207e-01,1,9,120,0
E,1,6.681207e-01,1,6.681207e-01,1,9,176,0
E,1,6.681207e-01,1,6.681207e-01,1,9,292,0
E,1,6.681207e-01,1,6.681207e-01,1,9,482,0
E,1,3.318793e-01,1,6.681207e-01,1,2,638,1
E,1,6.681207e-01,1,6.681207e-01,1,9,691,0
E,1,3.318793e-01,1,6.681207e-01,1,2,1246,1
E,1,6.681207e-01,1,6.681207e-01,1,9,1598,0
E,1,6.681207e-01,1,6.681207e-01,1,9,1811,0
E,1,6.681207e-01,1,6.681207e-01,1,9,1842,0
E,2,4.434708e-01,1,4.463853e-01,1,7,6,1
E,2,4.434708e-01,1,4.463853e-01,1,7,101,1
E,2,4.434708e-01,1,4.463853e-01,1,7,254,1
E,2,4.463853e-01,1,4.463853e-01,1,9,260,0
E,2,4.463853e-01,1,4.463853e-01,1,9,308,0
E,2,4.434708e-01,1,4.463853e-01,1,7,324,1
E,2,4.434708e-01,1,4.463853e-01,1,7,498,1
E,2,4.434708e-01,1,4.463853e-01,1,7,626,1
E,2,4.463853e-01,1,4.463853e-01,1,9,827,0
E,2,4.463853e-01,1,4.463853e-01,1,9,836,0
E,2,4.463853e-01,1,4.463853e-01,1,9,872,0
E,2,4.434708e-01,1,4.463853e-01,1,7,883,1
E,2,1.101438e-01,1,4.463853e-01,1,1,1179,2
E,2,4.463853e-01,1,4.463853e-01,1,9,1388,0
E,2,4.463853e-01,1,4.463853e-01,1,9,1593,0
E,2,4.463853e-01,1,4.463853e-01,1,9,1652,0
E,2,4.463853e-01,1,4.463853e-01,1,9,1708,0
E,3,2.207682e-01,1,4.444381e-01,1,6,182,2
E,3,4.444381e-01,1,4.444381e-01,1,7,219,1
E,3,2.982393e-01,1,4.444381e-01,1,9,258,0
E,3,2.207682e-01,1,4.444381e-01,1,6,267,2
E,3,2.982393e-01,1,4.444381e-01,1,9,307,0
E,3,2.207682e-01,1,4.444381e-01,1,6,343,2
E,3,2.207682e-01,1,4.444381e-01,1,6,366,2
E,3,4.444381e-01,1,4.444381e-01,1,7,470,1
E,3,2.207682e-01,1,4.444381e-01,1,6,474,2
E,3,3.655446e-02,1,4.444381e-01,1,1,484,3
E,3,2.207682e-01,1,4.444381e-01,1,6,608,2
E,3,4.444381e-01,1,4.444381e-01,1,7,640,1
E,3,2.982393e-01,1,4.444381e-01,1,9,652,0
E,3,4.444381e-01,1,4.444381e-01,1,7,679,1
E,3,2.982393e-01,1,4.444381e-01,1,9,692,0
E,3,2.982393e-01,1,4.444381e-01,1,9,982,0
E,3,4.444381e-01,1,4.444381e-01,1,7,1109,1
E,3,2.982393e-01,1,4.444381e-01,1,9,1146,0
E,3,2.982393e-01,1,4.444381e-01,1,9,1178,0
E,3,4.444381e-01,1,4.444381e-01,1,7,1244,1
E,3,2.982393e-01,1,4.444381e-01,1,9,1606,0
E,3,4.444381e-01,1,4.444381e-01,1,7,1738,1
E,3,2.982393e-01,1,4.444381e-01,1,9,1752,0
E,4,3.959177e-01,1,3.959177e-01,1,16,63,1
E,4,2.949996e-01,1,3.959177e-01,1,11,108,2
E,4,1.992599e-01,1,3.959177e-01,1,3,110,0
E,4,3.959177e-01,1,3.959177e-01,1,16,316,1
E,4,3.959177e-01,1,3.959177e-01,1,16,385,1
E,4,9.769117e-02,1,3.959177e-01,1,4,410,3
E,4,2.949996e-01,1,3.959177e-01,1,11,508,2
E,4,2.949996e-01,1,3.959177e-01,1,11,534,2
E,4,3.959177e-01,1,3.959177e-01,1,16,589,1
E,4,2.949996e-01,1,3.959177e-01,1,11,618,2
E,4,2.949996e-01,1,3.959177e-01,1,11,623,2
E,4,3.959177e-01,1,3.959177e-01,1,16,629,1
E,4,9.769117e-02,1,3.959177e-01,1,4,631,3
E,4,1.992599e-01,1,3.959177e-01,1,3,866,0
E,4,3.959177e-01,1,3.959177e-01,1,16,917,1
E,4,9.769117e-02,1,3.959177e-01,1,4,931,3
E,4,2.949996e-01,1,3.959177e-01,1,11,1050,2
E,4,3.959177e-01,1,3.959177e-01,1,16,1075,1
E,4,2.949996e-01,1,3.959177e-01,1,11,1082,2
E,4,2.949996e-01,1,3.959177e-01,1,11,1085,2
E,4,2.949996e-01,1,3.959177e-01,1,11,1104,2
E,4,3.959177e-01,1,3.959177e-01,1,16,1241,1
E,4,1.213167e-02,1,3.959177e-01,1,1,1247,4
E,4,3.959177e-01,1,3.959177e-01,1,16,1255,1
E,4,3.959177e-01,1,3.959177e-01,1,16,1265,1
E,4,3.959177e-01,1,3.959177e-01,1,16,1268,1
E,4,9.769117e-02,1,3.959177e-01,1,4,1364,3
E,4,1.992599e-01,1,3.959177e-01,1,3,1421,0
E,4,2.949996e-01,1,3.959177e-01,1,11,1440,2
E,4,2.949996e-01,1,3.959177e-01,1,11,1447,2
E,4,3.959177e-01,1,3.959177e-01,1,16,1590,1
E,4,3.959177e-01,1,3.959177e-01,1,16,1670,1
E,4,3.959177e-01,1,3.959177e-01,1,16,1778,1
E,4,3.959177e-01,1,3.959177e-01,1,16,1825,1
E,4,3.959177e-01,1,3.959177e-01,1,16,1857,1
E,5,3.284922e-01,1,3.306511e-01,1,15,45,2
E,5,3.284922e-01,1,3.306511e-01,1,15,154,2
E,5,1.631737e-01,1,3.306511e-01,1,8,212,3
E,5,3.306511e-01,1,3.306511e-01,1,12,329,1
E,5,3.284922e-01,1,3.306511e-01,1,15,355,2
E,5,4.026249e-03,1,3.306511e-01,1,1,367,5
E,5,3.306511e-01,1,3.306511e-01,1,12,378,1
E,5,1.631737e-01,1,3.306511e-01,1,8,426,3
E,5,3.284922e-01,1,3.306511e-01,1,15,444,2
E,5,3.306511e-01,1,3.306511e-01,1,12,465,1
E,5,1.331296e-01,1,3.306511e-01,1,6,512,0
E,5,3.284922e-01,1,3.306511e-01,1,15,548,2
E,5,1.631737e-01,1,3.306511e-01,1,8,612,3
E,5,1.631737e-01,1,3.306511e-01,1,8,617,3
E,5,1.331296e-01,1,3.306511e-01,1,6,637,0
E,5,3.306511e-01,1,3.306511e-01,1,12,650,1
E,5,1.631737e-01,1,3.306511e-01,1,8,699,3
E,5,3.306511e-01,1,3.306511e-01,1,12,703,1
E,5,3.284922e-01,1,3.306511e-01,1,15,787,2
E,5,3.306511e-01,1,3.306511e-01,1,12,860,1
E,5,3.284922e-01,1,3.306511e-01,1,15,863,2
E,5,3.284922e-01,1,3.306511e-01,1,15,899,2
E,5,1.331296e-01,1,3.306511e-01,1,6,927,0
E,5,3.284922e-01,1,3.306511e-01,1,15,966,2
E,5,3.306511e-01,1,3.306511e-01,1,12,1090,1
E,5,1.631737e-01,1,3.306511e-01,1,8,1097,3
E,5,3.284922e-01,1,3.306511e-01,1,15,1101,2
E,5,1.631737e-01,1,3.306511e-01,1,8,1113,3
E,5,1.331296e-01,1,3.306511e-01,1,6,1150,0
E,5,3.284922e-01,1,3.306511e-01,1,15,1180,2
E,5,3.284922e-01,1,3.306511e-01,1,15,1214,2
E,5,1.331296e-01,1,3.306511e-01,1,6,1218,0
E,5,1.331296e-01,1,3.306511e-01,1,6,1243,0
E,5,4.052709e-02,1,3.306511e-01,1,2,1245,4
E,5,1.631737e-01,1,3.306511e-01,1,8,1254,3
E,5,3.306511e-01,1,3.306511e-01,1,12,1335,1
E,5,3.306511e-01,1,3.306511e-01,1,12,1396,1
E,5,4.052709e-02,1,3.306511e-01,1,2,1400,4
E,5,3.306511e-01,1,3.306511e-01,1,12,1536,1
E,5,3.284922e-01,1,3.306511e-01,1,15,1585,2
E,5,3.284922e-01,1,3.306511e-01,1,15,1604,2
E,5,3.284922e-01,1,3.306511e-01,1,15,1707,2
