aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,5,175,1
E,1,5.000000e-01,2,5.000000e-01,2,5,671,1
E,1,5.000000e-01,2,5.000000e-01,2,5,1107,1
E,1,5.000000e-01,2,5.000000e-01,2,5,1250,1
E,1,5.000000e-01,2,5.000000e-01,2,5,1445,1
E,2,2.500000e-01,2,5.000000e-01,1,6,119,2
E,2,2.500000e-01,2,5.000000e-01,1,6,256,2
E,2,5.000000e-01,1,5.000000e-01,1,4,343,2
E,2,5.000000e-01,1,5.000000e-01,1,4,815,2
E,2,2.500000e-01,2,5.000000e-01,1,6,909,2
E,2,2.500000e-01,2,5.000000e-01,1,6,1115,2
E,2,5.000000e-01,1,5.000000e-01,1,4,1136,2
E,2,5.000000e-01,1,5.000000e-01,1,4,1606,2
E,2,2.500000e-01,2,5.000000e-01,1,6,1641,2
E,2,2.500000e-01,2,5.000000e-01,1,6,1708,2
E,3,3.750000e-01,2,3.750000e-01,2,11,64,1
E,3,3.750000e-01,2,3.750000e-01,2,11,305,1
E,3,1.250000e-01,2,3.750000e-01,2,4,362,1
E,3,1.250000e-01,2,3.750000e-01,2,4,409,1
E,3,3.750000e-01,2,3.750000e-01,2,11,529,1
E,3,1.250000e-01,2,3.750000e-01,2,4,530,1
E,3,3.750000e-01,2,3.750000e-01,2,11,623,1
E,3,1.250000e-01,2,3.750000e-01,2,4,717,1
E,3,3.750000e-01,2,3.750000e-01,2,11,782,1
E,3,3.750000e-01,2,3.750000e-01,2,11,922,1
E,3,3.750000e-01,2,3.750000e-01,2,11,1017,1
E,3,3.750000e-01,2,3.750000e-01,2,11,1079,1
E,3,3.750000e-01,2,3.750000e-01,2,11,1192,1
E,3,3.750000e-01,2,3.750000e-01,2,11,1243,1
E,3,3.750000e-01,2,3.750000e-01,2,11,1720,1
E,4,2.500000e-01,2,3.750000e-01,1,12,14,3
E,4,2.500000e-01,2,3.750000e-01,1,12,140,3
E,4,2.500000e-01,2,3.750000e-01,1,12,146,3
E,4,3.750000e-01,1,3.750000e-01,1,10,164,3
E,4,3.750000e-01,1,3.750000e-01,1,10,174,3
E,4,2.500000e-01,2,3.750000e-01,1,12,202,3
E,4,3.750000e-01,1,3.750000e-01,1,10,264,3
E,4,2.500000e-01,2,3.750000e-01,1,12,462,3
E,4,3.750000e-01,1,3.750000e-01,1,10,584,3
E,4,2.500000e-01,2,3.750000e-01,1,12,589,3
E,4,3.750000e-01,1,3.750000e-01,1,10,699,3
E,4,2.500000e-01,2,3.750000e-01,1,12,722,3
E,4,2.500000e-01,2,3.750000e-01,1,12,854,3
E,4,2.500000e-01,2,3.750000e-01,1,12,933,3
E,4,3.750000e-01,1,3.750000e-01,1,10,949,3
E,4,2.500000e-01,2,3.750000e-01,1,12,1084,3
E,4,2.500000e-01,2,3.750000e-01,1,12,1182,3
E,4,3.750000e-01,1,3.750000e-01,1,10,1195,3
E,4,3.750000e-01,1,3.750000e-01,1,10,1237,3
E,4,3.750000e-01,1,3.750000e-01,1,10,1506,3
E,4,3.750000e-01,1,3.750000e-01,1,10,1763,3
E,4,2.500000e-01,2,3.750000e-01,1,12,1783,3
E,5,3.125000e-01,2,3.125000e-01,2,24,36,3
E,5,3.125000e-01,2,3.125000e-01,2,24,88,3
E,5,3.125000e-01,2,3.125000e-01,2,24,90,3
E,5,1.562500e-01,2,3.125000e-01,2,9,139,3
E,5,3.125000e-01,2,3.125000e-01,2,24,150,3
E,5,3.125000e-01,2,3.125000e-01,2,24,155,3
E,5,3.125000e-01,2,3.125000e-01,2,24,176,3
E,5,1.562500e-01,2,3.125000e-01,2,9,177,3
E,5,3.125000e-01,2,3.125000e-01,2,24,185,3
E,5,3.125000e-01,2,3.125000e-01,2,24,187,3
E,5,3.125000e-01,2,3.125000e-01,2,24,214,3
E,5,3.125000e-01,2,3.125000e-01,2,24,216,3
E,5,1.562500e-01,2,3.125000e-01,2,9,309,3
E,5,3.125000e-01,2,3.125000e-01,2,24,377,3
E,5,1.562500e-01,2,3.125000e-01,2,9,631,3
E,5,3.125000e-02,2,3.125000e-01,2,2,654,3
E,5,3.125000e-01,2,3.125000e-01,2,24,672,3
E,5,3.125000e-01,2,3.125000e-01,2,24,746,3
E,5,1.562500e-01,2,3.125000e-01,2,9,828,3
E,5,3.125000e-01,2,3.125000e-01,2,24,878,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1068,3
E,5,1.562500e-01,2,3.125000e-01,2,9,1073,3
E,5,3.125000e-02,2,3.125000e-01,2,2,1258,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1289,3
E,5,1.562500e-01,2,3.125000e-01,2,9,1312,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1331,3
E,5,1.562500e-01,2,3.125000e-01,2,9,1427,3
E,5,1.562500e-01,2,3.125000e-01,2,9,1474,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1521,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1616,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1633,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1663,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1729,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1753,3
E,5,3.125000e-01,2,3.125000e-01,2,24,1776,3
E,6,9.375000e-02,2,3.125000e-01,1,17,81,1
E,6,9.375000e-02,2,3.125000e-01,1,17,109,1
E,6,2.343750e-01,2,3.125000e-01,1,15,117,1
E,6,2.343750e-01,2,3.125000e-01,1,15,161,1
E,6,3.125000e-01,1,3.125000e-01,1,7,167,1
E,6,2.343750e-01,2,3.125000e-01,1,15,276,1
E,6,9.375000e-02,2,3.125000e-01,1,17,366,1
E,6,2.343750e-01,2,3.125000e-01,1,15,393,1
E,6,2.343750e-01,2,3.125000e-01,1,15,396,1
E,6,9.375000e-02,2,3.125000e-01,1,17,402,1
E,6,2.343750e-01,2,3.125000e-01,1,15,403,1
E,6,3.125000e-01,1,3.125000e-01,1,7,405,1
E,6,2.343750e-01,2,3.125000e-01,1,15,419,1
E,6,9.375000e-02,2,3.125000e-01,1,17,448,1
E,6,9.375000e-02,2,3.125000e-01,1,17,453,1
E,6,9.375000e-02,2,3.125000e-01,1,17,521,1
E,6,3.125000e-01,1,3.125000e-01,1,7,525,1
E,6,2.343750e-01,2,3.125000e-01,1,15,549,1
E,6,3.125000e-01,1,3.125000e-01,1,7,550,1
E,6,9.375000e-02,2,3.125000e-01,1,17,700,1
E,6,2.343750e-01,2,3.125000e-01,1,15,705,1
E,6,9.375000e-02,2,3.125000e-01,1,17,718,1
E,6,3.125000e-01,1,3.125000e-01,1,7,739,1
E,6,3.125000e-01,1,3.125000e-01,1,7,763,1
E,6,9.375000e-02,2,3.125000e-01,1,17,795,1
E,6,2.343750e-01,2,3.125000e-01,1,15,862,1
E,6,9.375000e-02,2,3.125000e-01,1,17,950,1
E,6,9.375000e-02,2,3.125000e-01,1,17,961,1
E,6,9.375000e-02,2,3.125000e-01,1,17,985,1
E,6,2.343750e-01,2,3.125000e-01,1,15,1019,1
E,6,2.343750e-01,2,3.125000e-01,1,15,1099,1
E,6,9.375000e-02,2,3.125000e-01,1,17,1374,1
E,6,2.343750e-01,2,3.125000e-01,1,15,1432,1
E,6,9.375000e-02,2,3.125000e-01,1,17,1526,1
E,6,3.125000e-01,1,3.125000e-01,1,7,1553,1
E,6,9.375000e-02,2,3.125000e-01,1,17,1567,1
E,6,2.343750e-01,2,3.125000e-01,1,15,1605,1
E,6,2.343750e-01,2,3.125000e-01,1,15,1693,1
E,6,9.375000e-02,2,3.125000e-01,1,17,1781,1
E,7,2.734375e-01,2,2.734375e-01,2,17,17,4
E,7,2.734375e-01,2,2.734375e-01,2,17,98,4
E,7,2.734375e-01,2,2.734375e-01,2,17,137,4
E,7,1.640625e-01,2,2.734375e-01,2,16,142,4
E,7,1.640625e-01,2,2.734375e-01,2,16,162,4
E,7,5.468750e-02,2,2.734375e-01,2,7,165,4
E,7,5.468750e-02,2,2.734375e-01,2,7,169,4
E,7,5.468750e-02,2,2.734375e-01,2,7,220,4
E,7,5.468750e-02,2,2.734375e-01,2,7,237,4
E,7,2.734375e-01,2,2.734375e-01,2,17,304,4
E,7,2.734375e-01,2,2.734375e-01,2,17,326,4
E,7,1.640625e-01,2,2.734375e-01,2,16,327,4
E,7,1.640625e-01,2,2.734375e-01,2,16,328,4
E,7,2.734375e-01,2,2.734375e-01,2,17,428,4
E,7,1.640625e-01,2,2.734375e-01,2,16,447,4
E,7,2.734375e-01,2,2.734375e-01,2,17,465,4
E,7,2.734375e-01,2,2.734375e-01,2,17,488,4
E,7,1.640625e-01,2,2.734375e-01,2,16,562,4
E,7,1.640625e-01,2,2.734375e-01,2,16,566,4
E,7,1.640625e-01,2,2.734375e-01,2,16,592,4
E,7,2.734375e-01,2,2.734375e-01,2,17,605,4
E,7,5.468750e-02,2,2.734375e-01,2,7,653,4
E,7,2.734375e-01,2,2.734375e-01,2,17,674,4
E,7,1.640625e-01,2,2.734375e-01,2,16,675,4
E,7,1.640625e-01,2,2.734375e-01,2,16,709,4
E,7,5.468750e-02,2,2.734375e-01,2,7,827,4
E,7,2.734375e-01,2,2.734375e-01,2,17,881,4
E,7,7.812500e-03,2,2.734375e-01,2,1,930,4
E,7,1.640625e-01,2,2.734375e-01,2,16,981,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1051,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1087,4
E,7,1.640625e-01,2,2.734375e-01,2,16,1130,4
E,7,1.640625e-01,2,2.734375e-01,2,16,1143,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1187,4
E,7,1.640625e-01,2,2.734375e-01,2,16,1213,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1267,4
E,7,1.640625e-01,2,2.734375e-01,2,16,1299,4
E,7,1.640625e-01,2,2.734375e-01,2,16,1428,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1514,4
E,7,2.734375e-01,2,2.734375e-01,2,17,1520,4
E,7,5.468750e-02,2,2.734375e-01,2,7,1670,4
E,8,2.734375e-01,1,2.734375e-01,1,22,10,4
E,8,2.734375e-01,1,2.734375e-01,1,22,25,4
E,8,3.125000e-02,2,2.734375e-01,1,2,134,4
E,8,2.187500e-01,2,2.734375e-01,1,23,138,4
E,8,1.093750e-01,2,2.734375e-01,1,15,153,4
E,8,2.734375e-01,1,2.734375e-01,1,22,158,4
E,8,2.734375e-01,1,2.734375e-01,1,22,194,4
E,8,2.187500e-01,2,2.734375e-01,1,23,195,4
E,8,2.734375e-01,1,2.734375e-01,1,22,219,4
E,8,2.187500e-01,2,2.734375e-01,1,23,384,4
E,8,2.187500e-01,2,2.734375e-01,1,23,385,4
E,8,2.187500e-01,2,2.734375e-01,1,23,427,4
E,8,2.734375e-01,1,2.734375e-01,1,22,445,4
E,8,1.093750e-01,2,2.734375e-01,1,15,450,4
E,8,2.734375e-01,1,2.734375e-01,1,22,466,4
E,8,2.734375e-01,1,2.734375e-01,1,22,507,4
E,8,2.734375e-01,1,2.734375e-01,1,22,527,4
E,8,1.093750e-01,2,2.734375e-01,1,15,614,4
E,8,2.734375e-01,1,2.734375e-01,1,22,622,4
E,8,1.093750e-01,2,2.734375e-01,1,15,632,4
E,8,2.187500e-01,2,2.734375e-01,1,23,643,4
E,8,1.093750e-01,2,2.734375e-01,1,15,667,4
E,8,2.734375e-01,1,2.734375e-01,1,22,708,4
E,8,2.734375e-01,1,2.734375e-01,1,22,733,4
E,8,2.734375e-01,1,2.734375e-01,1,22,749,4
E,8,2.187500e-01,2,2.734375e-01,1,23,760,4
E,8,2.734375e-01,1,2.734375e-01,1,22,840,4
E,8,3.125000e-02,2,2.734375e-01,1,2,883,4
E,8,2.734375e-01,1,2.734375e-01,1,22,925,4
E,8,1.093750e-01,2,2.734375e-01,1,15,928,4
E,8,2.734375e-01,1,2.734375e-01,1,22,931,4
E,8,2.187500e-01,2,2.734375e-01,1,23,951,4
E,8,2.734375e-01,1,2.734375e-01,1,22,956,4
E,8,2.187500e-01,2,2.734375e-01,1,23,957,4
E,8,1.093750e-01,2,2.734375e-01,1,15,970,4
E,8,2.187500e-01,2,2.734375e-01,1,23,992,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1018,4
E,8,1.093750e-01,2,2.734375e-01,1,15,1056,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1094,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1109,4
E,8,1.093750e-01,2,2.734375e-01,1,15,1148,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1161,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1166,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1284,4
E,8,2.734375e-01,1,2.734375e-01,1,22,1318,4
E,8,2.734375e-01,1,2.734375e-01,1,22,1327,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1340,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1450,4
E,8,2.734375e-01,1,2.734375e-01,1,22,1451,4
E,8,1.093750e-01,2,2.734375e-01,1,15,1454,4
E,8,1.093750e-01,2,2.734375e-01,1,15,1486,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1542,4
E,8,1.093750e-01,2,2.734375e-01,1,15,1552,4
E,8,1.093750e-01,2,2.734375e-01,1,15,1556,4
E,8,1.093750e-01,2,2.734375e-01,1,15,1570,4
E,8,1.093750e-01,2,2.734375e-01,1,15,1594,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1642,4
E,8,2.187500e-01,2,2.734375e-01,1,23,1677,4
