species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5064,0.337827,0.999980,43
saccharomyces_sp_boulardii_,KO01_05176,0.323496,0.999992,45
saccharomyces_eubayanus,DI49_5499,0.300222,0.999980,43
saccharomyces_kudriavzevii_ifo_1802,SKUD_165402,0.448317,0.999974,39
_candida_glabrata,CAGL0H08778g,0.202002,0.995369,37
kazachstania_naganishii_cbs_8797,KNAG_0F03490,0.070017,0.612793,33
kazachstania_africana_cbs_2517,KAFR_0B00740,0.454308,0.999850,36
naumovozyma_castellii_cbs_4309,NCAS_0A14790,0.518269,0.999850,36
naumovozyma_dairenensis_cbs_421,NDAI_0J00690,0.463319,0.999954,46
hanseniaspora_osmophila,AWRI3579_g3073,0.437451,0.999983,32
hanseniaspora_uvarum_dsm_2768,D499_0AF00380,0.998249,0.999993,33
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_35025,1.204266,0.999993,23
hanseniaspora_opuntiae,AWRI3578_g1220,0.823358,0.999983,32
candida_tropicalis_mya_3404,CTRG_06020,0.926601,0.999991,27
scheffersomyces_stipitis_cbs_6054,PICST_77995,0.716680,0.999850,36
debaryomyces_fabryi,AC631_01805,0.618264,0.999983,32
debaryomyces_hansenii_cbs767,DEHA2G24464g,0.794217,0.999991,31
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_178470,1.075990,0.999851,26
candida_orthopsilosis_co_90_125,CORT_0F00790,0.475458,0.999993,33
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_36760,0.472209,0.999927,40
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_62944,0.633652,0.999966,13
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0H04099g,0.430280,0.999850,36
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_140156,0.587018,0.999999,24
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_149120,0.518481,0.999981,35
candida_maltosa_xu316,G210_1587,0.955227,0.999851,26
clavispora_lusitaniae_atcc_42720,CLUG_01904,0.266430,0.999985,41
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_76305,0.112546,0.874172,36
candida_albicans_wo_1,CAWG_04632,NaN,NaN,NaN
_candida_auris,QG37_04521,0.191985,0.981759,32
ogataea_parapolymorpha_dl_1,HPODL_02653,0.377579,0.999927,40
candida_dubliniensis_cd36,CD36_52280,0.505140,0.999987,30
kuraishia_capsulata_cbs_1993,KUCA_T00002326001,0.128193,0.976471,47
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0G04098g,0.430280,0.999850,36
candida_parapsilosis_cdc317,CPAR2_100670,0.176306,0.975134,33
pichia_kudriavzevii,JL09_g4489,0.837286,0.999973,34
lodderomyces_elongisporus_nrrl_yb_4239,LELG_04156,0.165675,0.974761,36
komagataella_phaffii_cbs_7435,PP7435_CHR4-0191,0.337719,0.999850,36
ogataea_polymorpha,OGAPODRAFT_15334,0.399917,0.999974,37
meyerozyma_guilliermondii_atcc_6260,PGUG_03079,0.162798,0.984204,39
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_24907,1.233182,0.999372,10
wickerhamomyces_ciferrii,BN7_126,0.910489,0.999983,44
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_91705,0.694529,0.999994,42
cyberlindnera_jadinii,BN1211_3422,0.369529,0.999985,41
