aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.951144e-01,1,7.951144e-01,1,33,160,0
E,1,2.048856e-01,1,7.951144e-01,1,7,353,0
E,1,7.951144e-01,1,7.951144e-01,1,33,357,0
E,1,2.048856e-01,1,7.951144e-01,1,7,583,0
E,1,7.951144e-01,1,7.951144e-01,1,33,680,0
E,1,7.951144e-01,1,7.951144e-01,1,33,719,0
E,1,7.951144e-01,1,7.951144e-01,1,33,724,0
E,1,2.048856e-01,1,7.951144e-01,1,7,741,0
E,1,7.951144e-01,1,7.951144e-01,1,33,833,0
E,1,2.048856e-01,1,7.951144e-01,1,7,904,0
E,1,7.951144e-01,1,7.951144e-01,1,33,914,0
E,1,2.048856e-01,1,7.951144e-01,1,7,1049,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1108,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1132,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1196,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1281,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1345,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1395,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1409,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1422,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1423,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1509,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1612,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1713,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1733,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1761,0
E,1,2.048856e-01,1,7.951144e-01,1,7,1780,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1861,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1898,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2031,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2167,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2220,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2233,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2296,0
E,1,2.048856e-01,1,7.951144e-01,1,7,2300,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2371,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2468,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2996,0
E,1,7.951144e-01,1,7.951144e-01,1,33,3086,0
E,1,7.951144e-01,1,7.951144e-01,1,33,3122,0
E,2,3.258150e-01,1,6.322068e-01,1,27,21,1
E,2,6.322068e-01,1,6.322068e-01,1,50,61,1
E,2,6.322068e-01,1,6.322068e-01,1,50,94,1
E,2,6.322068e-01,1,6.322068e-01,1,50,114,1
E,2,6.322068e-01,1,6.322068e-01,1,50,126,1
E,2,3.258150e-01,1,6.322068e-01,1,27,132,1
E,2,6.322068e-01,1,6.322068e-01,1,50,159,1
E,2,3.258150e-01,1,6.322068e-01,1,27,235,1
E,2,6.322068e-01,1,6.322068e-01,1,50,300,1
E,2,6.322068e-01,1,6.322068e-01,1,50,521,1
E,2,6.322068e-01,1,6.322068e-01,1,50,559,1
E,2,3.258150e-01,1,6.322068e-01,1,27,621,1
E,2,6.322068e-01,1,6.322068e-01,1,50,649,1
E,2,6.322068e-01,1,6.322068e-01,1,50,722,1
E,2,6.322068e-01,1,6.322068e-01,1,50,731,1
E,2,3.258150e-01,1,6.322068e-01,1,27,732,1
E,2,6.322068e-01,1,6.322068e-01,1,50,819,1
E,2,3.258150e-01,1,6.322068e-01,1,27,827,1
E,2,3.258150e-01,1,6.322068e-01,1,27,837,1
E,2,3.258150e-01,1,6.322068e-01,1,27,838,1
E,2,6.322068e-01,1,6.322068e-01,1,50,851,1
E,2,6.322068e-01,1,6.322068e-01,1,50,895,1
E,2,6.322068e-01,1,6.322068e-01,1,50,936,1
E,2,3.258150e-01,1,6.322068e-01,1,27,969,1
E,2,6.322068e-01,1,6.322068e-01,1,50,974,1
E,2,6.322068e-01,1,6.322068e-01,1,50,995,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1004,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1039,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1053,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1142,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1173,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1218,1
E,2,3.258150e-01,1,6.322068e-01,1,27,1295,1
E,2,3.258150e-01,1,6.322068e-01,1,27,1337,1
E,2,3.258150e-01,1,6.322068e-01,1,27,1355,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1397,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1405,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1421,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1449,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1464,1
E,2,6.322068e-01,1,6.322068e-01,1,50,1466,1
E,2,3.258150e-01,1,6.322068e-01,1,27,1503,1
