aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,22,135,0
E,1,5.000000e-01,2,5.000000e-01,2,22,389,0
E,1,5.000000e-01,2,5.000000e-01,2,22,418,0
E,1,5.000000e-01,2,5.000000e-01,2,22,460,0
E,1,5.000000e-01,2,5.000000e-01,2,22,483,0
E,1,5.000000e-01,2,5.000000e-01,2,22,561,0
E,1,5.000000e-01,2,5.000000e-01,2,22,645,0
E,1,5.000000e-01,2,5.000000e-01,2,22,655,0
E,1,5.000000e-01,2,5.000000e-01,2,22,742,0
E,1,5.000000e-01,2,5.000000e-01,2,22,744,0
E,1,5.000000e-01,2,5.000000e-01,2,22,811,0
E,1,5.000000e-01,2,5.000000e-01,2,22,873,0
E,1,5.000000e-01,2,5.000000e-01,2,22,945,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1017,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1239,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1244,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1255,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1259,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1286,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1296,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1335,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1568,0
E,2,5.000000e-01,1,5.000000e-01,1,17,41,1
E,2,5.000000e-01,1,5.000000e-01,1,17,57,1
E,2,2.500000e-01,2,5.000000e-01,1,26,133,1
E,2,5.000000e-01,1,5.000000e-01,1,17,279,1
E,2,2.500000e-01,2,5.000000e-01,1,26,300,1
E,2,2.500000e-01,2,5.000000e-01,1,26,386,1
E,2,5.000000e-01,1,5.000000e-01,1,17,405,1
E,2,2.500000e-01,2,5.000000e-01,1,26,420,1
E,2,2.500000e-01,2,5.000000e-01,1,26,512,1
E,2,2.500000e-01,2,5.000000e-01,1,26,515,1
E,2,5.000000e-01,1,5.000000e-01,1,17,558,1
E,2,5.000000e-01,1,5.000000e-01,1,17,572,1
E,2,5.000000e-01,1,5.000000e-01,1,17,607,1
E,2,2.500000e-01,2,5.000000e-01,1,26,651,1
E,2,5.000000e-01,1,5.000000e-01,1,17,688,1
E,2,5.000000e-01,1,5.000000e-01,1,17,733,1
E,2,2.500000e-01,2,5.000000e-01,1,26,761,1
E,2,2.500000e-01,2,5.000000e-01,1,26,765,1
E,2,5.000000e-01,1,5.000000e-01,1,17,817,1
E,2,2.500000e-01,2,5.000000e-01,1,26,821,1
E,2,5.000000e-01,1,5.000000e-01,1,17,869,1
E,2,2.500000e-01,2,5.000000e-01,1,26,971,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1026,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1046,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1057,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1068,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1115,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1116,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1148,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1149,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1171,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1185,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1245,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1357,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1376,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1535,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1603,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1836,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1843,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1856,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1913,1
E,2,2.500000e-01,2,5.000000e-01,1,26,1950,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1958,1
E,3,3.750000e-01,2,3.750000e-01,2,39,43,1
E,3,3.750000e-01,2,3.750000e-01,2,39,48,1
E,3,3.750000e-01,2,3.750000e-01,2,39,132,1
E,3,1.250000e-01,2,3.750000e-01,2,8,134,1
E,3,3.750000e-01,2,3.750000e-01,2,39,157,1
E,3,3.750000e-01,2,3.750000e-01,2,39,446,1
E,3,1.250000e-01,2,3.750000e-01,2,8,504,1
E,3,3.750000e-01,2,3.750000e-01,2,39,546,1
E,3,3.750000e-01,2,3.750000e-01,2,39,549,1
E,3,3.750000e-01,2,3.750000e-01,2,39,619,1
E,3,3.750000e-01,2,3.750000e-01,2,39,646,1
E,3,3.750000e-01,2,3.750000e-01,2,39,652,1
E,3,3.750000e-01,2,3.750000e-01,2,39,687,1
E,3,3.750000e-01,2,3.750000e-01,2,39,705,1
E,3,1.250000e-01,2,3.750000e-01,2,8,721,1
E,3,3.750000e-01,2,3.750000e-01,2,39,786,1
E,3,3.750000e-01,2,3.750000e-01,2,39,802,1
E,3,3.750000e-01,2,3.750000e-01,2,39,818,1
