aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,3.602273e-01,1,6.397727e-01,1,4,79,1
E,1,6.397727e-01,1,6.397727e-01,1,6,133,1
E,1,6.397727e-01,1,6.397727e-01,1,6,195,1
E,1,3.602273e-01,1,6.397727e-01,1,4,248,1
E,1,6.397727e-01,1,6.397727e-01,1,6,298,1
E,1,3.602273e-01,1,6.397727e-01,1,4,417,1
E,1,3.602273e-01,1,6.397727e-01,1,4,644,1
E,1,6.397727e-01,1,6.397727e-01,1,6,786,1
E,1,6.397727e-01,1,6.397727e-01,1,6,807,1
E,1,6.397727e-01,1,6.397727e-01,1,6,817,1
E,2,4.093091e-01,1,4.609272e-01,1,6,1,0
E,2,4.093091e-01,1,4.609272e-01,1,6,115,0
E,2,4.093091e-01,1,4.609272e-01,1,6,232,0
E,2,4.609272e-01,1,4.609272e-01,1,3,341,0
E,2,1.297637e-01,1,4.609272e-01,1,1,407,0
E,2,4.093091e-01,1,4.609272e-01,1,6,439,0
E,2,4.093091e-01,1,4.609272e-01,1,6,443,0
E,2,4.093091e-01,1,4.609272e-01,1,6,460,0
E,2,4.609272e-01,1,4.609272e-01,1,3,482,0
E,2,4.609272e-01,1,4.609272e-01,1,3,832,0
E,3,4.423329e-01,1,4.423329e-01,1,6,77,1
E,3,2.618648e-01,1,4.423329e-01,1,4,99,1
E,3,4.423329e-01,1,4.423329e-01,1,6,118,1
E,3,2.490579e-01,1,4.423329e-01,1,3,160,1
E,3,4.674444e-02,1,4.423329e-01,1,1,162,1
E,3,2.618648e-01,1,4.423329e-01,1,4,175,1
E,3,4.423329e-01,1,4.423329e-01,1,6,231,1
E,3,4.423329e-01,1,4.423329e-01,1,6,266,1
E,3,2.490579e-01,1,4.423329e-01,1,3,302,1
E,3,2.618648e-01,1,4.423329e-01,1,4,319,1
E,3,2.490579e-01,1,4.423329e-01,1,3,344,1
E,3,4.423329e-01,1,4.423329e-01,1,6,562,1
E,3,4.423329e-01,1,4.423329e-01,1,6,799,1
E,3,2.618648e-01,1,4.423329e-01,1,4,849,1
E,4,1.675339e-01,1,3.773234e-01,1,5,6,0
E,4,3.773234e-01,1,3.773234e-01,1,3,84,0
E,4,1.675339e-01,1,3.773234e-01,1,5,114,0
E,4,1.675339e-01,1,3.773234e-01,1,5,218,0
E,4,3.773234e-01,1,3.773234e-01,1,3,325,0
E,4,1.196233e-01,1,3.773234e-01,1,1,358,0
E,4,1.675339e-01,1,3.773234e-01,1,5,449,0
E,4,3.773234e-01,1,3.773234e-01,1,3,451,0
E,4,3.186808e-01,1,3.773234e-01,1,4,507,0
E,4,3.186808e-01,1,3.773234e-01,1,4,512,0
E,4,3.186808e-01,1,3.773234e-01,1,4,517,0
E,4,3.186808e-01,1,3.773234e-01,1,4,666,0
