aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,8,294,0
E,1,5.000000e-01,2,5.000000e-01,2,8,576,0
E,1,5.000000e-01,2,5.000000e-01,2,8,642,0
E,1,5.000000e-01,2,5.000000e-01,2,8,676,0
E,1,5.000000e-01,2,5.000000e-01,2,8,726,0
E,1,5.000000e-01,2,5.000000e-01,2,8,759,0
E,1,5.000000e-01,2,5.000000e-01,2,8,775,0
E,1,5.000000e-01,2,5.000000e-01,2,8,1067,0
E,2,5.000000e-01,1,5.000000e-01,1,6,47,1
E,2,5.000000e-01,1,5.000000e-01,1,6,145,1
E,2,2.500000e-01,2,5.000000e-01,1,6,154,1
E,2,2.500000e-01,2,5.000000e-01,1,6,211,1
E,2,2.500000e-01,2,5.000000e-01,1,6,338,1
E,2,5.000000e-01,1,5.000000e-01,1,6,470,1
E,2,5.000000e-01,1,5.000000e-01,1,6,684,1
E,2,2.500000e-01,2,5.000000e-01,1,6,685,1
E,2,2.500000e-01,2,5.000000e-01,1,6,963,1
E,2,5.000000e-01,1,5.000000e-01,1,6,1001,1
E,2,5.000000e-01,1,5.000000e-01,1,6,1020,1
E,2,2.500000e-01,2,5.000000e-01,1,6,1068,1
E,3,3.750000e-01,2,3.750000e-01,2,19,12,1
E,3,3.750000e-01,2,3.750000e-01,2,19,58,1
E,3,3.750000e-01,2,3.750000e-01,2,19,84,1
E,3,3.750000e-01,2,3.750000e-01,2,19,125,1
E,3,1.250000e-01,2,3.750000e-01,2,4,160,1
E,3,3.750000e-01,2,3.750000e-01,2,19,172,1
E,3,3.750000e-01,2,3.750000e-01,2,19,263,1
E,3,1.250000e-01,2,3.750000e-01,2,4,339,1
E,3,3.750000e-01,2,3.750000e-01,2,19,344,1
E,3,3.750000e-01,2,3.750000e-01,2,19,399,1
E,3,3.750000e-01,2,3.750000e-01,2,19,438,1
E,3,1.250000e-01,2,3.750000e-01,2,4,595,1
E,3,3.750000e-01,2,3.750000e-01,2,19,613,1
E,3,1.250000e-01,2,3.750000e-01,2,4,673,1
E,3,3.750000e-01,2,3.750000e-01,2,19,724,1
E,3,3.750000e-01,2,3.750000e-01,2,19,757,1
E,3,3.750000e-01,2,3.750000e-01,2,19,769,1
E,3,3.750000e-01,2,3.750000e-01,2,19,839,1
E,3,3.750000e-01,2,3.750000e-01,2,19,876,1
E,3,3.750000e-01,2,3.750000e-01,2,19,988,1
E,3,3.750000e-01,2,3.750000e-01,2,19,990,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1000,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1082,1
E,4,3.750000e-01,1,3.750000e-01,1,12,22,2
E,4,2.500000e-01,2,3.750000e-01,1,19,38,2
E,4,6.250000e-02,2,3.750000e-01,1,3,59,2
E,4,2.500000e-01,2,3.750000e-01,1,19,60,2
E,4,2.500000e-01,2,3.750000e-01,1,19,144,2
E,4,2.500000e-01,2,3.750000e-01,1,19,164,2
E,4,3.750000e-01,1,3.750000e-01,1,12,187,2
E,4,2.500000e-01,2,3.750000e-01,1,19,225,2
E,4,3.750000e-01,1,3.750000e-01,1,12,231,2
E,4,2.500000e-01,2,3.750000e-01,1,19,247,2
E,4,3.750000e-01,1,3.750000e-01,1,12,290,2
E,4,6.250000e-02,2,3.750000e-01,1,3,315,2
E,4,2.500000e-01,2,3.750000e-01,1,19,343,2
E,4,3.750000e-01,1,3.750000e-01,1,12,406,2
E,4,3.750000e-01,1,3.750000e-01,1,12,429,2
E,4,3.750000e-01,1,3.750000e-01,1,12,431,2
E,4,2.500000e-01,2,3.750000e-01,1,19,478,2
E,4,2.500000e-01,2,3.750000e-01,1,19,578,2
E,4,2.500000e-01,2,3.750000e-01,1,19,661,2
E,4,6.250000e-02,2,3.750000e-01,1,3,689,2
E,4,2.500000e-01,2,3.750000e-01,1,19,753,2
E,4,2.500000e-01,2,3.750000e-01,1,19,755,2
E,4,2.500000e-01,2,3.750000e-01,1,19,770,2
E,4,2.500000e-01,2,3.750000e-01,1,19,916,2
E,4,3.750000e-01,1,3.750000e-01,1,12,921,2
E,4,2.500000e-01,2,3.750000e-01,1,19,966,2
E,4,2.500000e-01,2,3.750000e-01,1,19,1003,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1004,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1024,2
E,4,2.500000e-01,2,3.750000e-01,1,19,1025,2
E,4,2.500000e-01,2,3.750000e-01,1,19,1027,2
E,4,2.500000e-01,2,3.750000e-01,1,19,1059,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1084,2
E,4,3.750000e-01,1,3.750000e-01,1,12,1100,2
E,5,3.125000e-02,2,3.125000e-01,2,5,129,5
E,5,3.125000e-01,2,3.125000e-01,2,20,139,5
E,5,3.125000e-02,2,3.125000e-01,2,5,218,5
E,5,1.562500e-01,2,3.125000e-01,2,13,280,5
E,5,3.125000e-01,2,3.125000e-01,2,20,362,5
E,5,3.125000e-01,2,3.125000e-01,2,20,450,5
E,5,3.125000e-01,2,3.125000e-01,2,20,466,5
E,5,1.562500e-01,2,3.125000e-01,2,13,489,5
E,5,3.125000e-01,2,3.125000e-01,2,20,540,5
E,5,1.562500e-01,2,3.125000e-01,2,13,561,5
E,5,3.125000e-01,2,3.125000e-01,2,20,571,5
E,5,3.125000e-01,2,3.125000e-01,2,20,627,5
E,5,3.125000e-01,2,3.125000e-01,2,20,636,5
E,5,3.125000e-01,2,3.125000e-01,2,20,647,5
E,5,1.562500e-01,2,3.125000e-01,2,13,662,5
E,5,3.125000e-01,2,3.125000e-01,2,20,668,5
E,5,3.125000e-01,2,3.125000e-01,2,20,672,5
E,5,3.125000e-01,2,3.125000e-01,2,20,679,5
E,5,3.125000e-01,2,3.125000e-01,2,20,697,5
E,5,3.125000e-01,2,3.125000e-01,2,20,731,5
E,5,1.562500e-01,2,3.125000e-01,2,13,733,5
E,5,3.125000e-01,2,3.125000e-01,2,20,735,5
E,5,3.125000e-01,2,3.125000e-01,2,20,756,5
E,5,3.125000e-02,2,3.125000e-01,2,5,760,5
E,5,1.562500e-01,2,3.125000e-01,2,13,761,5
E,5,1.562500e-01,2,3.125000e-01,2,13,790,5
E,5,1.562500e-01,2,3.125000e-01,2,13,833,5
E,5,1.562500e-01,2,3.125000e-01,2,13,866,5
E,5,3.125000e-02,2,3.125000e-01,2,5,894,5
E,5,1.562500e-01,2,3.125000e-01,2,13,897,5
E,5,3.125000e-01,2,3.125000e-01,2,20,945,5
E,5,1.562500e-01,2,3.125000e-01,2,13,975,5
E,5,3.125000e-02,2,3.125000e-01,2,5,987,5
E,5,1.562500e-01,2,3.125000e-01,2,13,1013,5
E,5,3.125000e-01,2,3.125000e-01,2,20,1042,5
E,5,1.562500e-01,2,3.125000e-01,2,13,1044,5
E,5,3.125000e-01,2,3.125000e-01,2,20,1077,5
E,5,3.125000e-01,2,3.125000e-01,2,20,1085,5
E,6,3.125000e-01,1,3.125000e-01,1,15,24,3
E,6,9.375000e-02,2,3.125000e-01,1,4,26,3
E,6,9.375000e-02,2,3.125000e-01,1,4,67,3
E,6,2.343750e-01,2,3.125000e-01,1,14,162,3
E,6,2.343750e-01,2,3.125000e-01,1,14,185,3
E,6,3.125000e-01,1,3.125000e-01,1,15,227,3
E,6,3.125000e-01,1,3.125000e-01,1,15,292,3
E,6,3.125000e-01,1,3.125000e-01,1,15,347,3
E,6,3.125000e-01,1,3.125000e-01,1,15,411,3
E,6,2.343750e-01,2,3.125000e-01,1,14,427,3
E,6,3.125000e-01,1,3.125000e-01,1,15,430,3
E,6,2.343750e-01,2,3.125000e-01,1,14,437,3
E,6,9.375000e-02,2,3.125000e-01,1,4,589,3
E,6,3.125000e-01,1,3.125000e-01,1,15,630,3
E,6,2.343750e-01,2,3.125000e-01,1,14,670,3
E,6,2.343750e-01,2,3.125000e-01,1,14,687,3
E,6,2.343750e-01,2,3.125000e-01,1,14,744,3
E,6,2.343750e-01,2,3.125000e-01,1,14,754,3
E,6,2.343750e-01,2,3.125000e-01,1,14,786,3
E,6,2.343750e-01,2,3.125000e-01,1,14,831,3
E,6,9.375000e-02,2,3.125000e-01,1,4,837,3
E,6,2.343750e-01,2,3.125000e-01,1,14,838,3
E,6,3.125000e-01,1,3.125000e-01,1,15,846,3
E,6,2.343750e-01,2,3.125000e-01,1,14,950,3
E,6,3.125000e-01,1,3.125000e-01,1,15,956,3
E,6,3.125000e-01,1,3.125000e-01,1,15,972,3
E,6,3.125000e-01,1,3.125000e-01,1,15,974,3
E,6,2.343750e-01,2,3.125000e-01,1,14,984,3
E,6,3.125000e-01,1,3.125000e-01,1,15,1056,3
E,6,3.125000e-01,1,3.125000e-01,1,15,1080,3
E,6,2.343750e-01,2,3.125000e-01,1,14,1083,3
E,6,3.125000e-01,1,3.125000e-01,1,15,1096,3
E,6,3.125000e-01,1,3.125000e-01,1,15,1097,3
E,7,1.640625e-01,2,2.734375e-01,2,12,6,5
E,7,2.734375e-01,2,2.734375e-01,2,27,25,5
E,7,5.468750e-02,2,2.734375e-01,2,6,50,5
E,7,1.640625e-01,2,2.734375e-01,2,12,63,5
E,7,2.734375e-01,2,2.734375e-01,2,27,79,5
E,7,1.640625e-01,2,2.734375e-01,2,12,148,5
E,7,2.734375e-01,2,2.734375e-01,2,27,156,5
E,7,2.734375e-01,2,2.734375e-01,2,27,167,5
E,7,2.734375e-01,2,2.734375e-01,2,27,169,5
E,7,2.734375e-01,2,2.734375e-01,2,27,170,5
E,7,2.734375e-01,2,2.734375e-01,2,27,174,5
E,7,1.640625e-01,2,2.734375e-01,2,12,206,5
E,7,5.468750e-02,2,2.734375e-01,2,6,291,5
E,7,2.734375e-01,2,2.734375e-01,2,27,293,5
E,7,5.468750e-02,2,2.734375e-01,2,6,295,5
E,7,2.734375e-01,2,2.734375e-01,2,27,303,5
E,7,5.468750e-02,2,2.734375e-01,2,6,304,5
E,7,2.734375e-01,2,2.734375e-01,2,27,305,5
E,7,1.640625e-01,2,2.734375e-01,2,12,318,5
E,7,2.734375e-01,2,2.734375e-01,2,27,337,5
E,7,1.640625e-01,2,2.734375e-01,2,12,341,5
E,7,2.734375e-01,2,2.734375e-01,2,27,392,5
E,7,2.734375e-01,2,2.734375e-01,2,27,398,5
E,7,2.734375e-01,2,2.734375e-01,2,27,444,5
E,7,1.640625e-01,2,2.734375e-01,2,12,446,5
E,7,2.734375e-01,2,2.734375e-01,2,27,453,5
E,7,2.734375e-01,2,2.734375e-01,2,27,539,5
E,7,2.734375e-01,2,2.734375e-01,2,27,553,5
E,7,1.640625e-01,2,2.734375e-01,2,12,635,5
E,7,5.468750e-02,2,2.734375e-01,2,6,663,5
E,7,2.734375e-01,2,2.734375e-01,2,27,674,5
E,7,2.734375e-01,2,2.734375e-01,2,27,677,5
E,7,5.468750e-02,2,2.734375e-01,2,6,734,5
E,7,2.734375e-01,2,2.734375e-01,2,27,758,5
E,7,2.734375e-01,2,2.734375e-01,2,27,765,5
E,7,2.734375e-01,2,2.734375e-01,2,27,789,5
E,7,2.734375e-01,2,2.734375e-01,2,27,826,5
E,7,2.734375e-01,2,2.734375e-01,2,27,830,5
E,7,2.734375e-01,2,2.734375e-01,2,27,834,5
E,7,1.640625e-01,2,2.734375e-01,2,12,848,5
E,7,2.734375e-01,2,2.734375e-01,2,27,871,5
E,7,1.640625e-01,2,2.734375e-01,2,12,947,5
E,7,1.640625e-01,2,2.734375e-01,2,12,1010,5
E,7,1.640625e-01,2,2.734375e-01,2,12,1060,5
E,7,2.734375e-01,2,2.734375e-01,2,27,1074,5
E,8,2.187500e-01,2,2.734375e-01,1,28,7,3
E,8,2.187500e-01,2,2.734375e-01,1,28,20,3
E,8,3.125000e-02,2,2.734375e-01,1,3,28,3
E,8,2.187500e-01,2,2.734375e-01,1,28,31,3
E,8,2.187500e-01,2,2.734375e-01,1,28,33,3
E,8,2.187500e-01,2,2.734375e-01,1,28,62,3
E,8,2.187500e-01,2,2.734375e-01,1,28,73,3
E,8,1.093750e-01,2,2.734375e-01,1,7,85,3
E,8,2.187500e-01,2,2.734375e-01,1,28,143,3
E,8,2.187500e-01,2,2.734375e-01,1,28,146,3
E,8,1.093750e-01,2,2.734375e-01,1,7,157,3
E,8,2.187500e-01,2,2.734375e-01,1,28,165,3
E,8,2.187500e-01,2,2.734375e-01,1,28,175,3
E,8,1.093750e-01,2,2.734375e-01,1,7,176,3
E,8,3.125000e-02,2,2.734375e-01,1,3,198,3
E,8,2.187500e-01,2,2.734375e-01,1,28,209,3
E,8,2.734375e-01,1,2.734375e-01,1,11,213,3
E,8,2.734375e-01,1,2.734375e-01,1,11,245,3
E,8,1.093750e-01,2,2.734375e-01,1,7,300,3
