aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,13,27,0
E,1,5.000000e-01,2,5.000000e-01,2,13,37,0
E,1,5.000000e-01,2,5.000000e-01,2,13,184,0
E,1,5.000000e-01,2,5.000000e-01,2,13,225,0
E,1,5.000000e-01,2,5.000000e-01,2,13,281,0
E,1,5.000000e-01,2,5.000000e-01,2,13,331,0
E,1,5.000000e-01,2,5.000000e-01,2,13,402,0
E,1,5.000000e-01,2,5.000000e-01,2,13,403,0
E,1,5.000000e-01,2,5.000000e-01,2,13,438,0
E,1,5.000000e-01,2,5.000000e-01,2,13,469,0
E,1,5.000000e-01,2,5.000000e-01,2,13,524,0
E,1,5.000000e-01,2,5.000000e-01,2,13,556,0
E,1,5.000000e-01,2,5.000000e-01,2,13,564,1
E,2,2.500000e-01,2,5.000000e-01,1,9,22,0
E,2,2.500000e-01,2,5.000000e-01,1,9,106,0
E,2,2.500000e-01,2,5.000000e-01,1,9,224,0
E,2,2.500000e-01,2,5.000000e-01,1,9,266,0
E,2,2.500000e-01,2,5.000000e-01,1,9,441,0
E,2,5.000000e-01,1,5.000000e-01,1,1,464,1
E,2,2.500000e-01,2,5.000000e-01,1,9,525,0
E,2,2.500000e-01,2,5.000000e-01,1,9,567,0
E,2,2.500000e-01,2,5.000000e-01,1,9,568,0
E,2,2.500000e-01,2,5.000000e-01,1,9,571,0
E,3,1.250000e-01,2,3.750000e-01,2,8,133,0
E,3,1.250000e-01,2,3.750000e-01,2,8,172,0
E,3,1.250000e-01,2,3.750000e-01,2,8,176,0
E,3,3.750000e-01,2,3.750000e-01,2,5,267,1
E,3,3.750000e-01,2,3.750000e-01,2,5,310,1
E,3,1.250000e-01,2,3.750000e-01,2,8,344,0
E,3,3.750000e-01,2,3.750000e-01,2,5,360,1
E,3,1.250000e-01,2,3.750000e-01,2,8,400,0
E,3,1.250000e-01,2,3.750000e-01,2,8,419,0
E,3,3.750000e-01,2,3.750000e-01,2,5,459,2
E,3,1.250000e-01,2,3.750000e-01,2,8,491,0
E,3,1.250000e-01,2,3.750000e-01,2,8,513,0
E,3,3.750000e-01,2,3.750000e-01,2,5,522,1
E,4,2.500000e-01,2,3.750000e-01,1,4,42,1
E,4,2.500000e-01,2,3.750000e-01,1,4,71,1
E,4,6.250000e-02,2,3.750000e-01,1,8,138,0
E,4,2.500000e-01,2,3.750000e-01,1,4,214,1
E,4,6.250000e-02,2,3.750000e-01,1,8,247,0
E,4,6.250000e-02,2,3.750000e-01,1,8,349,0
E,4,6.250000e-02,2,3.750000e-01,1,8,358,0
E,4,6.250000e-02,2,3.750000e-01,1,8,405,0
E,4,2.500000e-01,2,3.750000e-01,1,4,447,1
E,4,6.250000e-02,2,3.750000e-01,1,8,450,0
E,4,6.250000e-02,2,3.750000e-01,1,8,452,0
E,4,6.250000e-02,2,3.750000e-01,1,8,455,0
E,5,3.125000e-02,2,3.125000e-01,2,16,38,0
E,5,3.125000e-02,2,3.125000e-01,2,16,69,0
E,5,1.562500e-01,2,3.125000e-01,2,3,125,1
E,5,1.562500e-01,2,3.125000e-01,2,3,128,1
E,5,3.125000e-01,2,3.125000e-01,2,3,139,2
E,5,3.125000e-02,2,3.125000e-01,2,16,141,0
E,5,3.125000e-02,2,3.125000e-01,2,16,148,0
E,5,1.562500e-01,2,3.125000e-01,2,3,167,1
E,5,3.125000e-02,2,3.125000e-01,2,16,190,0
E,5,3.125000e-02,2,3.125000e-01,2,16,198,0
E,5,3.125000e-02,2,3.125000e-01,2,16,233,0
E,5,3.125000e-01,2,3.125000e-01,2,3,304,2
E,5,3.125000e-02,2,3.125000e-01,2,16,330,0
E,5,3.125000e-02,2,3.125000e-01,2,16,372,0
E,5,3.125000e-02,2,3.125000e-01,2,16,396,0
E,5,3.125000e-01,2,3.125000e-01,2,3,404,2
E,5,3.125000e-02,2,3.125000e-01,2,16,429,0
E,5,3.125000e-02,2,3.125000e-01,2,16,489,0
E,5,3.125000e-02,2,3.125000e-01,2,16,501,0
E,5,3.125000e-02,2,3.125000e-01,2,16,503,0
E,5,3.125000e-02,2,3.125000e-01,2,16,521,0
E,5,3.125000e-02,2,3.125000e-01,2,16,553,0
E,6,1.562500e-02,2,3.125000e-01,1,6,1,0
E,6,1.562500e-02,2,3.125000e-01,1,6,16,0
E,6,9.375000e-02,2,3.125000e-01,1,12,31,1
E,6,1.562500e-02,2,3.125000e-01,1,6,78,0
E,6,1.562500e-02,2,3.125000e-01,1,6,95,0
E,6,9.375000e-02,2,3.125000e-01,1,12,134,1
E,6,9.375000e-02,2,3.125000e-01,1,12,154,1
E,6,9.375000e-02,2,3.125000e-01,1,12,208,1
E,6,9.375000e-02,2,3.125000e-01,1,12,238,1
E,6,2.343750e-01,2,3.125000e-01,1,3,250,2
E,6,9.375000e-02,2,3.125000e-01,1,12,302,1
E,6,9.375000e-02,2,3.125000e-01,1,12,373,1
E,6,9.375000e-02,2,3.125000e-01,1,12,423,1
E,6,1.562500e-02,2,3.125000e-01,1,6,434,0
E,6,2.343750e-01,2,3.125000e-01,1,3,435,2
E,6,1.562500e-02,2,3.125000e-01,1,6,436,0
E,6,9.375000e-02,2,3.125000e-01,1,12,472,1
E,6,9.375000e-02,2,3.125000e-01,1,12,492,1
E,6,2.343750e-01,2,3.125000e-01,1,3,510,2
E,6,9.375000e-02,2,3.125000e-01,1,12,533,1
E,6,9.375000e-02,2,3.125000e-01,1,12,549,1
E,7,5.468750e-02,2,2.734375e-01,2,3,94,1
E,7,7.812500e-03,2,2.734375e-01,2,11,199,0
E,7,7.812500e-03,2,2.734375e-01,2,11,200,0
E,7,7.812500e-03,2,2.734375e-01,2,11,210,0
E,7,7.812500e-03,2,2.734375e-01,2,11,257,0
E,7,5.468750e-02,2,2.734375e-01,2,3,336,1
E,7,5.468750e-02,2,2.734375e-01,2,3,355,1
E,7,7.812500e-03,2,2.734375e-01,2,11,364,0
E,7,7.812500e-03,2,2.734375e-01,2,11,370,0
E,7,7.812500e-03,2,2.734375e-01,2,11,377,0
E,7,7.812500e-03,2,2.734375e-01,2,11,394,0
E,7,7.812500e-03,2,2.734375e-01,2,11,449,0
E,7,7.812500e-03,2,2.734375e-01,2,11,507,0
E,7,7.812500e-03,2,2.734375e-01,2,11,550,0
E,8,1.093750e-01,2,2.734375e-01,1,5,32,2
E,8,3.125000e-02,2,2.734375e-01,1,8,58,1
E,8,3.125000e-02,2,2.734375e-01,1,8,75,1
E,8,1.093750e-01,2,2.734375e-01,1,5,84,2
E,8,3.125000e-02,2,2.734375e-01,1,8,163,1
E,8,3.125000e-02,2,2.734375e-01,1,8,168,1
E,8,3.906250e-03,2,2.734375e-01,1,11,173,0
E,8,3.906250e-03,2,2.734375e-01,1,11,177,0
E,8,3.125000e-02,2,2.734375e-01,1,8,182,1
E,8,3.906250e-03,2,2.734375e-01,1,11,227,0
E,8,2.187500e-01,2,2.734375e-01,1,1,231,3
E,8,1.093750e-01,2,2.734375e-01,1,5,248,2
E,8,1.093750e-01,2,2.734375e-01,1,5,273,2
E,8,3.125000e-02,2,2.734375e-01,1,8,294,1
E,8,3.906250e-03,2,2.734375e-01,1,11,384,0
E,8,3.906250e-03,2,2.734375e-01,1,11,424,0
E,8,3.125000e-02,2,2.734375e-01,1,8,427,1
E,8,3.906250e-03,2,2.734375e-01,1,11,437,0
