species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_05185,0.071497,0.998192,61
saccharomyces_eubayanus,DI49_5509,0.051047,0.987616,50
_candida_glabrata,CAGL0D01672g,0.089606,0.998641,45
kazachstania_africana_cbs_2517,KAFR_0H01030,0.110307,0.998641,45
naumovozyma_dairenensis_cbs_421,NDAI_0A05270,0.390426,0.999683,36
kazachstania_naganishii_cbs_8797,KNAG_0H00780,0.021406,0.890108,48
naumovozyma_castellii_cbs_4309,NCAS_0A11030,0.193739,0.999757,41
zygosaccharomyces_bailii_isa1307,ZBAI_05527,0.140526,0.998633,42
zygosaccharomyces_rouxii,ZYRO0C15906g,0.066070,0.991559,44
torulaspora_delbrueckii,TDEL_0C04820,0.017835,0.857763,47
zygosaccharomyces_bailii_isa1307,ZBAI_00375,0.092504,0.998633,42
tetrapisispora_blattae_cbs_6284,TBLA_0A06650,0.205503,0.999573,48
tetrapisispora_phaffii_cbs_4417,TPHA_0M01510,0.324850,0.999916,35
vanderwaltozyma_polyspora_dsm_70294,Kpol_376p6,0.225205,0.999656,46
tetrapisispora_blattae_cbs_6284,TBLA_0B02520,0.280431,0.999566,43
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADL317C,0.014001,0.789846,41
ashbya_gossypii,AGOS_ADL317C,0.012738,0.778756,43
eremothecium_cymbalariae_dbvpg_7215,Ecym_3486,0.067609,0.987538,38
eremothecium_sinecaudum,AW171_hschr2262,0.004435,0.559577,42
kluyveromyces_marxianus_dmku3_1042,KLMA_20081,0.187283,0.999318,40
kluyveromyces_lactis,KLLA0_E11419g,0.095506,0.999656,46
lachancea_lanzarotensis,LALA0_S09e03840g,0.026831,0.922783,47
lachancea_thermotolerans_cbs_6340,KLTH0E15048g,0.021742,0.857948,38
hanseniaspora_osmophila,AWRI3579_g2159,0.100885,0.998736,47
komagataella_phaffii_cbs_7435,PP7435_CHR2-1268,-0.000000,0.125371,40
cyberlindnera_jadinii,BN1211_1939,0.009998,0.721080,42
wickerhamomyces_ciferrii,BN7_4986,0.560876,0.998641,45
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_20420,0.040394,0.957860,42
komagataella_pastoris,PAS_chr2-1_0039,-0.000000,0.244771,41
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_15875,0.327152,0.999876,27
candida_maltosa_xu316,G210_4066,0.349711,0.998057,39
kuraishia_capsulata_cbs_1993,KUCA_T00001510001,-0.000000,0.244771,41
candida_dubliniensis_cd36,CD36_60730,0.215580,0.998057,39
scheffersomyces_stipitis_cbs_6054,PICST_60298,0.146687,0.999566,43
debaryomyces_hansenii_cbs767,DEHA2F15136g,0.071235,0.994490,45
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_157214,0.115101,0.998633,42
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0J10129g,0.001220,0.364361,40
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_44434,0.055103,0.984989,45
meyerozyma_guilliermondii_atcc_6260,PGUG_03812,0.019733,0.883698,50
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0I08302g,0.027935,0.912812,42
_candida_tenuis_atcc_10573,CANTEDRAFT_93698,-0.000000,0.135834,34
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_159550,0.117511,0.996366,50
candida_tropicalis_mya_3404,CTRG_02940,0.215580,0.998057,39
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_80055,-0.000000,0.122386,42
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_160077,0.339312,0.999656,46
clavispora_lusitaniae_atcc_42720,CLUG_03698,0.075417,0.989542,36
candida_parapsilosis_cdc317,CPAR2_602980,0.182609,0.999780,49
lodderomyces_elongisporus_nrrl_yb_4239,LELG_04703,0.117511,0.996366,50
debaryomyces_fabryi,AC631_00951,0.023301,0.897229,46
candida_orthopsilosis_co_90_125,CORT_0F03950,0.116406,0.999656,46
pichia_kudriavzevii,JL09_g2987,0.005853,0.519638,18
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_196758,0.366333,0.998633,42
ogataea_parapolymorpha_dl_1,HPODL_03660,-0.000000,0.229133,47
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_72344,0.014041,0.833265,53
pichia_kudriavzevii,JL09_g2988,0.075417,0.989542,36
brettanomyces_bruxellensis_awri1499,AWRI1499_4535,0.004885,0.571299,40
ogataea_polymorpha,OGAPODRAFT_16432,0.122254,0.979409,16
geotrichum_candidum,BN980_GECA06s03123g,0.014871,0.817106,46
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_55787,-0.000000,0.114567,48
yarrowia_lipolytica,YALI0_E33759g,0.193594,0.999889,51
sugiyamaella_lignohabitans,AWJ20_406,-0.000000,0.220232,51
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_163,-0.000000,0.750000,3
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_95377,0.002325,0.467516,41
drechslerella_stenobrocha_248,DRE_05191,0.145332,0.998736,47
arthrobotrys_oligospora_atcc_24927,AOL_s00215g709,0.013665,0.808077,48
pyronema_omphalodes_cbs_100304,PCON_04014,0.005328,0.619280,47
tuber_melanosporum,GSTUM_00004290001,-0.000000,0.128585,38
dactylellina_haptotyla_cbs_200_50,H072_7192,0.029639,0.948935,53
