aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.125083e-01,1,8.125083e-01,1,6,135,0
E,1,8.125083e-01,1,8.125083e-01,1,6,348,0
E,1,1.874917e-01,1,8.125083e-01,1,2,500,0
E,1,8.125083e-01,1,8.125083e-01,1,6,761,0
E,1,1.874917e-01,1,8.125083e-01,1,2,1110,0
E,1,8.125083e-01,1,8.125083e-01,1,6,1232,0
E,1,8.125083e-01,1,8.125083e-01,1,6,1272,0
E,1,8.125083e-01,1,8.125083e-01,1,6,1376,0
E,2,6.601697e-01,1,6.601697e-01,1,7,82,0
E,2,6.601697e-01,1,6.601697e-01,1,7,142,0
E,2,6.601697e-01,1,6.601697e-01,1,7,333,0
E,2,6.601697e-01,1,6.601697e-01,1,7,374,0
E,2,6.601697e-01,1,6.601697e-01,1,7,473,0
E,2,6.601697e-01,1,6.601697e-01,1,7,532,0
E,2,3.046772e-01,1,6.601697e-01,1,1,732,0
E,2,6.601697e-01,1,6.601697e-01,1,7,1442,0
E,3,5.363933e-01,1,5.363933e-01,1,14,525,0
E,3,5.363933e-01,1,5.363933e-01,1,14,705,0
E,3,5.363933e-01,1,5.363933e-01,1,14,750,0
E,3,5.363933e-01,1,5.363933e-01,1,14,798,0
E,3,5.363933e-01,1,5.363933e-01,1,14,828,0
E,3,8.568667e-02,1,5.363933e-01,1,1,873,0
E,3,5.363933e-01,1,5.363933e-01,1,14,882,0
E,3,5.363933e-01,1,5.363933e-01,1,14,884,0
E,3,3.713291e-01,1,5.363933e-01,1,4,889,0
E,3,5.363933e-01,1,5.363933e-01,1,14,898,0
E,3,5.363933e-01,1,5.363933e-01,1,14,990,0
E,3,5.363933e-01,1,5.363933e-01,1,14,1141,0
E,3,3.713291e-01,1,5.363933e-01,1,4,1187,0
E,3,5.363933e-01,1,5.363933e-01,1,14,1209,0
E,3,5.363933e-01,1,5.363933e-01,1,14,1218,0
E,3,3.713291e-01,1,5.363933e-01,1,4,1296,0
E,3,5.363933e-01,1,5.363933e-01,1,14,1323,0
E,3,5.363933e-01,1,5.363933e-01,1,14,1333,0
E,3,3.713291e-01,1,5.363933e-01,1,4,1452,0
E,4,4.358240e-01,1,4.358240e-01,1,12,7,0
E,4,4.022773e-01,1,4.358240e-01,1,3,92,0
E,4,4.358240e-01,1,4.358240e-01,1,12,140,0
E,4,1.392423e-01,1,4.358240e-01,1,4,187,0
E,4,4.358240e-01,1,4.358240e-01,1,12,476,0
E,4,4.358240e-01,1,4.358240e-01,1,12,478,0
E,4,4.358240e-01,1,4.358240e-01,1,12,522,0
E,4,4.358240e-01,1,4.358240e-01,1,12,523,0
E,4,1.392423e-01,1,4.358240e-01,1,4,592,0
E,4,4.358240e-01,1,4.358240e-01,1,12,763,0
E,4,1.392423e-01,1,4.358240e-01,1,4,786,0
E,4,1.392423e-01,1,4.358240e-01,1,4,792,0
E,4,4.358240e-01,1,4.358240e-01,1,12,861,0
E,4,4.358240e-01,1,4.358240e-01,1,12,906,0
E,4,4.358240e-01,1,4.358240e-01,1,12,1088,0
E,4,4.358240e-01,1,4.358240e-01,1,12,1184,0
E,4,4.022773e-01,1,4.358240e-01,1,3,1255,0
E,4,4.022773e-01,1,4.358240e-01,1,3,1298,0
E,4,4.358240e-01,1,4.358240e-01,1,12,1404,0
E,5,4.085670e-01,1,4.085670e-01,1,5,169,1
E,5,4.085670e-01,1,4.085670e-01,1,5,524,1
E,5,3.541106e-01,1,4.085670e-01,1,4,555,1
E,5,4.351129e-02,1,4.085670e-01,1,1,574,1
E,5,1.885592e-01,1,4.085670e-01,1,5,679,1
E,5,1.885592e-01,1,4.085670e-01,1,5,685,1
E,5,1.885592e-01,1,4.085670e-01,1,5,741,1
E,5,3.541106e-01,1,4.085670e-01,1,4,858,1
E,5,3.541106e-01,1,4.085670e-01,1,4,859,1
E,5,1.885592e-01,1,4.085670e-01,1,5,890,1
E,5,4.085670e-01,1,4.085670e-01,1,5,989,1
E,5,1.885592e-01,1,4.085670e-01,1,5,1029,1
E,5,3.541106e-01,1,4.085670e-01,1,4,1109,1
E,5,4.085670e-01,1,4.085670e-01,1,5,1413,1
E,5,4.085670e-01,1,4.085670e-01,1,5,1455,1
E,6,2.298088e-01,1,3.983569e-01,1,9,10,2
E,6,2.298088e-01,1,3.983569e-01,1,9,79,2
E,6,2.877178e-01,1,3.983569e-01,1,8,93,2
E,6,7.070656e-02,1,3.983569e-01,1,4,168,2
E,6,3.983569e-01,1,3.983569e-01,1,5,235,2
E,6,2.298088e-01,1,3.983569e-01,1,9,317,2
E,6,2.298088e-01,1,3.983569e-01,1,9,347,2
E,6,3.983569e-01,1,3.983569e-01,1,5,455,2
E,6,2.298088e-01,1,3.983569e-01,1,9,531,2
E,6,2.877178e-01,1,3.983569e-01,1,8,537,2
E,6,3.983569e-01,1,3.983569e-01,1,5,658,2
E,6,2.877178e-01,1,3.983569e-01,1,8,688,2
E,6,7.070656e-02,1,3.983569e-01,1,4,755,2
E,6,3.983569e-01,1,3.983569e-01,1,5,778,2
