aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.810474e-01,1,5.189526e-01,1,25,67,1
E,1,4.810474e-01,1,5.189526e-01,1,25,172,1
E,1,5.189526e-01,1,5.189526e-01,1,31,201,0
E,1,4.810474e-01,1,5.189526e-01,1,25,274,1
E,1,5.189526e-01,1,5.189526e-01,1,31,480,0
E,1,5.189526e-01,1,5.189526e-01,1,31,535,0
E,1,4.810474e-01,1,5.189526e-01,1,25,536,1
E,1,5.189526e-01,1,5.189526e-01,1,31,641,0
E,1,5.189526e-01,1,5.189526e-01,1,31,700,0
E,1,4.810474e-01,1,5.189526e-01,1,25,827,1
E,1,5.189526e-01,1,5.189526e-01,1,31,855,0
E,1,4.810474e-01,1,5.189526e-01,1,25,856,1
E,1,5.189526e-01,1,5.189526e-01,1,31,1070,0
E,1,4.810474e-01,1,5.189526e-01,1,25,1188,1
E,1,4.810474e-01,1,5.189526e-01,1,25,1201,1
E,1,4.810474e-01,1,5.189526e-01,1,25,1211,1
E,1,4.810474e-01,1,5.189526e-01,1,25,1231,1
E,1,4.810474e-01,1,5.189526e-01,1,25,1233,1
E,1,5.189526e-01,1,5.189526e-01,1,31,1264,0
E,1,5.189526e-01,1,5.189526e-01,1,31,1278,0
E,1,5.189526e-01,1,5.189526e-01,1,31,1424,0
E,1,5.189526e-01,1,5.189526e-01,1,31,1434,0
E,1,5.189526e-01,1,5.189526e-01,1,31,1486,0
E,1,5.189526e-01,1,5.189526e-01,1,31,1524,0
E,1,4.810474e-01,1,5.189526e-01,1,25,1536,1
E,1,5.189526e-01,1,5.189526e-01,1,31,1588,0
E,1,5.189526e-01,1,5.189526e-01,1,31,1589,0
E,1,5.189526e-01,1,5.189526e-01,1,31,1766,0
E,1,4.810474e-01,1,5.189526e-01,1,25,1846,1
E,1,4.810474e-01,1,5.189526e-01,1,25,1927,1
E,1,5.189526e-01,1,5.189526e-01,1,31,1947,0
E,1,4.810474e-01,1,5.189526e-01,1,25,2158,1
E,1,5.189526e-01,1,5.189526e-01,1,31,2230,0
E,1,5.189526e-01,1,5.189526e-01,1,31,2253,0
E,1,4.810474e-01,1,5.189526e-01,1,25,2256,1
E,1,4.810474e-01,1,5.189526e-01,1,25,2322,1
E,1,4.810474e-01,1,5.189526e-01,1,25,2353,1
E,1,5.189526e-01,1,5.189526e-01,1,31,2355,0
E,1,5.189526e-01,1,5.189526e-01,1,31,2378,0
E,1,4.810474e-01,1,5.189526e-01,1,25,2379,1
E,1,4.810474e-01,1,5.189526e-01,1,25,2393,1
E,1,5.189526e-01,1,5.189526e-01,1,31,2394,0
E,1,4.810474e-01,1,5.189526e-01,1,25,2509,1
E,1,4.810474e-01,1,5.189526e-01,1,25,2670,1
E,1,5.189526e-01,1,5.189526e-01,1,31,2692,0
E,1,4.810474e-01,1,5.189526e-01,1,25,2848,1
E,1,5.189526e-01,1,5.189526e-01,1,31,2923,0
E,1,5.189526e-01,1,5.189526e-01,1,31,2953,0
E,1,5.189526e-01,1,5.189526e-01,1,31,2970,0
E,1,5.189526e-01,1,5.189526e-01,1,31,2992,0
E,1,5.189526e-01,1,5.189526e-01,1,31,2996,0
E,1,4.810474e-01,1,5.189526e-01,1,25,2999,1
E,1,5.189526e-01,1,5.189526e-01,1,31,3043,0
E,1,5.189526e-01,1,5.189526e-01,1,31,3197,0
E,1,5.189526e-01,1,5.189526e-01,1,31,3281,0
E,1,4.810474e-01,1,5.189526e-01,1,25,3452,1
E,2,2.693118e-01,1,4.992816e-01,1,17,3,0
E,2,2.693118e-01,1,4.992816e-01,1,17,109,0
E,2,2.314066e-01,1,4.992816e-01,1,15,314,2
E,2,4.992816e-01,1,4.992816e-01,1,46,333,1
E,2,2.693118e-01,1,4.992816e-01,1,17,351,0
E,2,4.992816e-01,1,4.992816e-01,1,46,367,1
E,2,4.992816e-01,1,4.992816e-01,1,46,418,1
E,2,4.992816e-01,1,4.992816e-01,1,46,533,1
E,2,4.992816e-01,1,4.992816e-01,1,46,576,1
E,2,4.992816e-01,1,4.992816e-01,1,46,744,1
E,2,2.314066e-01,1,4.992816e-01,1,15,775,2
E,2,2.693118e-01,1,4.992816e-01,1,17,800,0
E,2,2.693118e-01,1,4.992816e-01,1,17,807,0
E,2,4.992816e-01,1,4.992816e-01,1,46,889,1
E,2,4.992816e-01,1,4.992816e-01,1,46,933,1
E,2,2.314066e-01,1,4.992816e-01,1,15,955,2
E,2,4.992816e-01,1,4.992816e-01,1,46,977,1
E,2,2.314066e-01,1,4.992816e-01,1,15,1062,2
E,2,2.314066e-01,1,4.992816e-01,1,15,1146,2
E,2,4.992816e-01,1,4.992816e-01,1,46,1195,1
E,2,2.314066e-01,1,4.992816e-01,1,15,1197,2
E,2,4.992816e-01,1,4.992816e-01,1,46,1230,1
E,2,2.693118e-01,1,4.992816e-01,1,17,1237,0
E,2,4.992816e-01,1,4.992816e-01,1,46,1270,1
