aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,7,14,1
E,1,5.000000e-01,2,5.000000e-01,2,7,123,1
E,1,5.000000e-01,2,5.000000e-01,2,7,192,1
E,1,5.000000e-01,2,5.000000e-01,2,7,227,1
E,1,5.000000e-01,2,5.000000e-01,2,7,1447,1
E,1,5.000000e-01,2,5.000000e-01,2,7,1555,1
E,1,5.000000e-01,2,5.000000e-01,2,7,1803,1
E,2,5.000000e-01,1,5.000000e-01,1,5,264,1
E,2,5.000000e-01,1,5.000000e-01,1,5,360,1
E,2,5.000000e-01,1,5.000000e-01,1,5,414,1
E,2,2.500000e-01,2,5.000000e-01,1,5,471,1
E,2,2.500000e-01,2,5.000000e-01,1,5,586,1
E,2,5.000000e-01,1,5.000000e-01,1,5,620,1
E,2,2.500000e-01,2,5.000000e-01,1,5,824,1
E,2,2.500000e-01,2,5.000000e-01,1,5,1182,1
E,2,5.000000e-01,1,5.000000e-01,1,5,1288,1
E,2,2.500000e-01,2,5.000000e-01,1,5,1714,1
E,3,3.750000e-01,2,3.750000e-01,2,15,82,2
E,3,3.750000e-01,2,3.750000e-01,2,15,128,2
E,3,3.750000e-01,2,3.750000e-01,2,15,204,2
E,3,3.750000e-01,2,3.750000e-01,2,15,381,2
E,3,3.750000e-01,2,3.750000e-01,2,15,448,2
E,3,3.750000e-01,2,3.750000e-01,2,15,522,2
E,3,3.750000e-01,2,3.750000e-01,2,15,860,2
E,3,3.750000e-01,2,3.750000e-01,2,15,896,2
E,3,3.750000e-01,2,3.750000e-01,2,15,1051,2
E,3,3.750000e-01,2,3.750000e-01,2,15,1121,2
E,3,3.750000e-01,2,3.750000e-01,2,15,1390,2
E,3,3.750000e-01,2,3.750000e-01,2,15,1392,2
E,3,3.750000e-01,2,3.750000e-01,2,15,1472,2
E,3,3.750000e-01,2,3.750000e-01,2,15,1540,2
E,3,3.750000e-01,2,3.750000e-01,2,15,1689,2
E,3,1.250000e-01,2,3.750000e-01,2,1,1726,2
E,4,2.500000e-01,2,3.750000e-01,1,12,25,1
E,4,6.250000e-02,2,3.750000e-01,1,2,44,1
E,4,2.500000e-01,2,3.750000e-01,1,12,168,1
E,4,2.500000e-01,2,3.750000e-01,1,12,187,1
E,4,2.500000e-01,2,3.750000e-01,1,12,190,1
E,4,3.750000e-01,1,3.750000e-01,1,9,319,1
E,4,2.500000e-01,2,3.750000e-01,1,12,368,1
E,4,3.750000e-01,1,3.750000e-01,1,9,433,1
E,4,2.500000e-01,2,3.750000e-01,1,12,449,1
E,4,2.500000e-01,2,3.750000e-01,1,12,475,1
E,4,3.750000e-01,1,3.750000e-01,1,9,733,1
E,4,3.750000e-01,1,3.750000e-01,1,9,810,1
E,4,6.250000e-02,2,3.750000e-01,1,2,813,1
E,4,3.750000e-01,1,3.750000e-01,1,9,986,1
E,4,2.500000e-01,2,3.750000e-01,1,12,1487,1
E,4,2.500000e-01,2,3.750000e-01,1,12,1582,1
E,4,2.500000e-01,2,3.750000e-01,1,12,1622,1
E,4,2.500000e-01,2,3.750000e-01,1,12,1651,1
E,4,3.750000e-01,1,3.750000e-01,1,9,1653,1
E,4,2.500000e-01,2,3.750000e-01,1,12,1686,1
E,4,3.750000e-01,1,3.750000e-01,1,9,1712,1
E,4,3.750000e-01,1,3.750000e-01,1,9,1753,1
E,4,3.750000e-01,1,3.750000e-01,1,9,1756,1
E,5,3.125000e-01,2,3.125000e-01,2,26,3,2
E,5,3.125000e-02,2,3.125000e-01,2,2,12,2
E,5,1.562500e-01,2,3.125000e-01,2,13,20,2
E,5,1.562500e-01,2,3.125000e-01,2,13,113,2
E,5,1.562500e-01,2,3.125000e-01,2,13,193,2
E,5,3.125000e-01,2,3.125000e-01,2,26,389,2
E,5,3.125000e-01,2,3.125000e-01,2,26,456,2
E,5,1.562500e-01,2,3.125000e-01,2,13,547,2
E,5,3.125000e-01,2,3.125000e-01,2,26,589,2
E,5,3.125000e-01,2,3.125000e-01,2,26,687,2
E,5,3.125000e-01,2,3.125000e-01,2,26,707,2
E,5,1.562500e-01,2,3.125000e-01,2,13,734,2
E,5,3.125000e-01,2,3.125000e-01,2,26,789,2
E,5,3.125000e-01,2,3.125000e-01,2,26,837,2
E,5,3.125000e-01,2,3.125000e-01,2,26,857,2
E,5,3.125000e-01,2,3.125000e-01,2,26,873,2
E,5,1.562500e-01,2,3.125000e-01,2,13,888,2
E,5,1.562500e-01,2,3.125000e-01,2,13,990,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1004,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1022,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1086,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1149,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1157,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1176,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1283,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1309,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1328,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1336,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1421,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1437,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1490,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1621,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1631,2
E,5,3.125000e-02,2,3.125000e-01,2,2,1650,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1655,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1693,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1702,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1711,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1725,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1786,2
E,5,3.125000e-01,2,3.125000e-01,2,26,1820,2
E,6,2.343750e-01,2,3.125000e-01,1,19,24,4
E,6,9.375000e-02,2,3.125000e-01,1,10,27,4
E,6,9.375000e-02,2,3.125000e-01,1,10,28,4
E,6,3.125000e-01,1,3.125000e-01,1,10,35,4
E,6,2.343750e-01,2,3.125000e-01,1,19,67,4
E,6,9.375000e-02,2,3.125000e-01,1,10,101,4
E,6,2.343750e-01,2,3.125000e-01,1,19,155,4
E,6,2.343750e-01,2,3.125000e-01,1,19,156,4
E,6,2.343750e-01,2,3.125000e-01,1,19,208,4
E,6,9.375000e-02,2,3.125000e-01,1,10,245,4
E,6,9.375000e-02,2,3.125000e-01,1,10,248,4
E,6,9.375000e-02,2,3.125000e-01,1,10,283,4
E,6,3.125000e-01,1,3.125000e-01,1,10,285,4
E,6,3.125000e-01,1,3.125000e-01,1,10,328,4
E,6,3.125000e-01,1,3.125000e-01,1,10,536,4
E,6,9.375000e-02,2,3.125000e-01,1,10,545,4
E,6,9.375000e-02,2,3.125000e-01,1,10,584,4
E,6,9.375000e-02,2,3.125000e-01,1,10,619,4
E,6,2.343750e-01,2,3.125000e-01,1,19,622,4
E,6,2.343750e-01,2,3.125000e-01,1,19,648,4
E,6,2.343750e-01,2,3.125000e-01,1,19,690,4
