aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.332668e-01,1,7.332668e-01,1,21,20,1
E,1,2.667332e-01,1,7.332668e-01,1,11,28,1
E,1,2.667332e-01,1,7.332668e-01,1,11,54,1
E,1,7.332668e-01,1,7.332668e-01,1,21,108,1
E,1,7.332668e-01,1,7.332668e-01,1,21,453,1
E,1,2.667332e-01,1,7.332668e-01,1,11,585,1
E,1,2.667332e-01,1,7.332668e-01,1,11,692,1
E,1,7.332668e-01,1,7.332668e-01,1,21,847,1
E,1,7.332668e-01,1,7.332668e-01,1,21,890,1
E,1,7.332668e-01,1,7.332668e-01,1,21,950,1
E,1,7.332668e-01,1,7.332668e-01,1,21,989,1
E,1,7.332668e-01,1,7.332668e-01,1,21,1352,1
E,1,7.332668e-01,1,7.332668e-01,1,21,1362,1
E,1,2.667332e-01,1,7.332668e-01,1,11,1390,1
E,1,7.332668e-01,1,7.332668e-01,1,21,1395,1
E,1,2.667332e-01,1,7.332668e-01,1,11,1512,1
E,1,7.332668e-01,1,7.332668e-01,1,21,1563,1
E,1,7.332668e-01,1,7.332668e-01,1,21,1576,1
E,1,2.667332e-01,1,7.332668e-01,1,11,1604,1
E,1,2.667332e-01,1,7.332668e-01,1,11,1665,1
E,1,2.667332e-01,1,7.332668e-01,1,11,1891,1
E,1,7.332668e-01,1,7.332668e-01,1,21,2071,1
E,1,7.332668e-01,1,7.332668e-01,1,21,2116,1
E,1,7.332668e-01,1,7.332668e-01,1,21,2310,1
E,1,2.667332e-01,1,7.332668e-01,1,11,2487,1
E,1,7.332668e-01,1,7.332668e-01,1,21,2566,1
E,1,7.332668e-01,1,7.332668e-01,1,21,2583,1
E,1,2.667332e-01,1,7.332668e-01,1,11,2711,1
E,1,7.332668e-01,1,7.332668e-01,1,21,2744,1
E,1,7.332668e-01,1,7.332668e-01,1,21,2844,1
E,1,7.332668e-01,1,7.332668e-01,1,21,2880,1
E,1,7.332668e-01,1,7.332668e-01,1,21,2912,1
E,2,7.114659e-02,1,5.376802e-01,1,3,15,0
E,2,5.376802e-01,1,5.376802e-01,1,24,25,0
E,2,3.911732e-01,1,5.376802e-01,1,18,83,0
E,2,3.911732e-01,1,5.376802e-01,1,18,100,0
E,2,5.376802e-01,1,5.376802e-01,1,24,218,0
E,2,5.376802e-01,1,5.376802e-01,1,24,288,0
E,2,3.911732e-01,1,5.376802e-01,1,18,386,0
E,2,5.376802e-01,1,5.376802e-01,1,24,431,0
E,2,5.376802e-01,1,5.376802e-01,1,24,569,0
E,2,7.114659e-02,1,5.376802e-01,1,3,608,0
E,2,5.376802e-01,1,5.376802e-01,1,24,620,0
E,2,3.911732e-01,1,5.376802e-01,1,18,631,0
E,2,5.376802e-01,1,5.376802e-01,1,24,723,0
E,2,3.911732e-01,1,5.376802e-01,1,18,727,0
E,2,3.911732e-01,1,5.376802e-01,1,18,778,0
E,2,3.911732e-01,1,5.376802e-01,1,18,781,0
E,2,5.376802e-01,1,5.376802e-01,1,24,813,0
E,2,5.376802e-01,1,5.376802e-01,1,24,814,0
E,2,7.114659e-02,1,5.376802e-01,1,3,891,0
E,2,3.911732e-01,1,5.376802e-01,1,18,923,0
E,2,5.376802e-01,1,5.376802e-01,1,24,942,0
E,2,5.376802e-01,1,5.376802e-01,1,24,1060,0
E,2,5.376802e-01,1,5.376802e-01,1,24,1217,0
E,2,5.376802e-01,1,5.376802e-01,1,24,1302,0
E,2,3.911732e-01,1,5.376802e-01,1,18,1331,0
E,2,5.376802e-01,1,5.376802e-01,1,24,1336,0
E,2,5.376802e-01,1,5.376802e-01,1,24,1408,0
E,2,5.376802e-01,1,5.376802e-01,1,24,1422,0
E,2,5.376802e-01,1,5.376802e-01,1,24,1443,0
E,2,3.911732e-01,1,5.376802e-01,1,18,1606,0
E,2,5.376802e-01,1,5.376802e-01,1,24,1609,0
E,2,3.911732e-01,1,5.376802e-01,1,18,1813,0
E,2,3.911732e-01,1,5.376802e-01,1,18,2003,0
E,2,3.911732e-01,1,5.376802e-01,1,18,2039,0
E,2,3.911732e-01,1,5.376802e-01,1,18,2051,0
E,2,3.911732e-01,1,5.376802e-01,1,18,2168,0
E,2,5.376802e-01,1,5.376802e-01,1,24,2219,0
E,2,5.376802e-01,1,5.376802e-01,1,24,2259,0
E,2,5.376802e-01,1,5.376802e-01,1,24,2461,0
E,2,3.911732e-01,1,5.376802e-01,1,18,2468,0
E,2,3.911732e-01,1,5.376802e-01,1,18,2499,0
