aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.018004e-01,1,7.018004e-01,1,13,2,0
E,1,2.981996e-01,1,7.018004e-01,1,3,96,1
E,1,2.981996e-01,1,7.018004e-01,1,3,308,1
E,1,7.018004e-01,1,7.018004e-01,1,13,1102,0
E,1,7.018004e-01,1,7.018004e-01,1,13,1133,0
E,1,7.018004e-01,1,7.018004e-01,1,13,1438,0
E,1,7.018004e-01,1,7.018004e-01,1,13,1974,0
E,1,7.018004e-01,1,7.018004e-01,1,13,2122,0
E,1,2.981996e-01,1,7.018004e-01,1,3,2305,1
E,1,7.018004e-01,1,7.018004e-01,1,13,2370,0
E,1,7.018004e-01,1,7.018004e-01,1,13,2417,0
E,1,7.018004e-01,1,7.018004e-01,1,13,2563,0
E,1,7.018004e-01,1,7.018004e-01,1,13,2577,0
E,1,7.018004e-01,1,7.018004e-01,1,13,2679,0
E,1,7.018004e-01,1,7.018004e-01,1,13,2692,0
E,1,7.018004e-01,1,7.018004e-01,1,13,2710,0
E,2,4.925237e-01,1,4.925237e-01,1,12,37,0
E,2,4.925237e-01,1,4.925237e-01,1,12,439,0
E,2,4.925237e-01,1,4.925237e-01,1,12,476,0
E,2,8.892303e-02,1,4.925237e-01,1,1,650,2
E,2,4.185532e-01,1,4.925237e-01,1,5,782,1
E,2,4.925237e-01,1,4.925237e-01,1,12,856,0
E,2,4.925237e-01,1,4.925237e-01,1,12,965,0
E,2,4.185532e-01,1,4.925237e-01,1,5,1579,1
E,2,4.925237e-01,1,4.925237e-01,1,12,1647,0
E,2,4.925237e-01,1,4.925237e-01,1,12,1736,0
E,2,4.925237e-01,1,4.925237e-01,1,12,1829,0
E,2,4.925237e-01,1,4.925237e-01,1,12,1881,0
E,2,4.925237e-01,1,4.925237e-01,1,12,1940,0
E,2,4.925237e-01,1,4.925237e-01,1,12,2250,0
E,2,4.185532e-01,1,4.925237e-01,1,5,2348,1
E,2,4.925237e-01,1,4.925237e-01,1,12,2632,0
E,2,4.185532e-01,1,4.925237e-01,1,5,2663,1
E,2,4.185532e-01,1,4.925237e-01,1,5,2708,1
E,3,1.872186e-01,1,4.406112e-01,1,5,122,2
E,3,3.456533e-01,1,4.406112e-01,1,12,552,0
E,3,3.456533e-01,1,4.406112e-01,1,12,604,0
E,3,3.456533e-01,1,4.406112e-01,1,12,613,0
E,3,3.456533e-01,1,4.406112e-01,1,12,768,0
E,3,4.406112e-01,1,4.406112e-01,1,13,920,1
E,3,4.406112e-01,1,4.406112e-01,1,13,1003,1
E,3,4.406112e-01,1,4.406112e-01,1,13,1104,1
E,3,3.456533e-01,1,4.406112e-01,1,12,1138,0
E,3,4.406112e-01,1,4.406112e-01,1,13,1164,1
E,3,4.406112e-01,1,4.406112e-01,1,13,1194,1
E,3,1.872186e-01,1,4.406112e-01,1,5,1426,2
E,3,3.456533e-01,1,4.406112e-01,1,12,1452,0
E,3,1.872186e-01,1,4.406112e-01,1,5,1488,2
E,3,1.872186e-01,1,4.406112e-01,1,5,1499,2
E,3,3.456533e-01,1,4.406112e-01,1,12,1545,0
E,3,3.456533e-01,1,4.406112e-01,1,12,1670,0
E,3,3.456533e-01,1,4.406112e-01,1,12,1677,0
E,3,1.872186e-01,1,4.406112e-01,1,5,1706,2
E,3,4.406112e-01,1,4.406112e-01,1,13,1773,1
E,3,4.406112e-01,1,4.406112e-01,1,13,1777,1
E,3,3.456533e-01,1,4.406112e-01,1,12,1796,0
E,3,4.406112e-01,1,4.406112e-01,1,13,1847,1
E,3,4.406112e-01,1,4.406112e-01,1,13,1872,1
E,3,4.406112e-01,1,4.406112e-01,1,13,1978,1
E,3,4.406112e-01,1,4.406112e-01,1,13,2012,1
E,3,4.406112e-01,1,4.406112e-01,1,13,2179,1
E,3,3.456533e-01,1,4.406112e-01,1,12,2286,0
E,3,4.406112e-01,1,4.406112e-01,1,13,2449,1
E,3,3.456533e-01,1,4.406112e-01,1,12,2654,0
E,4,4.122948e-01,1,4.122948e-01,1,15,26,1
E,4,2.425796e-01,1,4.122948e-01,1,7,156,0
E,4,4.122948e-01,1,4.122948e-01,1,15,249,1
E,4,4.122948e-01,1,4.122948e-01,1,15,412,1
E,4,4.122948e-01,1,4.122948e-01,1,15,457,1
E,4,4.122948e-01,1,4.122948e-01,1,15,568,1
E,4,2.425796e-01,1,4.122948e-01,1,7,600,0
E,4,2.627802e-01,1,4.122948e-01,1,9,624,2
E,4,7.443804e-02,1,4.122948e-01,1,3,634,3
E,4,2.627802e-01,1,4.122948e-01,1,9,665,2
E,4,4.122948e-01,1,4.122948e-01,1,15,717,1
E,4,7.443804e-02,1,4.122948e-01,1,3,898,3
E,4,2.627802e-01,1,4.122948e-01,1,9,929,2
E,4,2.627802e-01,1,4.122948e-01,1,9,1053,2
E,4,2.627802e-01,1,4.122948e-01,1,9,1075,2
E,4,7.443804e-02,1,4.122948e-01,1,3,1098,3
E,4,2.425796e-01,1,4.122948e-01,1,7,1120,0
E,4,4.122948e-01,1,4.122948e-01,1,15,1370,1
E,4,2.627802e-01,1,4.122948e-01,1,9,1888,2
E,4,4.122948e-01,1,4.122948e-01,1,15,1917,1
E,4,2.425796e-01,1,4.122948e-01,1,7,1979,0
E,4,2.425796e-01,1,4.122948e-01,1,7,1986,0
E,4,2.627802e-01,1,4.122948e-01,1,9,2001,2
E,4,2.425796e-01,1,4.122948e-01,1,7,2073,0
E,4,4.122948e-01,1,4.122948e-01,1,15,2225,1
E,4,4.122948e-01,1,4.122948e-01,1,15,2351,1
E,4,4.122948e-01,1,4.122948e-01,1,15,2400,1
E,4,4.122948e-01,1,4.122948e-01,1,15,2410,1
E,4,2.627802e-01,1,4.122948e-01,1,9,2478,2
E,4,2.627802e-01,1,4.122948e-01,1,9,2497,2
E,4,4.122948e-01,1,4.122948e-01,1,15,2575,1
E,4,4.122948e-01,1,4.122948e-01,1,15,2594,1
E,4,2.425796e-01,1,4.122948e-01,1,7,2645,0
E,4,4.122948e-01,1,4.122948e-01,1,15,2664,1
E,5,3.616858e-01,1,3.616858e-01,1,22,28,1
E,5,3.616858e-01,1,3.616858e-01,1,22,44,1
E,5,3.616858e-01,1,3.616858e-01,1,22,45,1
E,5,3.616858e-01,1,3.616858e-01,1,22,75,1
E,5,1.702425e-01,1,3.616858e-01,1,13,134,0
E,5,3.616858e-01,1,3.616858e-01,1,22,193,1
E,5,1.702425e-01,1,3.616858e-01,1,13,247,0
E,5,1.306016e-01,1,3.616858e-01,1,8,262,3
