aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,19,7,0
E,1,5.000000e-01,2,5.000000e-01,2,19,25,0
E,1,5.000000e-01,2,5.000000e-01,2,19,149,0
E,1,5.000000e-01,2,5.000000e-01,2,19,245,0
E,1,5.000000e-01,2,5.000000e-01,2,19,249,0
E,1,5.000000e-01,2,5.000000e-01,2,19,467,0
E,1,5.000000e-01,2,5.000000e-01,2,19,481,0
E,1,5.000000e-01,2,5.000000e-01,2,19,753,0
E,1,5.000000e-01,2,5.000000e-01,2,19,762,0
E,1,5.000000e-01,2,5.000000e-01,2,19,1101,1
E,1,5.000000e-01,2,5.000000e-01,2,19,1106,0
E,1,5.000000e-01,2,5.000000e-01,2,19,1342,0
E,1,5.000000e-01,2,5.000000e-01,2,19,1382,0
E,1,5.000000e-01,2,5.000000e-01,2,19,1483,0
E,1,5.000000e-01,2,5.000000e-01,2,19,1557,0
E,1,5.000000e-01,2,5.000000e-01,2,19,1595,0
E,1,5.000000e-01,2,5.000000e-01,2,19,1736,0
E,1,5.000000e-01,2,5.000000e-01,2,19,1812,0
E,1,5.000000e-01,2,5.000000e-01,2,19,1934,0
E,2,2.500000e-01,2,5.000000e-01,1,30,4,0
E,2,2.500000e-01,2,5.000000e-01,1,30,14,0
E,2,2.500000e-01,2,5.000000e-01,1,30,17,0
E,2,2.500000e-01,2,5.000000e-01,1,30,38,0
E,2,2.500000e-01,2,5.000000e-01,1,30,103,0
E,2,2.500000e-01,2,5.000000e-01,1,30,139,0
E,2,2.500000e-01,2,5.000000e-01,1,30,158,0
E,2,2.500000e-01,2,5.000000e-01,1,30,174,0
E,2,2.500000e-01,2,5.000000e-01,1,30,228,0
E,2,5.000000e-01,1,5.000000e-01,1,8,241,1
E,2,5.000000e-01,1,5.000000e-01,1,8,328,1
E,2,2.500000e-01,2,5.000000e-01,1,30,408,0
E,2,2.500000e-01,2,5.000000e-01,1,30,420,0
E,2,2.500000e-01,2,5.000000e-01,1,30,471,0
E,2,2.500000e-01,2,5.000000e-01,1,30,629,0
E,2,2.500000e-01,2,5.000000e-01,1,30,634,0
E,2,2.500000e-01,2,5.000000e-01,1,30,697,0
E,2,5.000000e-01,1,5.000000e-01,1,8,731,1
E,2,2.500000e-01,2,5.000000e-01,1,30,785,0
E,2,2.500000e-01,2,5.000000e-01,1,30,793,0
E,2,2.500000e-01,2,5.000000e-01,1,30,863,0
E,2,2.500000e-01,2,5.000000e-01,1,30,984,0
E,2,2.500000e-01,2,5.000000e-01,1,30,1016,0
E,2,5.000000e-01,1,5.000000e-01,1,8,1017,1
E,2,2.500000e-01,2,5.000000e-01,1,30,1108,0
E,2,2.500000e-01,2,5.000000e-01,1,30,1290,0
E,2,2.500000e-01,2,5.000000e-01,1,30,1314,0
E,2,5.000000e-01,1,5.000000e-01,1,8,1324,1
