aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,11,39,1
E,1,5.000000e-01,2,5.000000e-01,2,11,147,1
E,1,5.000000e-01,2,5.000000e-01,2,11,222,1
E,1,5.000000e-01,2,5.000000e-01,2,11,241,1
E,1,5.000000e-01,2,5.000000e-01,2,11,248,1
E,1,5.000000e-01,2,5.000000e-01,2,11,323,1
E,1,5.000000e-01,2,5.000000e-01,2,11,351,1
E,1,5.000000e-01,2,5.000000e-01,2,11,420,1
E,1,5.000000e-01,2,5.000000e-01,2,11,451,1
E,1,5.000000e-01,2,5.000000e-01,2,11,453,1
E,1,5.000000e-01,2,5.000000e-01,2,11,458,1
E,2,2.500000e-01,2,5.000000e-01,1,5,48,0
E,2,5.000000e-01,1,5.000000e-01,1,9,279,0
E,2,2.500000e-01,2,5.000000e-01,1,5,285,0
E,2,5.000000e-01,1,5.000000e-01,1,9,296,0
E,2,5.000000e-01,1,5.000000e-01,1,9,321,0
E,2,5.000000e-01,1,5.000000e-01,1,9,421,0
E,2,2.500000e-01,2,5.000000e-01,1,5,448,0
E,2,5.000000e-01,1,5.000000e-01,1,9,460,0
E,2,2.500000e-01,2,5.000000e-01,1,5,461,0
E,2,5.000000e-01,1,5.000000e-01,1,9,462,0
E,2,5.000000e-01,1,5.000000e-01,1,9,504,0
E,2,5.000000e-01,1,5.000000e-01,1,9,506,0
E,2,2.500000e-01,2,5.000000e-01,1,5,594,0
E,2,5.000000e-01,1,5.000000e-01,1,9,658,0
E,3,1.250000e-01,2,3.750000e-01,2,5,50,0
E,3,3.750000e-01,2,3.750000e-01,2,11,75,0
E,3,3.750000e-01,2,3.750000e-01,2,11,88,0
E,3,3.750000e-01,2,3.750000e-01,2,11,126,0
E,3,1.250000e-01,2,3.750000e-01,2,5,170,0
E,3,3.750000e-01,2,3.750000e-01,2,11,181,0
E,3,3.750000e-01,2,3.750000e-01,2,11,193,0
E,3,3.750000e-01,2,3.750000e-01,2,11,199,0
E,3,1.250000e-01,2,3.750000e-01,2,5,290,0
E,3,3.750000e-01,2,3.750000e-01,2,11,308,0
E,3,1.250000e-01,2,3.750000e-01,2,5,338,0
E,3,3.750000e-01,2,3.750000e-01,2,11,418,0
E,3,1.250000e-01,2,3.750000e-01,2,5,544,0
E,3,3.750000e-01,2,3.750000e-01,2,11,555,0
E,3,3.750000e-01,2,3.750000e-01,2,11,572,0
E,3,3.750000e-01,2,3.750000e-01,2,11,686,0
E,4,6.250000e-02,2,3.750000e-01,1,3,13,0
E,4,3.750000e-01,1,3.750000e-01,1,12,31,0
E,4,2.500000e-01,2,3.750000e-01,1,8,69,0
E,4,3.750000e-01,1,3.750000e-01,1,12,74,0
E,4,3.750000e-01,1,3.750000e-01,1,12,80,0
E,4,3.750000e-01,1,3.750000e-01,1,12,90,0
E,4,3.750000e-01,1,3.750000e-01,1,12,148,0
E,4,2.500000e-01,2,3.750000e-01,1,8,186,0
E,4,6.250000e-02,2,3.750000e-01,1,3,190,0
E,4,2.500000e-01,2,3.750000e-01,1,8,215,0
E,4,2.500000e-01,2,3.750000e-01,1,8,309,0
E,4,2.500000e-01,2,3.750000e-01,1,8,347,0
E,4,2.500000e-01,2,3.750000e-01,1,8,348,0
E,4,3.750000e-01,1,3.750000e-01,1,12,385,0
E,4,3.750000e-01,1,3.750000e-01,1,12,402,0
E,4,3.750000e-01,1,3.750000e-01,1,12,470,0
E,4,3.750000e-01,1,3.750000e-01,1,12,476,0
E,4,2.500000e-01,2,3.750000e-01,1,8,529,0
E,4,6.250000e-02,2,3.750000e-01,1,3,547,0
E,4,2.500000e-01,2,3.750000e-01,1,8,580,0
E,4,3.750000e-01,1,3.750000e-01,1,12,587,0
E,4,3.750000e-01,1,3.750000e-01,1,12,604,0
E,4,3.750000e-01,1,3.750000e-01,1,12,670,0
E,5,1.562500e-01,2,3.125000e-01,2,6,16,4
E,5,3.125000e-01,2,3.125000e-01,2,9,26,4
E,5,1.562500e-01,2,3.125000e-01,2,6,108,4
E,5,3.125000e-01,2,3.125000e-01,2,9,161,4
E,5,3.125000e-02,2,3.125000e-01,2,2,172,4
E,5,1.562500e-01,2,3.125000e-01,2,6,175,4
