species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0269,0.207677,0.996758,22
saccharomyces_sp_boulardii_,KO01_00252,0.207677,0.996758,22
saccharomyces_arboricola_h_6,SU7_0200,0.074239,0.966181,23
saccharomyces_eubayanus,DI49_1141,0.102113,0.984187,22
tetrapisispora_phaffii_cbs_4417,TPHA_0A03560,0.207677,0.996758,22
vanderwaltozyma_polyspora_dsm_70294,Kpol_1065p18,0.109078,0.981362,19
torulaspora_delbrueckii,TDEL_0C05030,0.008682,0.617173,21
naumovozyma_dairenensis_cbs_421,NDAI_0A07910,0.149452,0.996758,22
naumovozyma_castellii_cbs_4309,NCAS_0I01090,0.251727,0.998455,26
tetrapisispora_blattae_cbs_6284,TBLA_0H01550,0.078082,0.959465,20
_candida_glabrata,CAGL0K12342g,0.064483,0.936940,19
kazachstania_naganishii_cbs_8797,KNAG_0B01470,0.006166,0.576083,25
kazachstania_africana_cbs_2517,KAFR_0D02690,0.046253,0.925363,26
zygosaccharomyces_bailii_isa1307,ZBAI_05552,0.026193,0.811614,21
zygosaccharomyces_rouxii,ZYRO0C16368g,0.081522,0.982206,27
zygosaccharomyces_bailii_isa1307,ZBAI_00397,0.008682,0.617173,21
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADL338C,0.021892,0.790772,23
lachancea_thermotolerans_cbs_6340,KLTH0F10604g,0.015955,0.753200,27
ashbya_gossypii,AGOS_ADL338C,0.015881,0.714517,22
lachancea_lanzarotensis,LALA0_S03e04918g,-0.000000,0.322361,23
eremothecium_cymbalariae_dbvpg_7215,Ecym_3466,0.251727,0.998455,26
eremothecium_sinecaudum,AW171_hschr2282,0.035964,0.867210,22
kluyveromyces_lactis,KLLA0_B09405g,0.005300,0.558632,27
kluyveromyces_marxianus_dmku3_1042,KLMA_80292,0.037372,0.893259,25
hanseniaspora_opuntiae,AWRI3578_g3391,0.123897,0.989094,20
hanseniaspora_osmophila,AWRI3579_g2179,0.240753,0.997013,25
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_50076,0.160267,0.987314,14
hanseniaspora_uvarum_dsm_2768,D499_0C01530,0.021892,0.790772,23
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_74934,0.073571,0.991937,39
candida_dubliniensis_cd36,CD36_45550,0.135190,0.997013,25
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_38530,0.123897,0.989094,20
candida_albicans_wo_1,CAWG_03225,0.106181,0.991583,26
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_75927,0.017135,0.786301,32
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_58808,0.054251,0.937205,24
komagataella_phaffii_cbs_7435,PP7435_CHR2-0514,-0.000000,0.144464,30
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0K04498g,0.027837,0.864433,29
ogataea_polymorpha,OGAPODRAFT_75794,-0.000000,0.196381,16
_candida_auris,QG37_02273,0.009880,0.656079,28
