species,gene,entropyValue,entropyLocation,length
saccharomyces_eubayanus,DI49_5615,0.138629,0.585989,5
torulaspora_delbrueckii,TDEL_0H00450,0.077016,0.519237,9
_candida_glabrata,CAGL0I06457g,0.137327,0.602709,8
zygosaccharomyces_rouxii,ZYRO0D01298g,0.340120,0.982512,10
vanderwaltozyma_polyspora_dsm_70294,Kpol_1013p45,0.377911,0.985390,9
tetrapisispora_blattae_cbs_6284,TBLA_0J00190,0.183102,0.820384,6
tetrapisispora_phaffii_cbs_4417,TPHA_0I03170,0.057924,0.461477,7
kazachstania_naganishii_cbs_8797,KNAG_0F03810,0.101366,0.448867,8
kazachstania_africana_cbs_2517,KAFR_0B00440,0.454927,0.991159,9
naumovozyma_dairenensis_cbs_421,NDAI_0D00160,0.447940,0.973241,8
naumovozyma_castellii_cbs_4309,NCAS_0H00200,0.447940,0.973241,8
lachancea_lanzarotensis,LALA0_S13e00650g,0.274653,0.905304,8
lachancea_thermotolerans_cbs_6340,KLTH0A01078g,0.050683,0.346274,8
ashbya_gossypii,AGOS_AEL262CA,0.274653,0.905304,8
eremothecium_sinecaudum,AW171_hschr42295,0.077016,0.519237,9
kluyveromyces_lactis,KLLA0_B10769g,0.298627,0.908289,6
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_51527,0.231049,0.937583,3
hanseniaspora_osmophila,AWRI3579_g3518,0.255966,0.923086,7
komagataella_phaffii_cbs_7435,PP7435_CHR4-0363,0.340120,0.982512,10
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_60219,0.642830,0.994888,7
cyberlindnera_jadinii,BN1211_6275,0.023974,0.220474,12
komagataella_pastoris,PAS_chr4_0607,0.340120,0.982512,10
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_7809,0.475833,0.993754,8
ogataea_parapolymorpha_dl_1,HPODL_05198,0.057924,0.461477,7
candida_orthopsilosis_co_90_125,CORT_0A05200,0.496981,0.996226,5
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_172218,0.338506,0.966830,8
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0H01679g,0.219722,0.820391,5
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_38298,0.274653,0.905304,8
