aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,3.691534e-01,1,6.308466e-01,1,10,126,1
E,1,3.691534e-01,1,6.308466e-01,1,10,175,1
E,1,6.308466e-01,1,6.308466e-01,1,5,380,0
E,1,3.691534e-01,1,6.308466e-01,1,10,718,1
E,1,6.308466e-01,1,6.308466e-01,1,5,720,0
E,1,6.308466e-01,1,6.308466e-01,1,5,948,0
E,1,3.691534e-01,1,6.308466e-01,1,10,1046,1
E,1,3.691534e-01,1,6.308466e-01,1,10,1191,1
E,1,6.308466e-01,1,6.308466e-01,1,5,1337,0
E,1,3.691534e-01,1,6.308466e-01,1,10,1340,1
E,1,3.691534e-01,1,6.308466e-01,1,10,1483,1
E,1,3.691534e-01,1,6.308466e-01,1,10,1539,1
E,1,6.308466e-01,1,6.308466e-01,1,5,1542,0
E,1,3.691534e-01,1,6.308466e-01,1,10,1617,1
E,1,3.691534e-01,1,6.308466e-01,1,10,1657,1
E,2,3.979674e-01,1,4.657583e-01,1,9,5,0
E,2,3.979674e-01,1,4.657583e-01,1,9,178,0
E,2,3.979674e-01,1,4.657583e-01,1,9,233,0
E,2,3.979674e-01,1,4.657583e-01,1,9,350,0
E,2,4.657583e-01,1,4.657583e-01,1,4,715,1
E,2,3.979674e-01,1,4.657583e-01,1,9,775,0
E,2,4.657583e-01,1,4.657583e-01,1,4,872,1
E,2,3.979674e-01,1,4.657583e-01,1,9,1018,0
E,2,1.362742e-01,1,4.657583e-01,1,2,1155,2
E,2,3.979674e-01,1,4.657583e-01,1,9,1368,0
E,2,4.657583e-01,1,4.657583e-01,1,4,1369,1
E,2,1.362742e-01,1,4.657583e-01,1,2,1453,2
E,2,3.979674e-01,1,4.657583e-01,1,9,1537,0
E,2,3.979674e-01,1,4.657583e-01,1,9,1631,0
E,2,4.657583e-01,1,4.657583e-01,1,4,1696,1
E,3,2.510564e-01,1,4.407331e-01,1,4,114,0
E,3,2.579044e-01,1,4.407331e-01,1,9,144,2
E,3,2.579044e-01,1,4.407331e-01,1,9,174,2
E,3,2.579044e-01,1,4.407331e-01,1,9,321,2
E,3,4.407331e-01,1,4.407331e-01,1,11,332,1
E,3,2.579044e-01,1,4.407331e-01,1,9,359,2
E,3,2.579044e-01,1,4.407331e-01,1,9,365,2
E,3,4.407331e-01,1,4.407331e-01,1,11,409,1
E,3,4.407331e-01,1,4.407331e-01,1,11,428,1
E,3,4.407331e-01,1,4.407331e-01,1,11,483,1
E,3,4.407331e-01,1,4.407331e-01,1,11,489,1
E,3,2.579044e-01,1,4.407331e-01,1,9,569,2
E,3,2.510564e-01,1,4.407331e-01,1,4,593,0
E,3,4.407331e-01,1,4.407331e-01,1,11,600,1
E,3,5.030609e-02,1,4.407331e-01,1,1,647,3
E,3,4.407331e-01,1,4.407331e-01,1,11,705,1
E,3,4.407331e-01,1,4.407331e-01,1,11,959,1
E,3,2.510564e-01,1,4.407331e-01,1,4,1169,0
E,3,2.579044e-01,1,4.407331e-01,1,9,1309,2
E,3,4.407331e-01,1,4.407331e-01,1,11,1365,1
E,3,2.579044e-01,1,4.407331e-01,1,9,1397,2
E,3,2.510564e-01,1,4.407331e-01,1,4,1455,0
E,3,4.407331e-01,1,4.407331e-01,1,11,1532,1
E,3,2.579044e-01,1,4.407331e-01,1,9,1614,2
E,3,4.407331e-01,1,4.407331e-01,1,11,1731,1
E,4,3.253962e-01,1,3.707133e-01,1,13,39,2
E,4,1.857066e-02,1,3.707133e-01,1,1,71,4
