species,gene,entropyValue,entropyLocation,length
saccharomyces_eubayanus,DI49_5615,-0.000000,0.666667,2
torulaspora_delbrueckii,TDEL_0H00450,0.219722,0.864340,5
_candida_glabrata,CAGL0I06457g,0.219722,0.864340,5
zygosaccharomyces_rouxii,ZYRO0D01298g,0.067578,0.617514,6
vanderwaltozyma_polyspora_dsm_70294,Kpol_1013p45,0.219722,0.864340,5
tetrapisispora_blattae_cbs_6284,TBLA_0J00190,0.451342,0.996187,6
tetrapisispora_phaffii_cbs_4417,TPHA_0I03170,0.255966,0.921937,7
kazachstania_naganishii_cbs_8797,KNAG_0F03810,-0.000000,0.444444,4
kazachstania_africana_cbs_2517,KAFR_0B00440,-0.000000,0.444444,4
naumovozyma_dairenensis_cbs_421,NDAI_0D00160,0.298627,0.946792,6
naumovozyma_castellii_cbs_4309,NCAS_0H00200,0.298627,0.946792,6
lachancea_lanzarotensis,LALA0_S13e00650g,0.229920,0.825871,7
lachancea_thermotolerans_cbs_6340,KLTH0A01078g,0.250680,0.823316,6
ashbya_gossypii,AGOS_AEL262CA,-0.000000,0.288066,7
eremothecium_sinecaudum,AW171_hschr42295,0.229920,0.825871,7
kluyveromyces_lactis,KLLA0_B10769g,0.173287,0.666744,4
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_51527,0.255966,0.921937,7
hanseniaspora_osmophila,AWRI3579_g3518,0.099021,0.768250,7
komagataella_phaffii_cbs_7435,PP7435_CHR4-0363,0.298627,0.946792,6
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_60219,0.749968,0.996187,6
cyberlindnera_jadinii,BN1211_6275,0.219722,0.864340,5
komagataella_pastoris,PAS_chr4_0607,0.298627,0.946792,6
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_7809,0.031965,0.469664,9
ogataea_parapolymorpha_dl_1,HPODL_05198,0.057924,0.480141,7
candida_orthopsilosis_co_90_125,CORT_0A05200,0.150497,0.858096,8
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_172218,0.332859,0.975656,9
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0H01679g,0.298627,0.946792,6
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_38298,0.150497,0.858096,8
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0G01678g,0.298627,0.946792,6
scheffersomyces_stipitis_cbs_6054,PICST_56118,0.332859,0.975656,9
_candida_auris,QG37_06926,-0.000000,0.666667,2
debaryomyces_fabryi,AC631_02313,0.150497,0.858096,8
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_75897,-0.000000,0.444444,4
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_52036,0.358352,0.987829,5
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_61356,0.287823,0.966943,8
candida_parapsilosis_cdc317,CPAR2_805190,0.210791,0.911626,9
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_152916,0.057924,0.480141,7
_candida_tenuis_atcc_10573,CANTEDRAFT_99722,0.183102,0.740972,6
debaryomyces_hansenii_cbs767,DEHA2B10736g,0.229920,0.825871,7
geotrichum_candidum,BN980_GECA04s03299g,0.281341,0.956834,10
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_47571,0.067578,0.617514,6
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_51333,0.328941,0.979566,7
pseudogymnoascus_sp_vkm_f_4517_fw_2822_,V498_10726,0.427003,0.997613,9
pyronema_omphalodes_cbs_100304,PCON_09233,0.219722,0.864340,5
sphaerulina_musiva_so2202,SEPMUDRAFT_142065,0.790992,0.999882,8
fusarium_solani,NechaG102369,0.763873,0.998782,7
ustilaginoidea_virens,UV8b_4794,0.566237,0.998756,14
metarhizium_album_arsef_1941,MAM_01894,0.150497,0.858096,8
fusarium_langsethiae,FLAG1_00346,0.274653,0.963103,4
aureobasidium_melanogenum_cbs_110374,M437DRAFT_81305,0.250680,0.823316,6
blastomyces_dermatitidis_er_3,BDCG_16531,0.051083,0.629798,10
pseudogymnoascus_sp_05ny08,VF21_05297,0.451342,0.996187,6
acidomyces_richmondensis_bfw,M433DRAFT_149400,0.086643,0.704342,8
sclerotinia_sclerotiorum,SS1G_02846,0.052996,0.652138,14
pseudogymnoascus_sp_03vt05,VE02_07760,0.749968,0.996187,6
fusarium_oxysporum,FOXG_00473,0.219722,0.864340,5
aschersonia_aleyrodis_rcef_2490,AAL_04342,0.210791,0.911626,9
bipolaris_oryzae_atcc_44560,COCMIDRAFT_85613,0.298627,0.946792,6
colletotrichum_incanum,CI238_05520,0.421192,0.999523,15
fusarium_poae,FPOA_00581,0.274653,0.963103,4
penicillium_expansum,PEX1_014310,0.183102,0.740972,6
