aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.520431e-01,1,6.520431e-01,1,3,135,0
E,1,6.520431e-01,1,6.520431e-01,1,3,136,0
E,1,3.479569e-01,1,6.520431e-01,1,1,556,1
E,1,6.520431e-01,1,6.520431e-01,1,3,1143,0
E,2,4.251602e-01,1,4.537658e-01,1,1,450,0
E,3,2.368364e-01,1,4.438123e-01,1,2,60,2
E,3,2.368364e-01,1,4.438123e-01,1,2,65,2
E,3,4.438123e-01,1,4.438123e-01,1,5,119,1
E,3,4.438123e-01,1,4.438123e-01,1,5,470,1
E,3,4.438123e-01,1,4.438123e-01,1,5,478,1
E,3,4.438123e-01,1,4.438123e-01,1,5,1001,1
E,3,4.438123e-01,1,4.438123e-01,1,5,1487,1
E,4,3.858463e-01,1,3.858463e-01,1,5,137,1
E,4,1.807612e-01,1,3.858463e-01,1,3,261,0
E,4,3.088551e-01,1,3.858463e-01,1,2,761,2
E,4,1.807612e-01,1,3.858463e-01,1,3,822,0
E,4,3.088551e-01,1,3.858463e-01,1,2,913,2
E,4,1.807612e-01,1,3.858463e-01,1,3,1079,0
E,4,3.858463e-01,1,3.858463e-01,1,5,1226,1
E,4,3.858463e-01,1,3.858463e-01,1,5,1351,1
E,4,3.858463e-01,1,3.858463e-01,1,5,1513,1
E,4,3.858463e-01,1,3.858463e-01,1,5,1540,1
E,5,3.144855e-01,1,3.356447e-01,1,6,49,1
E,5,1.791138e-01,1,3.356447e-01,1,3,58,3
E,5,3.144855e-01,1,3.356447e-01,1,6,84,1
E,5,3.144855e-01,1,3.356447e-01,1,6,98,1
E,5,3.356447e-01,1,3.356447e-01,1,3,330,2
E,5,1.178641e-01,1,3.356447e-01,1,3,365,0
E,5,1.791138e-01,1,3.356447e-01,1,3,377,3
E,5,1.178641e-01,1,3.356447e-01,1,3,445,0
E,5,1.178641e-01,1,3.356447e-01,1,3,660,0
E,5,3.356447e-01,1,3.356447e-01,1,3,668,2
E,5,3.144855e-01,1,3.356447e-01,1,6,806,1
E,5,4.779124e-02,1,3.356447e-01,1,1,901,4
E,5,3.144855e-01,1,3.356447e-01,1,6,998,1
E,5,1.791138e-01,1,3.356447e-01,1,3,1146,3
E,5,3.144855e-01,1,3.356447e-01,1,6,1203,1
E,5,3.356447e-01,1,3.356447e-01,1,3,1333,2
E,6,2.460697e-01,1,3.282822e-01,1,1,14,1
E,6,9.348583e-02,1,3.282822e-01,1,3,71,4
E,6,3.282822e-01,1,3.282822e-01,1,6,78,2
E,6,3.282822e-01,1,3.282822e-01,1,6,366,2
E,6,3.282822e-01,1,3.282822e-01,1,6,636,2
E,6,9.348583e-02,1,3.282822e-01,1,3,717,4
E,6,2.335798e-01,1,3.282822e-01,1,2,825,3
E,6,3.282822e-01,1,3.282822e-01,1,6,1219,2
E,6,3.282822e-01,1,3.282822e-01,1,6,1250,2
E,6,2.335798e-01,1,3.282822e-01,1,2,1264,3
E,6,9.348583e-02,1,3.282822e-01,1,3,1269,4
E,6,3.282822e-01,1,3.282822e-01,1,6,1282,2
E,6,7.685244e-02,1,3.282822e-01,1,1,1485,0
E,7,1.422325e-01,1,2.996758e-01,1,4,40,4
E,7,1.422325e-01,1,2.996758e-01,1,4,85,4
E,7,2.665322e-01,1,2.996758e-01,1,1,167,3
E,7,2.996758e-01,1,2.996758e-01,1,5,228,2
E,7,1.871894e-01,1,2.996758e-01,1,5,272,1
E,7,1.871894e-01,1,2.996758e-01,1,5,518,1
E,7,1.871894e-01,1,2.996758e-01,1,5,745,1
E,7,1.871894e-01,1,2.996758e-01,1,5,753,1
E,7,5.011110e-02,1,2.996758e-01,1,2,774,0
E,7,2.996758e-01,1,2.996758e-01,1,5,809,2
E,7,2.996758e-01,1,2.996758e-01,1,5,920,2
E,7,1.422325e-01,1,2.996758e-01,1,4,962,4
E,7,2.996758e-01,1,2.996758e-01,1,5,1109,2
E,7,1.422325e-01,1,2.996758e-01,1,4,1110,4
E,7,1.871894e-01,1,2.996758e-01,1,5,1252,1
E,7,5.011110e-02,1,2.996758e-01,1,2,1267,0
E,7,2.996758e-01,1,2.996758e-01,1,5,1394,2
E,8,2.112825e-02,1,2.780647e-01,1,2,6,6
E,8,1.854834e-01,1,2.780647e-01,1,2,59,4
E,8,1.394920e-01,1,2.780647e-01,1,1,254,1
E,8,2.605354e-01,1,2.780647e-01,1,1,376,2
E,8,2.112825e-02,1,2.780647e-01,1,2,390,6
E,8,1.854834e-01,1,2.780647e-01,1,2,515,4
