aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.318750e-01,1,6.318750e-01,1,15,77,0
E,1,6.318750e-01,1,6.318750e-01,1,15,114,0
E,1,6.318750e-01,1,6.318750e-01,1,15,165,0
E,1,6.318750e-01,1,6.318750e-01,1,15,238,0
E,1,6.318750e-01,1,6.318750e-01,1,15,354,0
E,1,6.318750e-01,1,6.318750e-01,1,15,391,0
E,1,6.318750e-01,1,6.318750e-01,1,15,405,0
E,1,3.681250e-01,1,6.318750e-01,1,4,505,0
E,1,3.681250e-01,1,6.318750e-01,1,4,848,0
E,1,6.318750e-01,1,6.318750e-01,1,15,906,0
E,1,6.318750e-01,1,6.318750e-01,1,15,1067,0
E,1,6.318750e-01,1,6.318750e-01,1,15,1192,0
E,1,3.681250e-01,1,6.318750e-01,1,4,1220,0
E,1,6.318750e-01,1,6.318750e-01,1,15,1272,0
E,1,6.318750e-01,1,6.318750e-01,1,15,1448,0
E,1,6.318750e-01,1,6.318750e-01,1,15,1489,0
E,1,6.318750e-01,1,6.318750e-01,1,15,1724,0
E,1,6.318750e-01,1,6.318750e-01,1,15,1937,0
E,1,3.681250e-01,1,6.318750e-01,1,4,2251,0
E,2,4.652180e-01,1,4.652180e-01,1,20,72,1
E,2,3.992660e-01,1,4.652180e-01,1,19,82,1
E,2,3.992660e-01,1,4.652180e-01,1,19,150,1
E,2,3.992660e-01,1,4.652180e-01,1,19,361,1
E,2,3.992660e-01,1,4.652180e-01,1,19,455,1
E,2,1.355160e-01,1,4.652180e-01,1,4,468,1
E,2,4.652180e-01,1,4.652180e-01,1,20,576,1
E,2,4.652180e-01,1,4.652180e-01,1,20,582,1
E,2,4.652180e-01,1,4.652180e-01,1,20,595,1
E,2,4.652180e-01,1,4.652180e-01,1,20,618,1
E,2,1.355160e-01,1,4.652180e-01,1,4,638,1
E,2,4.652180e-01,1,4.652180e-01,1,20,672,1
E,2,4.652180e-01,1,4.652180e-01,1,20,834,1
E,2,4.652180e-01,1,4.652180e-01,1,20,856,1
E,2,3.992660e-01,1,4.652180e-01,1,19,858,1
E,2,4.652180e-01,1,4.652180e-01,1,20,876,1
E,2,4.652180e-01,1,4.652180e-01,1,20,925,1
E,2,1.355160e-01,1,4.652180e-01,1,4,932,1
E,2,4.652180e-01,1,4.652180e-01,1,20,969,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1084,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1112,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1184,1
E,2,4.652180e-01,1,4.652180e-01,1,20,1206,1
E,2,1.355160e-01,1,4.652180e-01,1,4,1207,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1361,1
E,2,4.652180e-01,1,4.652180e-01,1,20,1388,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1415,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1432,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1439,1
E,2,4.652180e-01,1,4.652180e-01,1,20,1440,1
E,2,4.652180e-01,1,4.652180e-01,1,20,1473,1
E,2,4.652180e-01,1,4.652180e-01,1,20,1476,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1477,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1495,1
E,2,4.652180e-01,1,4.652180e-01,1,20,1642,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1649,1
E,2,4.652180e-01,1,4.652180e-01,1,20,1698,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1713,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1727,1
E,2,3.992660e-01,1,4.652180e-01,1,19,1943,1
E,2,4.652180e-01,1,4.652180e-01,1,20,1985,1
E,2,3.992660e-01,1,4.652180e-01,1,19,2071,1
E,2,4.652180e-01,1,4.652180e-01,1,20,2207,1
E,3,2.522862e-01,1,4.409394e-01,1,17,29,0
E,3,4.409394e-01,1,4.409394e-01,1,28,30,0
E,3,2.522862e-01,1,4.409394e-01,1,17,38,0
E,3,2.568875e-01,1,4.409394e-01,1,16,56,0
E,3,4.409394e-01,1,4.409394e-01,1,28,125,0
E,3,4.409394e-01,1,4.409394e-01,1,28,146,0
E,3,2.522862e-01,1,4.409394e-01,1,17,155,0
E,3,4.409394e-01,1,4.409394e-01,1,28,256,0
E,3,4.409394e-01,1,4.409394e-01,1,28,288,0
