species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0155,-0.000000,0.375000,3
zygosaccharomyces_bailii_isa1307,ZBAI_03205,-0.000000,0.750000,2
zygosaccharomyces_rouxii,ZYRO0C13200g,0.346574,0.797112,4
zygosaccharomyces_bailii_isa1307,ZBAI_07056,-0.000000,0.750000,2
torulaspora_delbrueckii,TDEL_0B04470,0.138629,0.585989,5
naumovozyma_castellii_cbs_4309,NCAS_0B05580,0.214868,0.769207,7
naumovozyma_dairenensis_cbs_421,NDAI_0B02920,0.346574,0.797112,4
kazachstania_naganishii_cbs_8797,KNAG_0G01450,0.173287,0.656445,4
kazachstania_africana_cbs_2517,KAFR_0C02820,0.138629,0.585989,5
tetrapisispora_blattae_cbs_6284,TBLA_0A08790,0.138629,0.585989,5
tetrapisispora_phaffii_cbs_4417,TPHA_0H00220,0.231049,0.937583,3
kluyveromyces_marxianus_dmku3_1042,KLMA_20039,0.173287,0.656445,4
_candida_glabrata,CAGL0J04334g,0.274653,0.905304,8
kluyveromyces_lactis,KLLA0_E10495g,0.050683,0.346274,8
lachancea_lanzarotensis,LALA0_S07e02212g,0.050683,0.346274,8
eremothecium_sinecaudum,AW171_hschr63857,0.794513,0.984642,4
eremothecium_cymbalariae_dbvpg_7215,Ecym_6194,0.077016,0.519237,9
lachancea_thermotolerans_cbs_6340,KLTH0H08272g,0.338506,0.966830,8
ashbya_gossypii,AGOS_AFR017C,0.156945,0.666619,7
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_27348,0.358352,0.937608,5
hanseniaspora_opuntiae,AWRI3578_g2596,0.597253,0.937583,3
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_93351,0.358352,0.937608,5
hanseniaspora_osmophila,AWRI3579_g485,0.414151,0.981545,6
