aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,24,105,0
E,1,5.000000e-01,2,5.000000e-01,2,24,322,0
E,1,5.000000e-01,2,5.000000e-01,2,24,323,1
E,1,5.000000e-01,2,5.000000e-01,2,24,426,0
E,1,5.000000e-01,2,5.000000e-01,2,24,453,0
E,1,5.000000e-01,2,5.000000e-01,2,24,473,1
E,1,5.000000e-01,2,5.000000e-01,2,24,483,0
E,1,5.000000e-01,2,5.000000e-01,2,24,545,0
E,1,5.000000e-01,2,5.000000e-01,2,24,590,0
E,1,5.000000e-01,2,5.000000e-01,2,24,631,1
E,1,5.000000e-01,2,5.000000e-01,2,24,655,0
E,1,5.000000e-01,2,5.000000e-01,2,24,905,0
E,1,5.000000e-01,2,5.000000e-01,2,24,991,0
E,1,5.000000e-01,2,5.000000e-01,2,24,1166,1
E,1,5.000000e-01,2,5.000000e-01,2,24,1281,0
E,1,5.000000e-01,2,5.000000e-01,2,24,1398,0
E,1,5.000000e-01,2,5.000000e-01,2,24,1412,1
E,1,5.000000e-01,2,5.000000e-01,2,24,1494,1
E,1,5.000000e-01,2,5.000000e-01,2,24,1694,1
E,1,5.000000e-01,2,5.000000e-01,2,24,1742,0
E,1,5.000000e-01,2,5.000000e-01,2,24,1976,0
E,1,5.000000e-01,2,5.000000e-01,2,24,2130,0
E,1,5.000000e-01,2,5.000000e-01,2,24,2141,0
E,1,5.000000e-01,2,5.000000e-01,2,24,2481,0
E,2,2.500000e-01,2,5.000000e-01,1,17,91,0
E,2,2.500000e-01,2,5.000000e-01,1,17,156,0
E,2,2.500000e-01,2,5.000000e-01,1,17,182,0
E,2,2.500000e-01,2,5.000000e-01,1,17,187,0
E,2,2.500000e-01,2,5.000000e-01,1,17,289,0
E,2,5.000000e-01,1,5.000000e-01,1,8,369,1
E,2,2.500000e-01,2,5.000000e-01,1,17,384,0
E,2,5.000000e-01,1,5.000000e-01,1,8,753,1
E,2,2.500000e-01,2,5.000000e-01,1,17,830,0
E,2,5.000000e-01,1,5.000000e-01,1,8,871,1
E,2,2.500000e-01,2,5.000000e-01,1,17,927,0
E,2,2.500000e-01,2,5.000000e-01,1,17,928,0
E,2,5.000000e-01,1,5.000000e-01,1,8,1283,1
E,2,5.000000e-01,1,5.000000e-01,1,8,1304,1
E,2,2.500000e-01,2,5.000000e-01,1,17,1356,0
E,2,2.500000e-01,2,5.000000e-01,1,17,1524,0
E,2,5.000000e-01,1,5.000000e-01,1,8,1542,1
E,2,2.500000e-01,2,5.000000e-01,1,17,1580,0
E,2,5.000000e-01,1,5.000000e-01,1,8,1590,1
E,2,5.000000e-01,1,5.000000e-01,1,8,1654,1
E,2,2.500000e-01,2,5.000000e-01,1,17,1759,0
E,2,2.500000e-01,2,5.000000e-01,1,17,1934,0
E,2,2.500000e-01,2,5.000000e-01,1,17,2021,0
E,2,2.500000e-01,2,5.000000e-01,1,17,2109,0
E,2,2.500000e-01,2,5.000000e-01,1,17,2133,0
E,3,1.250000e-01,2,3.750000e-01,2,24,4,0
E,3,1.250000e-01,2,3.750000e-01,2,24,125,0
E,3,1.250000e-01,2,3.750000e-01,2,24,171,0
E,3,3.750000e-01,2,3.750000e-01,2,17,202,1
E,3,3.750000e-01,2,3.750000e-01,2,17,421,1
E,3,1.250000e-01,2,3.750000e-01,2,24,427,0
E,3,3.750000e-01,2,3.750000e-01,2,17,513,1
E,3,1.250000e-01,2,3.750000e-01,2,24,538,0
E,3,1.250000e-01,2,3.750000e-01,2,24,560,0
E,3,1.250000e-01,2,3.750000e-01,2,24,720,0
E,3,1.250000e-01,2,3.750000e-01,2,24,759,0
E,3,1.250000e-01,2,3.750000e-01,2,24,812,0
E,3,3.750000e-01,2,3.750000e-01,2,17,883,1
E,3,1.250000e-01,2,3.750000e-01,2,24,929,0
E,3,1.250000e-01,2,3.750000e-01,2,24,969,0
E,3,1.250000e-01,2,3.750000e-01,2,24,998,0
