species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_05185,0.210860,0.999761,65
saccharomyces_eubayanus,DI49_5509,0.043722,0.983020,54
_candida_glabrata,CAGL0D01672g,0.059613,0.998147,58
kazachstania_africana_cbs_2517,KAFR_0H01030,0.031015,0.957481,56
naumovozyma_dairenensis_cbs_421,NDAI_0A05270,0.256095,0.998147,58
kazachstania_naganishii_cbs_8797,KNAG_0H00780,0.026349,0.931005,52
naumovozyma_castellii_cbs_4309,NCAS_0A11030,0.119281,0.998147,58
zygosaccharomyces_bailii_isa1307,ZBAI_05527,0.009077,0.738482,51
zygosaccharomyces_rouxii,ZYRO0C15906g,0.128279,0.999754,56
torulaspora_delbrueckii,TDEL_0C04820,0.051177,0.989843,53
zygosaccharomyces_bailii_isa1307,ZBAI_00375,0.004906,0.608788,49
tetrapisispora_blattae_cbs_6284,TBLA_0A06650,0.448286,0.998759,64
tetrapisispora_phaffii_cbs_4417,TPHA_0M01510,0.189078,0.996700,60
vanderwaltozyma_polyspora_dsm_70294,Kpol_376p6,0.378509,0.998968,55
tetrapisispora_blattae_cbs_6284,TBLA_0B02520,0.264916,0.996700,60
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADL317C,0.004532,0.599314,51
ashbya_gossypii,AGOS_ADL317C,0.047171,0.984076,52
eremothecium_cymbalariae_dbvpg_7215,Ecym_3486,0.170089,0.999754,56
eremothecium_sinecaudum,AW171_hschr2262,0.080848,0.996700,60
kluyveromyces_marxianus_dmku3_1042,KLMA_20081,0.014954,0.873169,63
kluyveromyces_lactis,KLLA0_E11419g,0.113405,0.999877,68
lachancea_lanzarotensis,LALA0_S09e03840g,0.000850,0.335068,48
lachancea_thermotolerans_cbs_6340,KLTH0E15048g,0.014871,0.817106,46
hanseniaspora_osmophila,AWRI3579_g2159,0.016415,0.848243,49
komagataella_phaffii_cbs_7435,PP7435_CHR2-1268,0.073200,0.998968,55
cyberlindnera_jadinii,BN1211_1939,0.018249,0.874908,52
wickerhamomyces_ciferrii,BN7_4986,0.473072,0.998604,57
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_20420,0.001210,0.403474,57
komagataella_pastoris,PAS_chr2-1_0039,0.055461,0.994278,57
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_15875,0.312735,0.999780,49
candida_maltosa_xu316,G210_4066,0.193484,0.998192,61
kuraishia_capsulata_cbs_1993,KUCA_T00001510001,0.020978,0.926422,63
candida_dubliniensis_cd36,CD36_60730,0.091419,0.998524,66
scheffersomyces_stipitis_cbs_6054,PICST_60298,0.001130,0.397421,59
debaryomyces_hansenii_cbs767,DEHA2F15136g,0.102908,0.999578,69
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_157214,0.124939,0.998814,71
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0J10129g,0.012854,0.839360,62
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_44434,0.136028,0.998509,78
meyerozyma_guilliermondii_atcc_6260,PGUG_03812,0.027528,0.963496,68
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0I08302g,0.017406,0.898666,64
_candida_tenuis_atcc_10573,CANTEDRAFT_93698,0.000673,0.317339,54
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_159550,0.253768,0.999693,70
candida_tropicalis_mya_3404,CTRG_02940,0.216879,0.998192,61
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_80055,0.027014,0.950856,60
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_160077,0.097377,0.998759,64
clavispora_lusitaniae_atcc_42720,CLUG_03698,0.100793,0.999736,72
candida_parapsilosis_cdc317,CPAR2_602980,0.078474,0.998524,66
lodderomyces_elongisporus_nrrl_yb_4239,LELG_04703,0.124590,0.999701,67
debaryomyces_fabryi,AC631_00951,0.158579,0.999701,67
candida_orthopsilosis_co_90_125,CORT_0F03950,0.154544,0.998524,66
pichia_kudriavzevii,JL09_g2987,0.030597,0.891772,32
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_196758,0.327085,0.998475,52
ogataea_parapolymorpha_dl_1,HPODL_03660,0.051731,0.994105,59
