aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.018332e-01,1,5.018332e-01,1,71,21,1
E,1,4.981668e-01,1,5.018332e-01,1,64,36,1
E,1,4.981668e-01,1,5.018332e-01,1,64,144,1
E,1,5.018332e-01,1,5.018332e-01,1,71,206,1
E,1,4.981668e-01,1,5.018332e-01,1,64,247,1
E,1,5.018332e-01,1,5.018332e-01,1,71,256,1
E,1,5.018332e-01,1,5.018332e-01,1,71,288,1
E,1,5.018332e-01,1,5.018332e-01,1,71,329,1
E,1,5.018332e-01,1,5.018332e-01,1,71,340,1
E,1,5.018332e-01,1,5.018332e-01,1,71,361,1
E,1,4.981668e-01,1,5.018332e-01,1,64,370,1
E,1,5.018332e-01,1,5.018332e-01,1,71,405,1
E,1,5.018332e-01,1,5.018332e-01,1,71,465,1
E,1,4.981668e-01,1,5.018332e-01,1,64,603,1
E,1,4.981668e-01,1,5.018332e-01,1,64,691,1
E,1,5.018332e-01,1,5.018332e-01,1,71,720,1
E,1,5.018332e-01,1,5.018332e-01,1,71,748,1
E,1,5.018332e-01,1,5.018332e-01,1,71,780,1
E,1,4.981668e-01,1,5.018332e-01,1,64,843,1
E,1,4.981668e-01,1,5.018332e-01,1,64,861,1
E,1,4.981668e-01,1,5.018332e-01,1,64,896,1
E,1,4.981668e-01,1,5.018332e-01,1,64,897,1
E,1,5.018332e-01,1,5.018332e-01,1,71,899,1
E,1,5.018332e-01,1,5.018332e-01,1,71,916,1
E,1,4.981668e-01,1,5.018332e-01,1,64,931,1
E,1,4.981668e-01,1,5.018332e-01,1,64,932,1
E,1,5.018332e-01,1,5.018332e-01,1,71,955,1
E,1,4.981668e-01,1,5.018332e-01,1,64,980,1
E,1,4.981668e-01,1,5.018332e-01,1,64,985,1
E,1,4.981668e-01,1,5.018332e-01,1,64,1009,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1033,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1162,1
E,1,4.981668e-01,1,5.018332e-01,1,64,1171,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1270,1
E,1,4.981668e-01,1,5.018332e-01,1,64,1307,1
E,1,4.981668e-01,1,5.018332e-01,1,64,1312,1
E,1,4.981668e-01,1,5.018332e-01,1,64,1317,1
E,1,4.981668e-01,1,5.018332e-01,1,64,1387,1
E,1,4.981668e-01,1,5.018332e-01,1,64,1517,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1532,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1622,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1630,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1665,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1719,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1756,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1760,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1761,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1797,1
E,1,4.981668e-01,1,5.018332e-01,1,64,1819,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1824,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1826,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1871,1
E,1,4.981668e-01,1,5.018332e-01,1,64,1883,1
E,1,5.018332e-01,1,5.018332e-01,1,71,1980,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2102,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2125,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2180,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2200,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2218,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2380,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2418,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2436,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2475,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2484,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2490,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2492,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2507,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2516,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2534,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2545,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2575,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2590,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2648,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2664,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2759,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2823,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2863,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2864,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2874,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2905,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2935,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2945,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2963,1
E,1,5.018332e-01,1,5.018332e-01,1,71,2981,1
E,1,4.981668e-01,1,5.018332e-01,1,64,2982,1
E,1,4.981668e-01,1,5.018332e-01,1,64,3033,1
E,1,5.018332e-01,1,5.018332e-01,1,71,3114,1
E,1,4.981668e-01,1,5.018332e-01,1,64,3240,1
E,1,5.018332e-01,1,5.018332e-01,1,71,3250,1
