species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00257,0.017165,0.305251,13
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5617,0.150497,0.858096,8
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0264,-0.000000,0.256059,8
saccharomyces_arboricola_h_6,SU7_0196,0.028962,0.501251,14
saccharomyces_eubayanus,DI49_1135,0.013023,0.290110,14
torulaspora_delbrueckii,TDEL_0C04950,0.281341,0.956834,10
zygosaccharomyces_rouxii,ZYRO0C16192g,0.210791,0.911626,9
zygosaccharomyces_bailii_isa1307,ZBAI_05540,0.018595,0.378519,12
zygosaccharomyces_bailii_isa1307,ZBAI_00388,0.120397,0.822029,10
_candida_glabrata,CAGL0K12254g,0.120397,0.822029,10
kazachstania_naganishii_cbs_8797,KNAG_0B01550,0.051083,0.629798,10
kazachstania_africana_cbs_2517,KAFR_0D02740,0.168206,0.989323,25
kluyveromyces_marxianus_dmku3_1042,KLMA_80284,0.748580,0.999836,17
lachancea_thermotolerans_cbs_6340,KLTH0E15334g,0.286353,0.963982,11
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADL330W,0.451342,0.996187,6
lachancea_lanzarotensis,LALA0_S01e02036g,0.061164,0.576904,12
eremothecium_cymbalariae_dbvpg_7215,Ecym_3474,0.096366,0.828868,13
eremothecium_sinecaudum,AW171_hschr2274,0.133014,0.924830,16
ashbya_gossypii,AGOS_ADL330W,0.451342,0.996187,6
kluyveromyces_lactis,KLLA0_B09592g,0.162686,0.967809,19
tetrapisispora_blattae_cbs_6284,TBLA_0A06590,0.010927,0.346457,23
tetrapisispora_phaffii_cbs_4417,TPHA_0A03620,0.094982,0.908829,22
vanderwaltozyma_polyspora_dsm_70294,Kpol_1065p23,0.094303,0.882661,19
naumovozyma_dairenensis_cbs_421,NDAI_0A07860,0.085046,0.889253,23
naumovozyma_castellii_cbs_4309,NCAS_0I01140,0.043773,0.669641,20
hanseniaspora_osmophila,AWRI3579_g2172,0.098971,0.954614,30
serendipita_indica_dsm_11827,PIIN_11750,0.083299,0.743699,11
allomyces_macrogynus_atcc_38327,AMAG_08327,0.423954,0.999194,21
allomyces_macrogynus_atcc_38327,AMAG_07432,0.497764,0.999691,23
melampsora_laricipopulina,MELLADRAFT_103884,0.078431,0.824265,20
trichophyton_rubrum_cbs_118892,TERG_07931,0.120397,0.822029,10
trichophyton_soudanense_cbs_452_61,H105_00817,0.120397,0.822029,10
exidia_glandulosa_hhb12029,EXIGLDRAFT_582682,0.621227,0.963103,4
neolentinus_lepideus_hhb14362_ss_1,NEOLEDRAFT_1132477,0.076358,0.733493,12
fibulorhizoctonia_sp_cbs_109695,FIBSPDRAFT_870115,0.031965,0.469664,9
laccaria_bicolor_s238n_h82,LACBIDRAFT_306149,0.058692,0.778287,23
tsuchiyaea_wingfieldii_cbs_7118,L198_06562,0.220161,0.992395,20
pisolithus_tinctorius_marx_270,M404DRAFT_78680,0.210791,0.911626,9
phlebiopsis_gigantea_11061_1_cr5_6,PHLGIDRAFT_127180,0.328773,0.996172,15
sistotremastrum_suecicum_hhb10207_ss_3,SISSUDRAFT_1047699,0.049462,0.649793,15
tremella_mesenterica_dsm_1558,TREMEDRAFT_65283,0.134560,0.979250,27
cryptococcus_neoformans,CNH00780,0.332915,0.999667,18
cryptococcus_gattii_vgiv_ind107,I308_06179,0.138898,0.956866,19
kwoniella_mangroviensis_cbs_8886,I204_03966,0.053850,0.821546,29
rhodotorula_toruloides_np11,RHTO_03164,0.585487,0.999836,17
trametes_cinnabarina,BN946_scf184799.g34,0.238517,0.969480,12
serendipita_vermifera_maff_305830,M408DRAFT_52823,0.332859,0.975656,9
ustilago_hordei,UHOR_00335,0.080197,0.837589,21
paxillus_rubicundulus_ve08_2h10,PAXRUDRAFT_832395,0.025667,0.525541,21
fomitopsis_pinicola_fp_58527_ss1,FOMPIDRAFT_133976,0.183102,0.740972,6
