aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,14,252,1
E,1,5.000000e-01,2,5.000000e-01,2,14,611,1
E,1,5.000000e-01,2,5.000000e-01,2,14,712,1
E,1,5.000000e-01,2,5.000000e-01,2,14,716,1
E,1,5.000000e-01,2,5.000000e-01,2,14,827,1
E,1,5.000000e-01,2,5.000000e-01,2,14,990,1
E,1,5.000000e-01,2,5.000000e-01,2,14,1047,1
E,1,5.000000e-01,2,5.000000e-01,2,14,1154,1
E,1,5.000000e-01,2,5.000000e-01,2,14,1196,1
E,1,5.000000e-01,2,5.000000e-01,2,14,1307,1
E,1,5.000000e-01,2,5.000000e-01,2,14,1572,1
E,1,5.000000e-01,2,5.000000e-01,2,14,1573,1
E,1,5.000000e-01,2,5.000000e-01,2,14,1736,1
E,1,5.000000e-01,2,5.000000e-01,2,14,1827,1
E,2,2.500000e-01,2,5.000000e-01,1,12,101,0
E,2,2.500000e-01,2,5.000000e-01,1,12,213,0
E,2,2.500000e-01,2,5.000000e-01,1,12,238,0
E,2,5.000000e-01,1,5.000000e-01,1,6,432,0
E,2,2.500000e-01,2,5.000000e-01,1,12,433,0
E,2,5.000000e-01,1,5.000000e-01,1,6,648,0
E,2,5.000000e-01,1,5.000000e-01,1,6,660,0
E,2,2.500000e-01,2,5.000000e-01,1,12,753,0
E,2,2.500000e-01,2,5.000000e-01,1,12,781,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1156,0
E,2,5.000000e-01,1,5.000000e-01,1,6,1193,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1194,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1195,0
E,2,5.000000e-01,1,5.000000e-01,1,6,1255,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1377,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1837,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1853,0
E,2,5.000000e-01,1,5.000000e-01,1,6,1863,0
E,3,3.750000e-01,2,3.750000e-01,2,19,212,1
E,3,3.750000e-01,2,3.750000e-01,2,19,214,1
E,3,3.750000e-01,2,3.750000e-01,2,19,350,1
E,3,1.250000e-01,2,3.750000e-01,2,4,463,1
E,3,3.750000e-01,2,3.750000e-01,2,19,464,1
E,3,3.750000e-01,2,3.750000e-01,2,19,465,1
E,3,1.250000e-01,2,3.750000e-01,2,4,467,1
E,3,3.750000e-01,2,3.750000e-01,2,19,587,1
E,3,3.750000e-01,2,3.750000e-01,2,19,674,1
E,3,3.750000e-01,2,3.750000e-01,2,19,717,1
E,3,1.250000e-01,2,3.750000e-01,2,4,808,1
E,3,3.750000e-01,2,3.750000e-01,2,19,925,1
E,3,1.250000e-01,2,3.750000e-01,2,4,1000,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1044,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1141,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1203,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1315,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1387,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1391,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1397,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1587,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1740,1
E,3,3.750000e-01,2,3.750000e-01,2,19,1833,1
E,4,3.750000e-01,1,3.750000e-01,1,9,17,2
E,4,2.500000e-01,2,3.750000e-01,1,13,39,2
E,4,6.250000e-02,2,3.750000e-01,1,2,54,2
E,4,2.500000e-01,2,3.750000e-01,1,13,150,2
E,4,2.500000e-01,2,3.750000e-01,1,13,204,2
E,4,2.500000e-01,2,3.750000e-01,1,13,242,2
E,4,2.500000e-01,2,3.750000e-01,1,13,385,2
E,4,6.250000e-02,2,3.750000e-01,1,2,474,2
E,4,2.500000e-01,2,3.750000e-01,1,13,566,2
E,4,2.500000e-01,2,3.750000e-01,1,13,573,2
E,4,2.500000e-01,2,3.750000e-01,1,13,640,2
E,4,3.750000e-01,1,3.750000e-01,1,9,693,2
E,4,3.750000e-01,1,3.750000e-01,1,9,837,2
E,4,3.750000e-01,1,3.750000e-01,1,9,1191,2
E,4,2.500000e-01,2,3.750000e-01,1,13,1273,2
E,4,3.750000e-01,1,3.750000e-01,1,9,1396,2
E,4,2.500000e-01,2,3.750000e-01,1,13,1461,2
E,4,3.750000e-01,1,3.750000e-01,1,9,1487,2
E,4,2.500000e-01,2,3.750000e-01,1,13,1526,2
E,4,2.500000e-01,2,3.750000e-01,1,13,1586,2
E,4,2.500000e-01,2,3.750000e-01,1,13,1756,2
E,4,3.750000e-01,1,3.750000e-01,1,9,1777,2
E,4,3.750000e-01,1,3.750000e-01,1,9,1787,2
E,4,3.750000e-01,1,3.750000e-01,1,9,1855,2
E,5,1.562500e-01,2,3.125000e-01,2,11,25,4
E,5,3.125000e-01,2,3.125000e-01,2,24,34,4
E,5,1.562500e-01,2,3.125000e-01,2,11,50,4
E,5,1.562500e-01,2,3.125000e-01,2,11,152,4
E,5,3.125000e-01,2,3.125000e-01,2,24,332,4
E,5,3.125000e-01,2,3.125000e-01,2,24,338,4
E,5,3.125000e-01,2,3.125000e-01,2,24,455,4
E,5,3.125000e-01,2,3.125000e-01,2,24,470,4
E,5,3.125000e-01,2,3.125000e-01,2,24,630,4
E,5,3.125000e-01,2,3.125000e-01,2,24,639,4
E,5,3.125000e-02,2,3.125000e-01,2,1,645,4
E,5,3.125000e-01,2,3.125000e-01,2,24,646,4
E,5,3.125000e-01,2,3.125000e-01,2,24,659,4
E,5,1.562500e-01,2,3.125000e-01,2,11,662,4
