aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,42,54,0
E,1,5.000000e-01,2,5.000000e-01,2,42,220,0
E,1,5.000000e-01,2,5.000000e-01,2,42,379,0
E,1,5.000000e-01,2,5.000000e-01,2,42,470,1
E,1,5.000000e-01,2,5.000000e-01,2,42,496,1
E,1,5.000000e-01,2,5.000000e-01,2,42,634,1
E,1,5.000000e-01,2,5.000000e-01,2,42,814,1
E,1,5.000000e-01,2,5.000000e-01,2,42,954,1
E,1,5.000000e-01,2,5.000000e-01,2,42,1049,0
E,1,5.000000e-01,2,5.000000e-01,2,42,1188,0
E,1,5.000000e-01,2,5.000000e-01,2,42,1280,1
E,1,5.000000e-01,2,5.000000e-01,2,42,1361,1
E,1,5.000000e-01,2,5.000000e-01,2,42,1415,1
E,1,5.000000e-01,2,5.000000e-01,2,42,1434,1
E,1,5.000000e-01,2,5.000000e-01,2,42,1724,1
E,1,5.000000e-01,2,5.000000e-01,2,42,1758,0
E,1,5.000000e-01,2,5.000000e-01,2,42,1947,0
E,1,5.000000e-01,2,5.000000e-01,2,42,1989,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2161,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2252,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2274,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2290,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2297,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2304,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2318,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2342,1
E,1,5.000000e-01,2,5.000000e-01,2,42,2350,1
E,1,5.000000e-01,2,5.000000e-01,2,42,2502,1
E,1,5.000000e-01,2,5.000000e-01,2,42,2577,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2643,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2817,0
E,1,5.000000e-01,2,5.000000e-01,2,42,2849,1
E,1,5.000000e-01,2,5.000000e-01,2,42,2850,1
E,1,5.000000e-01,2,5.000000e-01,2,42,2979,0
E,1,5.000000e-01,2,5.000000e-01,2,42,3033,0
E,1,5.000000e-01,2,5.000000e-01,2,42,3086,1
E,1,5.000000e-01,2,5.000000e-01,2,42,3137,0
E,1,5.000000e-01,2,5.000000e-01,2,42,3158,0
E,1,5.000000e-01,2,5.000000e-01,2,42,3197,0
E,1,5.000000e-01,2,5.000000e-01,2,42,3212,1
