species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00410,0.095520,0.999591,116
saccharomyces_eubayanus,DI49_0119,0.091586,0.999674,124
saccharomyces_arboricola_h_6,SU7_0081,0.068469,0.993717,116
naumovozyma_castellii_cbs_4309,NCAS_0E02640,0.164640,0.999998,106
naumovozyma_dairenensis_cbs_421,NDAI_0E04300,0.297891,1.000000,137
tetrapisispora_phaffii_cbs_4417,TPHA_0E00890,0.268003,1.000000,124
tetrapisispora_blattae_cbs_6284,TBLA_0D00640,0.269837,1.000000,135
kazachstania_africana_cbs_2517,KAFR_0L01710,0.119147,0.999988,126
zygosaccharomyces_rouxii,ZYRO0B03234g,0.123757,0.999999,136
torulaspora_delbrueckii,TDEL_0C01600,0.057262,0.991919,134
zygosaccharomyces_bailii_isa1307,ZBAI_04683,0.071238,0.998160,132
zygosaccharomyces_bailii_isa1307,ZBAI_06728,0.055908,0.989681,132
eremothecium_sinecaudum,AW171_hschr84688,0.135638,0.999994,123
eremothecium_cymbalariae_dbvpg_7215,Ecym_4688,0.062054,0.979598,105
ashbya_gossypii,AGOS_ACR228C,0.025710,0.672328,109
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriACR228C,0.014371,0.339225,109
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_176586,0.393598,0.999984,25
kuraishia_capsulata_cbs_1993,KUCA_T00001889001,0.054684,0.969385,110
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_25952,0.104063,0.987876,65
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_163431,0.076195,0.995319,109
wickerhamomyces_ciferrii,BN7_4779,0.344761,1.000000,122
cyberlindnera_jadinii,BN1211_0555,0.117103,0.999913,108
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_16592,0.374681,1.000000,64
ogataea_polymorpha,OGAPODRAFT_87610,0.306467,0.998966,26
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_29015,0.112120,0.999526,74
ogataea_parapolymorpha_dl_1,HPODL_05235,0.250039,0.999993,54
yarrowia_lipolytica,YALI0_F14179g,0.033911,0.812006,107
geotrichum_candidum,BN980_GECA03s05125g,0.034494,0.837650,111
sugiyamaella_lignohabitans,AWJ20_148,0.125213,0.999970,112
schizosaccharomyces_japonicus,SJAG_04745,0.091317,0.998866,109
schizosaccharomyces_octosporus,SOCG_04153,0.075010,0.997813,122
schizosaccharomyces_japonicus,SJAG_00773,0.073142,0.995916,115
schizosaccharomyces_cryophilus,SPOG_00389,0.135509,0.999998,124
