aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,2.672747e-01,1,7.327253e-01,1,6,36,0
E,1,7.327253e-01,1,7.327253e-01,1,28,41,0
E,1,7.327253e-01,1,7.327253e-01,1,28,78,0
E,1,2.672747e-01,1,7.327253e-01,1,6,98,0
E,1,7.327253e-01,1,7.327253e-01,1,28,106,0
E,1,7.327253e-01,1,7.327253e-01,1,28,132,0
E,1,7.327253e-01,1,7.327253e-01,1,28,186,0
E,1,7.327253e-01,1,7.327253e-01,1,28,531,0
E,1,7.327253e-01,1,7.327253e-01,1,28,652,0
E,1,7.327253e-01,1,7.327253e-01,1,28,697,0
E,1,7.327253e-01,1,7.327253e-01,1,28,699,0
E,1,2.672747e-01,1,7.327253e-01,1,6,703,0
E,1,7.327253e-01,1,7.327253e-01,1,28,761,0
E,1,2.672747e-01,1,7.327253e-01,1,6,914,0
E,1,7.327253e-01,1,7.327253e-01,1,28,957,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1015,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1054,0
E,1,2.672747e-01,1,7.327253e-01,1,6,1279,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1414,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1552,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1619,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1717,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1750,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1809,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1876,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1893,0
E,1,7.327253e-01,1,7.327253e-01,1,28,1969,0
E,1,2.672747e-01,1,7.327253e-01,1,6,2145,0
E,1,7.327253e-01,1,7.327253e-01,1,28,2337,0
E,1,7.327253e-01,1,7.327253e-01,1,28,2383,0
E,1,7.327253e-01,1,7.327253e-01,1,28,2563,0
E,1,7.327253e-01,1,7.327253e-01,1,28,2786,0
E,1,7.327253e-01,1,7.327253e-01,1,28,2847,0
E,1,7.327253e-01,1,7.327253e-01,1,28,2874,0
E,2,5.368863e-01,1,5.368863e-01,1,20,8,2
E,2,3.916779e-01,1,5.368863e-01,1,19,22,2
E,2,5.368863e-01,1,5.368863e-01,1,20,103,2
E,2,3.916779e-01,1,5.368863e-01,1,19,179,2
E,2,3.916779e-01,1,5.368863e-01,1,19,367,2
E,2,3.916779e-01,1,5.368863e-01,1,19,466,2
E,2,3.916779e-01,1,5.368863e-01,1,19,509,2
E,2,5.368863e-01,1,5.368863e-01,1,20,550,2
E,2,5.368863e-01,1,5.368863e-01,1,20,636,2
E,2,5.368863e-01,1,5.368863e-01,1,20,675,2
E,2,3.916779e-01,1,5.368863e-01,1,19,687,2
E,2,5.368863e-01,1,5.368863e-01,1,20,790,2
E,2,5.368863e-01,1,5.368863e-01,1,20,794,2
E,2,5.368863e-01,1,5.368863e-01,1,20,845,2
E,2,5.368863e-01,1,5.368863e-01,1,20,848,2
E,2,3.916779e-01,1,5.368863e-01,1,19,880,2
E,2,5.368863e-01,1,5.368863e-01,1,20,881,2
E,2,3.916779e-01,1,5.368863e-01,1,19,958,2
E,2,5.368863e-01,1,5.368863e-01,1,20,990,2
E,2,5.368863e-01,1,5.368863e-01,1,20,1007,2
E,2,5.368863e-01,1,5.368863e-01,1,20,1123,2
E,2,3.916779e-01,1,5.368863e-01,1,19,1364,2
E,2,5.368863e-01,1,5.368863e-01,1,20,1392,2
E,2,5.368863e-01,1,5.368863e-01,1,20,1484,2
E,2,5.368863e-01,1,5.368863e-01,1,20,1823,2
E,2,5.368863e-01,1,5.368863e-01,1,20,1909,2
E,2,3.916779e-01,1,5.368863e-01,1,19,1957,2
E,2,3.916779e-01,1,5.368863e-01,1,19,1988,2
E,2,5.368863e-01,1,5.368863e-01,1,20,2139,2
E,2,7.143578e-02,1,5.368863e-01,1,1,2195,2
E,2,3.916779e-01,1,5.368863e-01,1,19,2235,2
E,2,3.916779e-01,1,5.368863e-01,1,19,2285,2
E,2,3.916779e-01,1,5.368863e-01,1,19,2414,2
E,2,3.916779e-01,1,5.368863e-01,1,19,2450,2
E,2,3.916779e-01,1,5.368863e-01,1,19,2494,2
E,2,5.368863e-01,1,5.368863e-01,1,20,2632,2
E,2,3.916779e-01,1,5.368863e-01,1,19,2642,2
E,2,3.916779e-01,1,5.368863e-01,1,19,2842,2
E,2,3.916779e-01,1,5.368863e-01,1,19,2845,2
E,2,5.368863e-01,1,5.368863e-01,1,20,3001,2
E,3,3.933902e-01,1,4.304884e-01,1,16,6,3
E,3,4.304884e-01,1,4.304884e-01,1,31,34,3
E,3,4.304884e-01,1,4.304884e-01,1,31,68,3
E,3,4.304884e-01,1,4.304884e-01,1,31,80,3
E,3,4.304884e-01,1,4.304884e-01,1,31,87,3
E,3,4.304884e-01,1,4.304884e-01,1,31,89,3
E,3,3.933902e-01,1,4.304884e-01,1,16,120,3
E,3,1.570284e-01,1,4.304884e-01,1,12,130,3
E,3,3.933902e-01,1,4.304884e-01,1,16,148,3
E,3,4.304884e-01,1,4.304884e-01,1,31,223,3
E,3,4.304884e-01,1,4.304884e-01,1,31,237,3
E,3,3.933902e-01,1,4.304884e-01,1,16,307,3
E,3,3.933902e-01,1,4.304884e-01,1,16,334,3
E,3,4.304884e-01,1,4.304884e-01,1,31,388,3
E,3,4.304884e-01,1,4.304884e-01,1,31,395,3
E,3,4.304884e-01,1,4.304884e-01,1,31,520,3
E,3,1.570284e-01,1,4.304884e-01,1,12,524,3
E,3,3.933902e-01,1,4.304884e-01,1,16,594,3
E,3,4.304884e-01,1,4.304884e-01,1,31,603,3
E,3,4.304884e-01,1,4.304884e-01,1,31,605,3
E,3,1.570284e-01,1,4.304884e-01,1,12,643,3
E,3,4.304884e-01,1,4.304884e-01,1,31,726,3
E,3,4.304884e-01,1,4.304884e-01,1,31,830,3
E,3,4.304884e-01,1,4.304884e-01,1,31,955,3
E,3,3.933902e-01,1,4.304884e-01,1,16,1018,3
E,3,1.570284e-01,1,4.304884e-01,1,12,1144,3
E,3,1.570284e-01,1,4.304884e-01,1,12,1246,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1253,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1272,3
E,3,3.933902e-01,1,4.304884e-01,1,16,1345,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1349,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1350,3
E,3,1.570284e-01,1,4.304884e-01,1,12,1401,3
E,3,1.570284e-01,1,4.304884e-01,1,12,1405,3
E,3,1.570284e-01,1,4.304884e-01,1,12,1412,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1423,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1543,3
E,3,3.933902e-01,1,4.304884e-01,1,16,1735,3
E,3,3.933902e-01,1,4.304884e-01,1,16,1736,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1789,3
E,3,3.933902e-01,1,4.304884e-01,1,16,1803,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1861,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1956,3
E,3,4.304884e-01,1,4.304884e-01,1,31,1990,3
E,3,4.304884e-01,1,4.304884e-01,1,31,2013,3
E,3,3.933902e-01,1,4.304884e-01,1,16,2053,3
E,3,1.570284e-01,1,4.304884e-01,1,12,2198,3
E,3,4.304884e-01,1,4.304884e-01,1,31,2212,3
E,3,1.570284e-01,1,4.304884e-01,1,12,2325,3
E,3,3.933902e-01,1,4.304884e-01,1,16,2338,3
E,3,3.933902e-01,1,4.304884e-01,1,16,2408,3
E,3,3.933902e-01,1,4.304884e-01,1,16,2479,3
E,3,1.570284e-01,1,4.304884e-01,1,12,2561,3
E,3,4.304884e-01,1,4.304884e-01,1,31,2569,3
E,3,3.933902e-01,1,4.304884e-01,1,16,2574,3
E,3,1.570284e-01,1,4.304884e-01,1,12,2592,3
E,3,4.304884e-01,1,4.304884e-01,1,31,2664,3
E,3,4.304884e-01,1,4.304884e-01,1,31,2788,3
E,3,4.304884e-01,1,4.304884e-01,1,31,2969,3
E,4,2.301174e-01,1,4.205730e-01,1,17,53,2
E,4,2.301174e-01,1,4.205730e-01,1,17,93,2
E,4,4.205730e-01,1,4.205730e-01,1,26,105,2
E,4,4.205730e-01,1,4.205730e-01,1,26,135,2
E,4,4.205730e-01,1,4.205730e-01,1,26,178,2
E,4,2.882469e-01,1,4.205730e-01,1,17,182,2
E,4,2.301174e-01,1,4.205730e-01,1,17,188,2
E,4,2.882469e-01,1,4.205730e-01,1,17,205,2
E,4,2.882469e-01,1,4.205730e-01,1,17,263,2
E,4,4.205730e-01,1,4.205730e-01,1,26,295,2
E,4,4.205730e-01,1,4.205730e-01,1,26,306,2
E,4,4.205730e-01,1,4.205730e-01,1,26,394,2
E,4,4.205730e-01,1,4.205730e-01,1,26,458,2
E,4,2.882469e-01,1,4.205730e-01,1,17,482,2
E,4,2.301174e-01,1,4.205730e-01,1,17,484,2
E,4,2.301174e-01,1,4.205730e-01,1,17,539,2
E,4,5.595963e-02,1,4.205730e-01,1,3,627,2
E,4,2.301174e-01,1,4.205730e-01,1,17,724,2
E,4,2.301174e-01,1,4.205730e-01,1,17,736,2
E,4,4.205730e-01,1,4.205730e-01,1,26,738,2
E,4,4.205730e-01,1,4.205730e-01,1,26,852,2
E,4,4.205730e-01,1,4.205730e-01,1,26,940,2
E,4,2.882469e-01,1,4.205730e-01,1,17,1020,2
E,4,4.205730e-01,1,4.205730e-01,1,26,1077,2
E,4,4.205730e-01,1,4.205730e-01,1,26,1196,2
E,4,2.301174e-01,1,4.205730e-01,1,17,1277,2
E,4,2.882469e-01,1,4.205730e-01,1,17,1288,2
E,4,4.205730e-01,1,4.205730e-01,1,26,1344,2
E,4,2.301174e-01,1,4.205730e-01,1,17,1365,2
E,4,5.595963e-02,1,4.205730e-01,1,3,1397,2
E,4,2.301174e-01,1,4.205730e-01,1,17,1429,2
E,4,2.882469e-01,1,4.205730e-01,1,17,1455,2
E,4,2.301174e-01,1,4.205730e-01,1,17,1499,2
E,4,2.301174e-01,1,4.205730e-01,1,17,1570,2
E,4,4.205730e-01,1,4.205730e-01,1,26,1575,2
E,4,4.205730e-01,1,4.205730e-01,1,26,1579,2
