species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00059,0.231049,0.937583,3
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0015,0.231049,0.937583,3
saccharomyces_eubayanus,DI49_0015,0.346574,0.797112,4
kazachstania_africana_cbs_2517,KAFR_0I00260,0.597253,0.937583,3
_candida_glabrata,CAGL0M12232g,-0.000000,0.263672,6
vanderwaltozyma_polyspora_dsm_70294,Kpol_1049p4,-0.000000,0.750000,2
kazachstania_naganishii_cbs_8797,KNAG_0E04120,0.173287,0.656445,4
naumovozyma_castellii_cbs_4309,NCAS_0A07510,-0.000000,0.375000,3
naumovozyma_dairenensis_cbs_421,NDAI_0H01970,-0.000000,0.750000,2
kluyveromyces_lactis,KLLA0_A03553g,NaN,NaN,NaN
torulaspora_delbrueckii,TDEL_0H04280,0.183102,0.820384,6
kluyveromyces_marxianus_dmku3_1042,KLMA_30591,NaN,NaN,NaN
ashbya_gossypii,AGOS_ADR398W,0.272339,0.947755,11
eremothecium_sinecaudum,AW171_hschr42451,-0.000000,0.263672,6
lachancea_lanzarotensis,LALA0_S14e01266g,-0.000000,0.750000,2
lachancea_thermotolerans_cbs_6340,KLTH0D00968g,-0.000000,0.375000,3
eremothecium_cymbalariae_dbvpg_7215,Ecym_5022,0.231049,0.937583,3
zygosaccharomyces_rouxii,ZYRO0C00858g,-0.000000,0.234375,5
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADR398W,0.255966,0.923086,7
zygosaccharomyces_bailii_isa1307,ZBAI_06784,0.566866,0.999130,6
tetrapisispora_phaffii_cbs_4417,TPHA_0H02970,-0.000000,1.000000,1
tetrapisispora_blattae_cbs_6284,TBLA_0A04430,0.346574,0.750000,2
hanseniaspora_osmophila,AWRI3579_g226,0.045654,0.729426,41
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_51108,NaN,NaN,NaN
cyberlindnera_jadinii,BN1211_4545,0.183102,0.820384,6
wickerhamomyces_ciferrii,BN7_4887,0.447940,0.984642,4
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_36924,0.794513,0.984642,4
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_26417,0.346574,0.750000,2
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_71592,0.255966,0.923086,7
pichia_kudriavzevii,JL09_g305,0.209326,0.881620,11
sugiyamaella_lignohabitans,AWJ20_4316,0.124305,0.731198,12
