aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,45,110,0
E,1,5.000000e-01,2,5.000000e-01,2,45,117,0
E,1,5.000000e-01,2,5.000000e-01,2,45,172,0
E,1,5.000000e-01,2,5.000000e-01,2,45,182,0
E,1,5.000000e-01,2,5.000000e-01,2,45,196,0
E,1,5.000000e-01,2,5.000000e-01,2,45,204,0
E,1,5.000000e-01,2,5.000000e-01,2,45,231,0
E,1,5.000000e-01,2,5.000000e-01,2,45,270,0
E,1,5.000000e-01,2,5.000000e-01,2,45,363,0
E,1,5.000000e-01,2,5.000000e-01,2,45,413,0
E,1,5.000000e-01,2,5.000000e-01,2,45,480,0
E,1,5.000000e-01,2,5.000000e-01,2,45,499,0
E,1,5.000000e-01,2,5.000000e-01,2,45,573,0
E,1,5.000000e-01,2,5.000000e-01,2,45,579,0
E,1,5.000000e-01,2,5.000000e-01,2,45,945,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1011,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1015,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1026,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1027,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1031,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1039,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1232,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1330,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1445,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1568,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1575,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1700,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1772,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1845,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1931,0
E,1,5.000000e-01,2,5.000000e-01,2,45,1976,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2006,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2061,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2095,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2100,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2114,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2149,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2212,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2244,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2267,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2272,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2277,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2418,0
E,1,5.000000e-01,2,5.000000e-01,2,45,2547,0
