aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,55,186,1
E,1,5.000000e-01,2,5.000000e-01,2,55,366,1
E,1,5.000000e-01,2,5.000000e-01,2,55,371,1
E,1,5.000000e-01,2,5.000000e-01,2,55,444,1
E,1,5.000000e-01,2,5.000000e-01,2,55,485,1
E,1,5.000000e-01,2,5.000000e-01,2,55,579,1
E,1,5.000000e-01,2,5.000000e-01,2,55,684,1
E,1,5.000000e-01,2,5.000000e-01,2,55,841,1
E,1,5.000000e-01,2,5.000000e-01,2,55,844,1
E,1,5.000000e-01,2,5.000000e-01,2,55,854,1
E,1,5.000000e-01,2,5.000000e-01,2,55,887,1
E,1,5.000000e-01,2,5.000000e-01,2,55,888,1
E,1,5.000000e-01,2,5.000000e-01,2,55,989,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1150,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1342,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1354,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1387,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1510,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1592,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1693,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1836,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1841,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1860,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1896,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1922,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1991,1
E,1,5.000000e-01,2,5.000000e-01,2,55,1993,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2074,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2144,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2234,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2517,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2546,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2628,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2705,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2798,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2800,1
E,1,5.000000e-01,2,5.000000e-01,2,55,2908,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3009,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3010,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3011,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3012,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3013,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3029,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3051,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3066,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3069,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3133,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3183,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3214,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3237,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3408,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3437,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3522,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3643,1
E,1,5.000000e-01,2,5.000000e-01,2,55,3714,1
E,2,5.000000e-01,1,5.000000e-01,1,38,6,1
E,2,2.500000e-01,2,5.000000e-01,1,39,136,1
E,2,2.500000e-01,2,5.000000e-01,1,39,142,1
E,2,5.000000e-01,1,5.000000e-01,1,38,172,1
E,2,2.500000e-01,2,5.000000e-01,1,39,178,1
E,2,5.000000e-01,1,5.000000e-01,1,38,183,1
E,2,5.000000e-01,1,5.000000e-01,1,38,185,1
E,2,5.000000e-01,1,5.000000e-01,1,38,210,1
E,2,5.000000e-01,1,5.000000e-01,1,38,267,1
E,2,2.500000e-01,2,5.000000e-01,1,39,280,1
E,2,2.500000e-01,2,5.000000e-01,1,39,501,1
E,2,2.500000e-01,2,5.000000e-01,1,39,701,1
E,2,5.000000e-01,1,5.000000e-01,1,38,750,1
E,2,5.000000e-01,1,5.000000e-01,1,38,835,1
E,2,5.000000e-01,1,5.000000e-01,1,38,859,1
E,2,5.000000e-01,1,5.000000e-01,1,38,879,1
