aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,13,49,1
E,1,5.000000e-01,2,5.000000e-01,2,13,67,1
E,1,5.000000e-01,2,5.000000e-01,2,13,214,1
E,1,5.000000e-01,2,5.000000e-01,2,13,306,1
E,1,5.000000e-01,2,5.000000e-01,2,13,352,1
E,1,5.000000e-01,2,5.000000e-01,2,13,611,1
E,1,5.000000e-01,2,5.000000e-01,2,13,674,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1088,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1253,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1337,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1405,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1433,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1503,1
E,2,2.500000e-01,2,5.000000e-01,1,5,203,0
E,2,5.000000e-01,1,5.000000e-01,1,3,308,0
E,2,5.000000e-01,1,5.000000e-01,1,3,609,0
E,2,2.500000e-01,2,5.000000e-01,1,5,692,0
E,2,2.500000e-01,2,5.000000e-01,1,5,1108,0
E,2,2.500000e-01,2,5.000000e-01,1,5,1126,0
E,2,2.500000e-01,2,5.000000e-01,1,5,1291,0
E,2,5.000000e-01,1,5.000000e-01,1,3,1381,0
E,3,3.750000e-01,2,3.750000e-01,2,5,15,2
E,3,3.750000e-01,2,3.750000e-01,2,5,109,2
E,3,1.250000e-01,2,3.750000e-01,2,3,573,2
E,3,1.250000e-01,2,3.750000e-01,2,3,841,2
E,3,3.750000e-01,2,3.750000e-01,2,5,887,2
E,3,3.750000e-01,2,3.750000e-01,2,5,1216,2
E,3,3.750000e-01,2,3.750000e-01,2,5,1298,2
E,3,1.250000e-01,2,3.750000e-01,2,3,1380,2
E,4,2.500000e-01,2,3.750000e-01,1,13,87,3
E,4,3.750000e-01,1,3.750000e-01,1,4,156,3
E,4,2.500000e-01,2,3.750000e-01,1,13,351,3
E,4,2.500000e-01,2,3.750000e-01,1,13,656,3
E,4,2.500000e-01,2,3.750000e-01,1,13,738,3
E,4,2.500000e-01,2,3.750000e-01,1,13,743,3
E,4,2.500000e-01,2,3.750000e-01,1,13,863,3
E,4,2.500000e-01,2,3.750000e-01,1,13,975,3
E,4,2.500000e-01,2,3.750000e-01,1,13,1005,3
E,4,2.500000e-01,2,3.750000e-01,1,13,1156,3
E,4,6.250000e-02,2,3.750000e-01,1,1,1164,3
E,4,2.500000e-01,2,3.750000e-01,1,13,1233,3
E,4,3.750000e-01,1,3.750000e-01,1,4,1252,3
E,4,2.500000e-01,2,3.750000e-01,1,13,1332,3
E,4,2.500000e-01,2,3.750000e-01,1,13,1350,3
E,4,2.500000e-01,2,3.750000e-01,1,13,1378,3
E,4,3.750000e-01,1,3.750000e-01,1,4,1497,3
E,4,3.750000e-01,1,3.750000e-01,1,4,1507,3
E,5,1.562500e-01,2,3.125000e-01,2,12,5,4
E,5,3.125000e-01,2,3.125000e-01,2,17,132,4
E,5,3.125000e-01,2,3.125000e-01,2,17,185,4
E,5,3.125000e-01,2,3.125000e-01,2,17,189,4
E,5,3.125000e-01,2,3.125000e-01,2,17,194,4
E,5,3.125000e-01,2,3.125000e-01,2,17,200,4
E,5,3.125000e-01,2,3.125000e-01,2,17,213,4
E,5,3.125000e-01,2,3.125000e-01,2,17,234,4
E,5,3.125000e-01,2,3.125000e-01,2,17,296,4
E,5,3.125000e-01,2,3.125000e-01,2,17,302,4
E,5,1.562500e-01,2,3.125000e-01,2,12,428,4
E,5,3.125000e-01,2,3.125000e-01,2,17,429,4
E,5,3.125000e-01,2,3.125000e-01,2,17,495,4
E,5,1.562500e-01,2,3.125000e-01,2,12,545,4
E,5,1.562500e-01,2,3.125000e-01,2,12,594,4
E,5,3.125000e-01,2,3.125000e-01,2,17,825,4
E,5,1.562500e-01,2,3.125000e-01,2,12,872,4
E,5,1.562500e-01,2,3.125000e-01,2,12,878,4
E,5,1.562500e-01,2,3.125000e-01,2,12,920,4
E,5,3.125000e-01,2,3.125000e-01,2,17,947,4
E,5,3.125000e-01,2,3.125000e-01,2,17,950,4
E,5,1.562500e-01,2,3.125000e-01,2,12,1020,4
E,5,1.562500e-01,2,3.125000e-01,2,12,1195,4
E,5,1.562500e-01,2,3.125000e-01,2,12,1213,4
E,5,3.125000e-01,2,3.125000e-01,2,17,1292,4
E,5,3.125000e-01,2,3.125000e-01,2,17,1313,4
E,5,3.125000e-01,2,3.125000e-01,2,17,1320,4
E,5,1.562500e-01,2,3.125000e-01,2,12,1393,4
E,5,1.562500e-01,2,3.125000e-01,2,12,1453,4
E,6,3.125000e-01,1,3.125000e-01,1,11,4,3
E,6,9.375000e-02,2,3.125000e-01,1,4,64,3
E,6,2.343750e-01,2,3.125000e-01,1,9,89,3
E,6,3.125000e-01,1,3.125000e-01,1,11,178,3
E,6,2.343750e-01,2,3.125000e-01,1,9,216,3
E,6,9.375000e-02,2,3.125000e-01,1,4,260,3
E,6,3.125000e-01,1,3.125000e-01,1,11,323,3
E,6,3.125000e-01,1,3.125000e-01,1,11,330,3
E,6,1.562500e-02,2,3.125000e-01,1,2,374,3
E,6,9.375000e-02,2,3.125000e-01,1,4,464,3
E,6,2.343750e-01,2,3.125000e-01,1,9,509,3
E,6,3.125000e-01,1,3.125000e-01,1,11,610,3
E,6,3.125000e-01,1,3.125000e-01,1,11,698,3
E,6,3.125000e-01,1,3.125000e-01,1,11,746,3
E,6,2.343750e-01,2,3.125000e-01,1,9,774,3
E,6,9.375000e-02,2,3.125000e-01,1,4,798,3
E,6,2.343750e-01,2,3.125000e-01,1,9,870,3
E,6,2.343750e-01,2,3.125000e-01,1,9,967,3
E,6,2.343750e-01,2,3.125000e-01,1,9,1000,3
E,6,3.125000e-01,1,3.125000e-01,1,11,1039,3
E,6,2.343750e-01,2,3.125000e-01,1,9,1131,3
E,6,1.562500e-02,2,3.125000e-01,1,2,1139,3
E,6,3.125000e-01,1,3.125000e-01,1,11,1251,3
E,6,2.343750e-01,2,3.125000e-01,1,9,1327,3
E,6,3.125000e-01,1,3.125000e-01,1,11,1417,3
E,6,3.125000e-01,1,3.125000e-01,1,11,1495,3
E,7,2.734375e-01,2,2.734375e-01,2,11,104,3
E,7,1.640625e-01,2,2.734375e-01,2,13,122,3
E,7,1.640625e-01,2,2.734375e-01,2,13,170,3
E,7,2.734375e-01,2,2.734375e-01,2,11,181,3
E,7,1.640625e-01,2,2.734375e-01,2,13,208,3
E,7,2.734375e-01,2,2.734375e-01,2,11,220,3
E,7,2.734375e-01,2,2.734375e-01,2,11,354,3
E,7,1.640625e-01,2,2.734375e-01,2,13,660,3
