species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00437,-0.000000,0.336376,21
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0094,-0.000000,0.336376,21
saccharomyces_arboricola_h_6,SU7_0059,0.011433,0.673633,26
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5445,0.030278,0.849422,24
saccharomyces_eubayanus,DI49_0093,0.040864,0.930305,31
saccharomyces_kudriavzevii_ifo_1802,SKUD_149502,0.054251,0.937205,24
tetrapisispora_phaffii_cbs_4417,TPHA_0E00670,0.088010,0.942839,14
kazachstania_naganishii_cbs_8797,KNAG_0C04380,-0.000000,0.322361,23
kazachstania_africana_cbs_2517,KAFR_0G01150,0.004766,0.496975,20
naumovozyma_castellii_cbs_4309,NCAS_0E02410,-0.000000,0.322361,23
naumovozyma_dairenensis_cbs_421,NDAI_0E03980,0.015881,0.714517,22
vanderwaltozyma_polyspora_dsm_70294,Kpol_1018p112,0.135840,0.993812,21
torulaspora_delbrueckii,TDEL_0C02890,-0.000000,0.418945,13
tetrapisispora_blattae_cbs_6284,TBLA_0F01450,0.008682,0.617173,21
_candida_glabrata,CAGL0M09537g,0.026193,0.811614,21
lachancea_lanzarotensis,LALA0_S01e05886g,0.067537,0.923820,16
lachancea_thermotolerans_cbs_6340,KLTH0C05830g,0.552943,0.998482,10
zygosaccharomyces_rouxii,ZYRO0E02222g,0.013126,0.667826,17
zygosaccharomyces_bailii_isa1307,ZBAI_08341,0.072975,0.875173,7
zygosaccharomyces_bailii_isa1307,ZBAI_03335,0.271132,0.992592,8
kluyveromyces_marxianus_dmku3_1042,KLMA_70146,0.019150,0.737483,20
kluyveromyces_lactis,KLLA0_E06777g,0.008682,0.617173,21
eremothecium_cymbalariae_dbvpg_7215,Ecym_7126,0.067344,0.907934,13
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAGL278C,0.552943,0.998482,10
ashbya_gossypii,AGOS_AGL278C,0.339788,0.999395,11
eremothecium_sinecaudum,AW171_hschr42365,0.067537,0.923820,16
hanseniaspora_osmophila,AWRI3579_g3025,0.102113,0.984187,22
hanseniaspora_opuntiae,AWRI3578_g1329,0.013855,0.735411,29
hanseniaspora_uvarum_dsm_2768,D499_0F01060,0.106181,0.991583,26
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_20603,0.218627,0.998296,23
candida_dubliniensis_cd36,CD36_19670,-0.000000,0.168188,22
brettanomyces_bruxellensis_awri1499,AWRI1499_0545,-0.000000,0.196381,16
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_26300,0.050809,0.881805,15
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_152389,-0.000000,0.352394,19
kuraishia_capsulata_cbs_1993,KUCA_T00005278001,0.035964,0.867210,22
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_37525,-0.000000,0.225586,12
ogataea_parapolymorpha_dl_1,HPODL_01795,-0.000000,0.392761,15
meyerozyma_guilliermondii_atcc_6260,PGUG_05331,0.022129,0.733274,13
candida_orthopsilosis_co_90_125,CORT_0A05940,0.153646,0.993281,18
candida_tropicalis_mya_3404,CTRG_01659,0.017135,0.786301,32
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_60651,0.023545,0.762634,18
scheffersomyces_stipitis_cbs_6054,PICST_34276,0.078082,0.959465,20
candida_maltosa_xu316,G210_1202,0.125011,0.994572,24
_candida_auris,QG37_01160,0.067537,0.923820,16
_candida_tenuis_atcc_10573,CANTEDRAFT_102698,0.080487,0.951273,17
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0L17831g,-0.000000,0.418945,13
lodderomyces_elongisporus_nrrl_yb_4239,LELG_00632,0.003955,0.476907,22
komagataella_phaffii_cbs_7435,PP7435_CHR4-0123,0.019150,0.737483,20
candida_parapsilosis_cdc317,CPAR2_206580,0.096444,0.969915,18
komagataella_pastoris,PAS_chr4_0829,0.019150,0.737483,20
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_177942,0.254400,0.998345,20
wickerhamomyces_ciferrii,BN7_1056,0.594038,0.998037,17
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_73870,0.594038,0.998037,17
candida_albicans_wo_1,CAWG_04269,0.026193,0.811614,21
cyberlindnera_jadinii,BN1211_3617,0.446800,0.999877,19
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_54891,0.569059,0.999893,12
clavispora_lusitaniae_atcc_42720,CLUG_00896,0.007361,0.545845,16
ogataea_polymorpha,OGAPODRAFT_98502,-0.000000,0.392761,15
debaryomyces_fabryi,AC631_05027,-0.000000,0.392761,15
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0K17830g,-0.000000,0.418945,13
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_24586,0.176614,0.992987,15
debaryomyces_hansenii_cbs767,DEHA2C06050g,-0.000000,0.209473,14
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_51475,0.353634,0.999521,21
pichia_kudriavzevii,JL09_g84,0.064483,0.936940,19
