aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,20,2,1
E,1,5.000000e-01,2,5.000000e-01,2,20,82,0
E,1,5.000000e-01,2,5.000000e-01,2,20,266,0
E,1,5.000000e-01,2,5.000000e-01,2,20,507,0
E,1,5.000000e-01,2,5.000000e-01,2,20,574,0
E,1,5.000000e-01,2,5.000000e-01,2,20,729,0
E,1,5.000000e-01,2,5.000000e-01,2,20,871,1
E,1,5.000000e-01,2,5.000000e-01,2,20,935,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1177,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1297,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1544,0
E,1,5.000000e-01,2,5.000000e-01,2,20,2260,1
E,1,5.000000e-01,2,5.000000e-01,2,20,2464,1
E,1,5.000000e-01,2,5.000000e-01,2,20,2722,0
E,1,5.000000e-01,2,5.000000e-01,2,20,2857,0
E,1,5.000000e-01,2,5.000000e-01,2,20,2942,0
E,1,5.000000e-01,2,5.000000e-01,2,20,2962,1
E,1,5.000000e-01,2,5.000000e-01,2,20,3004,1
E,1,5.000000e-01,2,5.000000e-01,2,20,3092,0
E,1,5.000000e-01,2,5.000000e-01,2,20,3094,0
E,2,5.000000e-01,1,5.000000e-01,1,25,50,1
E,2,2.500000e-01,2,5.000000e-01,1,19,86,2
E,2,5.000000e-01,1,5.000000e-01,1,25,182,1
E,2,5.000000e-01,1,5.000000e-01,1,25,256,1
E,2,5.000000e-01,1,5.000000e-01,1,25,322,1
E,2,2.500000e-01,2,5.000000e-01,1,19,326,0
E,2,5.000000e-01,1,5.000000e-01,1,25,443,1
E,2,5.000000e-01,1,5.000000e-01,1,25,531,1
E,2,2.500000e-01,2,5.000000e-01,1,19,559,2
E,2,5.000000e-01,1,5.000000e-01,1,25,892,1
E,2,5.000000e-01,1,5.000000e-01,1,25,894,1
E,2,5.000000e-01,1,5.000000e-01,1,25,915,1
E,2,5.000000e-01,1,5.000000e-01,1,25,946,1
E,2,5.000000e-01,1,5.000000e-01,1,25,1054,1
E,2,2.500000e-01,2,5.000000e-01,1,19,1240,0
