aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.233213e-01,1,8.233213e-01,1,52,37,0
E,1,1.766787e-01,1,8.233213e-01,1,13,342,0
E,1,8.233213e-01,1,8.233213e-01,1,52,401,0
E,1,1.766787e-01,1,8.233213e-01,1,13,403,0
E,1,1.766787e-01,1,8.233213e-01,1,13,622,0
E,1,8.233213e-01,1,8.233213e-01,1,52,795,0
E,1,8.233213e-01,1,8.233213e-01,1,52,809,0
E,1,8.233213e-01,1,8.233213e-01,1,52,856,0
E,1,8.233213e-01,1,8.233213e-01,1,52,974,0
E,1,1.766787e-01,1,8.233213e-01,1,13,1007,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1091,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1104,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1150,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1261,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1313,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1387,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1557,0
E,1,1.766787e-01,1,8.233213e-01,1,13,1668,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1703,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1743,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1758,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1805,0
E,1,1.766787e-01,1,8.233213e-01,1,13,1848,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1881,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1895,0
E,1,8.233213e-01,1,8.233213e-01,1,52,1982,0
E,1,8.233213e-01,1,8.233213e-01,1,52,2040,0
E,1,1.766787e-01,1,8.233213e-01,1,13,2159,0
E,1,8.233213e-01,1,8.233213e-01,1,52,2295,0
E,1,1.766787e-01,1,8.233213e-01,1,13,2312,0
E,1,8.233213e-01,1,8.233213e-01,1,52,2358,0
E,1,8.233213e-01,1,8.233213e-01,1,52,2365,0
E,1,8.233213e-01,1,8.233213e-01,1,52,2456,0
E,1,8.233213e-01,1,8.233213e-01,1,52,2546,0
E,1,1.766787e-01,1,8.233213e-01,1,13,2564,0
E,1,8.233213e-01,1,8.233213e-01,1,52,2623,0
E,1,8.233213e-01,1,8.233213e-01,1,52,2861,0
E,1,8.233213e-01,1,8.233213e-01,1,52,2927,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3064,0
E,1,1.766787e-01,1,8.233213e-01,1,13,3111,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3231,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3284,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3306,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3458,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3522,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3581,0
E,1,1.766787e-01,1,8.233213e-01,1,13,3663,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3683,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3771,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3778,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3788,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3798,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3820,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3859,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3921,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3922,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3931,0
E,1,8.233213e-01,1,8.233213e-01,1,52,3936,0
E,1,1.766787e-01,1,8.233213e-01,1,13,4013,0
E,1,8.233213e-01,1,8.233213e-01,1,52,4090,0
E,1,8.233213e-01,1,8.233213e-01,1,52,4138,0
E,1,1.766787e-01,1,8.233213e-01,1,13,4176,0
E,1,8.233213e-01,1,8.233213e-01,1,52,4222,0
E,1,8.233213e-01,1,8.233213e-01,1,52,4263,0
E,1,8.233213e-01,1,8.233213e-01,1,52,4372,0
E,2,2.909267e-01,1,6.778579e-01,1,15,82,1
E,2,6.778579e-01,1,6.778579e-01,1,57,102,1
E,2,2.909267e-01,1,6.778579e-01,1,15,332,1
E,2,6.778579e-01,1,6.778579e-01,1,57,376,1
E,2,6.778579e-01,1,6.778579e-01,1,57,547,1
E,2,6.778579e-01,1,6.778579e-01,1,57,602,1
E,2,6.778579e-01,1,6.778579e-01,1,57,685,1
E,2,6.778579e-01,1,6.778579e-01,1,57,686,1
E,2,6.778579e-01,1,6.778579e-01,1,57,719,1
E,2,2.909267e-01,1,6.778579e-01,1,15,727,1
E,2,6.778579e-01,1,6.778579e-01,1,57,753,1
E,2,3.121538e-02,1,6.778579e-01,1,2,884,1
E,2,3.121538e-02,1,6.778579e-01,1,2,999,1
E,2,2.909267e-01,1,6.778579e-01,1,15,1034,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1055,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1060,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1063,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1155,1
E,2,2.909267e-01,1,6.778579e-01,1,15,1207,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1209,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1222,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1299,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1438,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1497,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1498,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1552,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1568,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1666,1
E,2,6.778579e-01,1,6.778579e-01,1,57,1736,1
E,2,2.909267e-01,1,6.778579e-01,1,15,1981,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2010,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2251,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2264,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2287,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2297,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2328,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2389,1
E,2,2.909267e-01,1,6.778579e-01,1,15,2399,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2435,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2483,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2511,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2533,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2537,1
E,2,2.909267e-01,1,6.778579e-01,1,15,2549,1
E,2,2.909267e-01,1,6.778579e-01,1,15,2572,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2580,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2587,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2628,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2661,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2719,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2752,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2777,1
E,2,2.909267e-01,1,6.778579e-01,1,15,2802,1
E,2,6.778579e-01,1,6.778579e-01,1,57,2893,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3071,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3167,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3215,1
E,2,2.909267e-01,1,6.778579e-01,1,15,3412,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3423,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3495,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3505,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3584,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3616,1
E,2,2.909267e-01,1,6.778579e-01,1,15,3708,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3817,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3842,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3890,1
E,2,6.778579e-01,1,6.778579e-01,1,57,3919,1
E,2,2.909267e-01,1,6.778579e-01,1,15,3975,1
E,2,6.778579e-01,1,6.778579e-01,1,57,4146,1
E,2,6.778579e-01,1,6.778579e-01,1,57,4301,1
E,2,2.909267e-01,1,6.778579e-01,1,15,4310,1
E,2,2.909267e-01,1,6.778579e-01,1,15,4459,1
E,2,6.778579e-01,1,6.778579e-01,1,57,4512,1
E,3,5.580948e-01,1,5.580948e-01,1,69,39,0
E,3,3.592892e-01,1,5.580948e-01,1,61,85,0
E,3,3.592892e-01,1,5.580948e-01,1,61,96,0
E,3,5.580948e-01,1,5.580948e-01,1,69,145,0
E,3,5.580948e-01,1,5.580948e-01,1,69,163,0
E,3,3.592892e-01,1,5.580948e-01,1,61,179,0
