aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,13,26,0
E,1,5.000000e-01,2,5.000000e-01,2,13,201,0
E,1,5.000000e-01,2,5.000000e-01,2,13,202,0
E,1,5.000000e-01,2,5.000000e-01,2,13,211,0
E,1,5.000000e-01,2,5.000000e-01,2,13,285,0
E,1,5.000000e-01,2,5.000000e-01,2,13,944,0
E,1,5.000000e-01,2,5.000000e-01,2,13,959,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1004,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1428,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1470,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1522,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1666,0
E,1,5.000000e-01,2,5.000000e-01,2,13,1769,0
E,2,5.000000e-01,1,5.000000e-01,1,6,10,1
E,2,2.500000e-01,2,5.000000e-01,1,10,265,1
E,2,5.000000e-01,1,5.000000e-01,1,6,454,1
E,2,5.000000e-01,1,5.000000e-01,1,6,505,1
E,2,2.500000e-01,2,5.000000e-01,1,10,790,1
E,2,2.500000e-01,2,5.000000e-01,1,10,803,1
E,2,5.000000e-01,1,5.000000e-01,1,6,974,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1023,1
E,2,5.000000e-01,1,5.000000e-01,1,6,1054,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1175,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1222,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1255,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1556,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1629,1
E,2,5.000000e-01,1,5.000000e-01,1,6,1640,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1710,1
E,3,3.750000e-01,2,3.750000e-01,2,17,42,2
E,3,3.750000e-01,2,3.750000e-01,2,17,79,2
E,3,3.750000e-01,2,3.750000e-01,2,17,134,2
E,3,3.750000e-01,2,3.750000e-01,2,17,135,2
E,3,3.750000e-01,2,3.750000e-01,2,17,205,2
E,3,3.750000e-01,2,3.750000e-01,2,17,222,2
E,3,1.250000e-01,2,3.750000e-01,2,7,239,2
E,3,1.250000e-01,2,3.750000e-01,2,7,383,2
E,3,3.750000e-01,2,3.750000e-01,2,17,407,2
E,3,3.750000e-01,2,3.750000e-01,2,17,538,2
E,3,1.250000e-01,2,3.750000e-01,2,7,682,2
E,3,1.250000e-01,2,3.750000e-01,2,7,756,2
E,3,3.750000e-01,2,3.750000e-01,2,17,845,2
E,3,1.250000e-01,2,3.750000e-01,2,7,1008,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1060,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1140,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1197,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1464,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1483,2
E,3,1.250000e-01,2,3.750000e-01,2,7,1503,2
E,3,1.250000e-01,2,3.750000e-01,2,7,1537,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1721,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1804,2
E,3,3.750000e-01,2,3.750000e-01,2,17,1808,2
E,4,3.750000e-01,1,3.750000e-01,1,12,86,2
E,4,2.500000e-01,2,3.750000e-01,1,12,233,2
E,4,3.750000e-01,1,3.750000e-01,1,12,268,2
E,4,3.750000e-01,1,3.750000e-01,1,12,347,2
