aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,16,16,0
E,1,5.000000e-01,2,5.000000e-01,2,16,102,0
E,1,5.000000e-01,2,5.000000e-01,2,16,249,0
E,1,5.000000e-01,2,5.000000e-01,2,16,405,0
E,1,5.000000e-01,2,5.000000e-01,2,16,477,0
E,1,5.000000e-01,2,5.000000e-01,2,16,520,0
E,1,5.000000e-01,2,5.000000e-01,2,16,522,0
E,1,5.000000e-01,2,5.000000e-01,2,16,651,1
E,1,5.000000e-01,2,5.000000e-01,2,16,655,0
E,1,5.000000e-01,2,5.000000e-01,2,16,659,1
E,1,5.000000e-01,2,5.000000e-01,2,16,948,0
E,1,5.000000e-01,2,5.000000e-01,2,16,1118,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1270,0
E,1,5.000000e-01,2,5.000000e-01,2,16,1396,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1421,0
E,1,5.000000e-01,2,5.000000e-01,2,16,1493,0
E,2,2.500000e-01,2,5.000000e-01,1,20,2,0
E,2,2.500000e-01,2,5.000000e-01,1,20,42,2
E,2,2.500000e-01,2,5.000000e-01,1,20,49,0
E,2,5.000000e-01,1,5.000000e-01,1,21,71,1
E,2,5.000000e-01,1,5.000000e-01,1,21,79,1
E,2,5.000000e-01,1,5.000000e-01,1,21,87,1
E,2,5.000000e-01,1,5.000000e-01,1,21,135,1
E,2,2.500000e-01,2,5.000000e-01,1,20,145,0
E,2,5.000000e-01,1,5.000000e-01,1,21,188,1
E,2,2.500000e-01,2,5.000000e-01,1,20,221,0
E,2,5.000000e-01,1,5.000000e-01,1,21,233,1
E,2,2.500000e-01,2,5.000000e-01,1,20,244,0
E,2,2.500000e-01,2,5.000000e-01,1,20,248,0
E,2,2.500000e-01,2,5.000000e-01,1,20,280,0
E,2,5.000000e-01,1,5.000000e-01,1,21,284,1
E,2,5.000000e-01,1,5.000000e-01,1,21,314,1
E,2,5.000000e-01,1,5.000000e-01,1,21,342,1
E,2,2.500000e-01,2,5.000000e-01,1,20,360,0
E,2,2.500000e-01,2,5.000000e-01,1,20,403,0
E,2,2.500000e-01,2,5.000000e-01,1,20,409,0
E,2,2.500000e-01,2,5.000000e-01,1,20,447,0
E,2,5.000000e-01,1,5.000000e-01,1,21,466,1
E,2,5.000000e-01,1,5.000000e-01,1,21,476,1
E,2,2.500000e-01,2,5.000000e-01,1,20,509,0
E,2,5.000000e-01,1,5.000000e-01,1,21,519,1
E,2,5.000000e-01,1,5.000000e-01,1,21,531,1
E,2,5.000000e-01,1,5.000000e-01,1,21,541,1
E,2,5.000000e-01,1,5.000000e-01,1,21,544,1
E,2,5.000000e-01,1,5.000000e-01,1,21,561,1
E,2,5.000000e-01,1,5.000000e-01,1,21,654,1
E,2,5.000000e-01,1,5.000000e-01,1,21,953,1
E,2,2.500000e-01,2,5.000000e-01,1,20,974,0
E,2,2.500000e-01,2,5.000000e-01,1,20,982,0
E,2,2.500000e-01,2,5.000000e-01,1,20,1074,0
E,2,5.000000e-01,1,5.000000e-01,1,21,1128,1
E,2,2.500000e-01,2,5.000000e-01,1,20,1268,2
E,2,2.500000e-01,2,5.000000e-01,1,20,1296,0
E,2,2.500000e-01,2,5.000000e-01,1,20,1382,2
E,2,5.000000e-01,1,5.000000e-01,1,21,1388,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1445,1
E,2,2.500000e-01,2,5.000000e-01,1,20,1548,0
E,3,3.750000e-01,2,3.750000e-01,2,18,41,1
E,3,3.750000e-01,2,3.750000e-01,2,18,46,1
E,3,1.250000e-01,2,3.750000e-01,2,10,55,0
E,3,1.250000e-01,2,3.750000e-01,2,10,69,3
E,3,1.250000e-01,2,3.750000e-01,2,10,133,0
E,3,3.750000e-01,2,3.750000e-01,2,18,144,1
E,3,1.250000e-01,2,3.750000e-01,2,10,199,0
E,3,3.750000e-01,2,3.750000e-01,2,18,407,2
